,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2021-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4453.0,12071.0,4453.0
1,2021-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5139.0,20528.0,9592.0
2,2021-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5944.0,34571.0,15536.0
3,2021-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],6815.0,62824.0,22351.0
4,2021-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],7598.0,91536.0,29949.0
5,2021-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8111.0,173801.0,38060.0
6,2021-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8368.0,303925.0,46428.0
7,2021-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8398.0,473262.0,54826.0
8,2021-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8464.0,579260.0,63290.0
9,2021-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],17926.0,676515.0,81216.0
10,2021-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],15020.0,737025.0,96236.0
11,2021-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],13987.0,790730.0,110223.0
12,2022-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],17314.0,855238.0,127537.0
13,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],15915.0,919303.0,143452.0
14,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],15924.0,980899.0,159376.0
15,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],16486.0,1134990.0,175862.0
16,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],17011.0,1249630.0,192873.0
17,2022-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],17293.0,1393061.0,210166.0
18,2022-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],17365.0,1672499.0,227531.0
19,2022-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],17085.0,2024288.0,244616.0
20,2022-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],16331.0,2282157.0,260947.0
