,Date,Location,Reduction_in_electricity_demand,Running_total,Location_running_total
27016,2021-03-01,Elec_CAP[GwH],3.0,4.0,3.0
27017,2021-05-01,Elec_CAP[GwH],5.0,10.0,8.0
27018,2021-06-01,Elec_CAP[GwH],1.0,25.0,9.0
27019,2021-07-01,Elec_CAP[GwH],-4.0,41.0,5.0
27020,2021-09-01,Elec_CAP[GwH],5.0,83.0,10.0
27021,2021-10-01,Elec_CAP[GwH],-2.0,103.0,8.0
27022,2021-11-01,Elec_CAP[GwH],-7.0,106.0,1.0
27023,2021-12-01,Elec_CAP[GwH],1.0,133.0,2.0
27024,2022-01-01,Elec_CAP[GwH],3.0,144.0,5.0
27025,2022-02-01,Elec_CAP[GwH],3.0,156.0,8.0
27026,2022-05-01,Elec_CAP[GwH],-1.0,203.0,7.0
27027,2022-06-01,Elec_CAP[GwH],4.0,241.0,11.0
27028,2022-07-01,Elec_CAP[GwH],9.0,308.0,20.0
27029,2022-09-01,Elec_CAP[GwH],6.0,393.0,26.0
27030,2022-11-01,Elec_CAP[GwH],2.0,469.0,28.0
27031,2022-12-01,Elec_CAP[GwH],1.0,505.0,29.0
27032,2023-01-01,Elec_CAP[GwH],2.0,525.0,31.0
27033,2023-03-01,Elec_CAP[GwH],2.0,558.0,33.0
27034,2023-04-01,Elec_CAP[GwH],3.0,574.0,36.0
27035,2023-05-01,Elec_CAP[GwH],6.0,613.0,42.0
27036,2023-06-01,Elec_CAP[GwH],3.0,667.0,45.0
27037,2023-07-01,Elec_CAP[GwH],4.0,754.0,49.0
27038,2023-08-01,Elec_CAP[GwH],7.0,825.0,56.0
27039,2023-09-01,Elec_CAP[GwH],4.0,887.0,60.0
27040,2023-10-01,Elec_CAP[GwH],4.0,952.0,64.0
27041,2023-11-01,Elec_CAP[GwH],100.0,1079.0,164.0
27042,2023-12-01,Elec_CAP[GwH],20.0,1177.0,184.0
27043,2024-01-01,Elec_CAP[GwH],6.0,1227.0,190.0
27044,2024-02-01,Elec_CAP[GwH],4.0,1266.0,194.0
27045,2024-03-01,Elec_CAP[GwH],3.0,1301.0,197.0
27046,2024-04-01,Elec_CAP[GwH],5.0,1235.0,202.0
27047,2024-05-01,Elec_CAP[GwH],7.0,1304.0,209.0
27048,2024-06-01,Elec_CAP[GwH],-5.0,1382.0,204.0
27049,2024-08-01,Elec_CAP[GwH],-41.0,1592.0,163.0
27050,2024-09-01,Elec_CAP[GwH],-25.0,1661.0,138.0
27051,2024-10-01,Elec_CAP[GwH],3.0,1754.0,141.0
27052,2024-11-01,Elec_CAP[GwH],-5.0,1808.0,136.0
27053,2024-12-01,Elec_CAP[GwH],31.0,1875.0,167.0
27054,2025-01-01,Elec_CAP[GwH],6.0,1942.0,173.0
27055,2025-02-01,Elec_CAP[GwH],12.0,1982.0,185.0
27056,2025-03-01,Elec_CAP[GwH],8.0,2070.0,193.0
27057,2025-04-01,Elec_CAP[GwH],9.0,2098.0,202.0
27058,2025-05-01,Elec_CAP[GwH],13.0,2130.0,215.0
27059,2025-07-01,Elec_CAP[GwH],6.0,2365.0,221.0
27060,2025-08-01,Elec_CAP[GwH],-4.0,2566.0,217.0
27061,2025-09-01,Elec_CAP[GwH],12.0,2697.0,229.0
27062,2025-10-01,Elec_CAP[GwH],-13.0,2814.0,216.0
27063,2025-11-01,Elec_CAP[GwH],5.0,2931.0,221.0
27064,2025-12-01,Elec_CAP[GwH],4.0,3001.0,225.0
27065,2026-01-01,Elec_CAP[GwH],26.0,3080.0,251.0
27066,2026-02-01,Elec_CAP[GwH],4.0,3138.0,255.0
27067,2026-03-01,Elec_CAP[GwH],5.0,3170.0,260.0
27068,2026-04-01,Elec_CAP[GwH],5.0,2958.0,265.0
27069,2026-05-01,Elec_CAP[GwH],4.0,3075.0,269.0
27070,2026-06-01,Elec_CAP[GwH],-7.0,2905.0,262.0
27071,2026-07-01,Elec_CAP[GwH],1.0,3108.0,263.0
27072,2026-08-01,Elec_CAP[GwH],13.0,3333.0,276.0
27073,2026-09-01,Elec_CAP[GwH],21.0,3547.0,297.0
27074,2026-10-01,Elec_CAP[GwH],4.0,3703.0,301.0
27075,2026-11-01,Elec_CAP[GwH],-412.0,3341.0,-111.0
27076,2026-12-01,Elec_CAP[GwH],-406.0,2988.0,-517.0
27077,2027-01-01,Elec_CAP[GwH],-451.0,2472.0,-968.0
27078,2027-02-01,Elec_CAP[GwH],-485.0,2039.0,-1453.0
27079,2027-03-01,Elec_CAP[GwH],-101.0,2055.0,-1554.0
27080,2027-04-01,Elec_CAP[GwH],464.0,3043.0,-1090.0
27081,2027-05-01,Elec_CAP[GwH],210.0,3376.0,-880.0
27082,2027-09-01,Elec_CAP[GwH],354.0,4683.0,-526.0
27083,2027-10-01,Elec_CAP[GwH],-200.0,4692.0,-726.0
27084,2027-11-01,Elec_CAP[GwH],-117.0,4641.0,-843.0
27085,2027-12-01,Elec_CAP[GwH],24.0,4790.0,-819.0
27086,2028-01-01,Elec_CAP[GwH],15.0,4924.0,-804.0
27087,2028-02-01,Elec_CAP[GwH],14.0,5018.0,-790.0
27088,2028-03-01,Elec_CAP[GwH],13.0,5070.0,-777.0
27089,2028-04-01,Elec_CAP[GwH],7.0,5121.0,-770.0
27090,2028-05-01,Elec_CAP[GwH],8.0,5257.0,-762.0
27091,2028-06-01,Elec_CAP[GwH],21.0,5493.0,-741.0
27092,2028-07-01,Elec_CAP[GwH],25.0,5819.0,-716.0
27093,2028-08-01,Elec_CAP[GwH],-316.0,5754.0,-1032.0
27094,2028-09-01,Elec_CAP[GwH],-423.0,5591.0,-1455.0
27095,2028-10-01,Elec_CAP[GwH],-64.0,5768.0,-1519.0
27096,2028-11-01,Elec_CAP[GwH],32.0,6025.0,-1487.0
27097,2028-12-01,Elec_CAP[GwH],568.0,6705.0,-919.0
27098,2029-01-01,Elec_CAP[GwH],158.0,7013.0,-761.0
27099,2029-02-01,Elec_CAP[GwH],27.0,7056.0,-734.0
27100,2029-03-01,Elec_CAP[GwH],23.0,7085.0,-711.0
27101,2029-04-01,Elec_CAP[GwH],45.0,7164.0,-666.0
27102,2029-05-01,Elec_CAP[GwH],90.0,7339.0,-576.0
27103,2029-08-01,Elec_CAP[GwH],-318.0,7846.0,-894.0
27104,2029-09-01,Elec_CAP[GwH],-247.0,7810.0,-1141.0
27105,2029-10-01,Elec_CAP[GwH],-140.0,7845.0,-1281.0
27106,2029-11-01,Elec_CAP[GwH],-366.0,7461.0,-1647.0
27107,2030-06-01,Elec_CAP[GwH],69.0,8756.0,-1578.0
