,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2021-11-01,GW_storage_AZ_APS_E_GW[AF],-2.0,-113304.0,-2.0
1,2021-12-01,GW_storage_AZ_APS_E_GW[AF],-2.0,-53388.0,-4.0
2,2022-01-01,GW_storage_AZ_APS_E_GW[AF],-2.0,-9329.0,-6.0
3,2022-02-01,GW_storage_AZ_APS_E_GW[AF],-2.0,20899.0,-8.0
4,2022-03-01,GW_storage_AZ_APS_E_GW[AF],-3.0,39119.0,-11.0
5,2022-04-01,GW_storage_AZ_APS_E_GW[AF],-4.0,69208.0,-15.0
6,2022-05-01,GW_storage_AZ_APS_E_GW[AF],-6.0,100750.0,-21.0
7,2022-06-01,GW_storage_AZ_APS_E_GW[AF],-6.0,165752.0,-27.0
8,2022-07-01,GW_storage_AZ_APS_E_GW[AF],-6.0,252614.0,-33.0
9,2022-08-01,GW_storage_AZ_APS_E_GW[AF],-6.0,384928.0,-39.0
10,2022-09-01,GW_storage_AZ_APS_E_GW[AF],-6.0,572963.0,-45.0
11,2022-10-01,GW_storage_AZ_APS_E_GW[AF],-6.0,770911.0,-51.0
12,2022-11-01,GW_storage_AZ_APS_E_GW[AF],-6.0,968547.0,-57.0
13,2022-12-01,GW_storage_AZ_APS_E_GW[AF],-6.0,1163621.0,-63.0
14,2023-01-01,GW_storage_AZ_APS_E_GW[AF],-6.0,1323731.0,-69.0
15,2023-02-01,GW_storage_AZ_APS_E_GW[AF],-6.0,1449772.0,-75.0
16,2023-03-01,GW_storage_AZ_APS_E_GW[AF],-7.0,1546593.0,-82.0
17,2023-04-01,GW_storage_AZ_APS_E_GW[AF],-9.0,1644669.0,-91.0
18,2023-05-01,GW_storage_AZ_APS_E_GW[AF],-9.0,1736921.0,-100.0
19,2023-06-01,GW_storage_AZ_APS_E_GW[AF],-10.0,1854240.0,-110.0
20,2023-07-01,GW_storage_AZ_APS_E_GW[AF],-10.0,1995027.0,-120.0
21,2023-08-01,GW_storage_AZ_APS_E_GW[AF],-9.0,2178567.0,-129.0
22,2023-09-01,GW_storage_AZ_APS_E_GW[AF],-10.0,2392429.0,-139.0
23,2023-10-01,GW_storage_AZ_APS_E_GW[AF],-10.0,2619861.0,-149.0
24,2023-11-01,GW_storage_AZ_APS_E_GW[AF],-10.0,2905734.0,-159.0
25,2023-12-01,GW_storage_AZ_APS_E_GW[AF],-11.0,3213461.0,-170.0
26,2024-01-01,GW_storage_AZ_APS_E_GW[AF],-10.0,3493456.0,-180.0
27,2024-02-01,GW_storage_AZ_APS_E_GW[AF],-10.0,3743324.0,-190.0
28,2024-03-01,GW_storage_AZ_APS_E_GW[AF],-11.0,3977941.0,-201.0
29,2024-04-01,GW_storage_AZ_APS_E_GW[AF],-11.0,4209786.0,-212.0
30,2024-05-01,GW_storage_AZ_APS_E_GW[AF],-11.0,4438758.0,-223.0
31,2024-06-01,GW_storage_AZ_APS_E_GW[AF],-11.0,4802903.0,-234.0
32,2024-07-01,GW_storage_AZ_APS_E_GW[AF],-10.0,5230011.0,-244.0
33,2024-08-01,GW_storage_AZ_APS_E_GW[AF],-10.0,5733313.0,-254.0
34,2024-09-01,GW_storage_AZ_APS_E_GW[AF],-9.0,6303943.0,-263.0
35,2024-10-01,GW_storage_AZ_APS_E_GW[AF],-9.0,6903915.0,-272.0
36,2024-11-01,GW_storage_AZ_APS_E_GW[AF],-9.0,7555054.0,-281.0
37,2024-12-01,GW_storage_AZ_APS_E_GW[AF],-10.0,8216881.0,-291.0
38,2025-01-01,GW_storage_AZ_APS_E_GW[AF],-10.0,8830524.0,-301.0
39,2025-02-01,GW_storage_AZ_APS_E_GW[AF],-10.0,9424846.0,-311.0
40,2025-03-01,GW_storage_AZ_APS_E_GW[AF],-12.0,9936158.0,-323.0
41,2025-04-01,GW_storage_AZ_APS_E_GW[AF],-13.0,10408855.0,-336.0
42,2025-05-01,GW_storage_AZ_APS_E_GW[AF],-12.0,10854050.0,-348.0
43,2025-06-01,GW_storage_AZ_APS_E_GW[AF],-12.0,11318541.0,-360.0
44,2025-07-01,GW_storage_AZ_APS_E_GW[AF],-12.0,11912003.0,-372.0
45,2025-08-01,GW_storage_AZ_APS_E_GW[AF],-13.0,12554682.0,-385.0
46,2025-09-01,GW_storage_AZ_APS_E_GW[AF],-13.0,13249905.0,-398.0
47,2025-10-01,GW_storage_AZ_APS_E_GW[AF],-14.0,14013937.0,-412.0
48,2025-11-01,GW_storage_AZ_APS_E_GW[AF],-14.0,14786455.0,-426.0
49,2025-12-01,GW_storage_AZ_APS_E_GW[AF],-15.0,15563150.0,-441.0
50,2026-01-01,GW_storage_AZ_APS_E_GW[AF],-16.0,16326737.0,-457.0
51,2026-02-01,GW_storage_AZ_APS_E_GW[AF],-17.0,17033051.0,-474.0
52,2026-03-01,GW_storage_AZ_APS_E_GW[AF],-20.0,17731343.0,-494.0
53,2026-04-01,GW_storage_AZ_APS_E_GW[AF],-21.0,18425880.0,-515.0
54,2026-05-01,GW_storage_AZ_APS_E_GW[AF],-23.0,19098980.0,-538.0
55,2026-06-01,GW_storage_AZ_APS_E_GW[AF],-23.0,19839539.0,-561.0
56,2026-07-01,GW_storage_AZ_APS_E_GW[AF],-22.0,20721020.0,-583.0
57,2026-08-01,GW_storage_AZ_APS_E_GW[AF],-22.0,21733455.0,-605.0
58,2026-09-01,GW_storage_AZ_APS_E_GW[AF],-22.0,22812475.0,-627.0
59,2026-10-01,GW_storage_AZ_APS_E_GW[AF],-20.0,23919171.0,-647.0
60,2026-11-01,GW_storage_AZ_APS_E_GW[AF],-20.0,25060827.0,-667.0
