,Date,Location,Reduction_in_hydropower_demand,Running_total,Location_running_total
0,2033-04-01,Hydro_Albeni Falls[GwH],-1.0,-6268.0,-1.0
1,2033-05-01,Hydro_Albeni Falls[GwH],-2.0,-6373.0,-3.0
2,2033-06-01,Hydro_Albeni Falls[GwH],-2.0,-6462.0,-5.0
3,2033-07-01,Hydro_Albeni Falls[GwH],-2.0,-6772.0,-7.0
4,2033-08-01,Hydro_Albeni Falls[GwH],-1.0,-6930.0,-8.0
5,2034-05-01,Hydro_Albeni Falls[GwH],-2.0,-7898.0,-10.0
6,2034-06-01,Hydro_Albeni Falls[GwH],-2.0,-8143.0,-12.0
7,2034-07-01,Hydro_Albeni Falls[GwH],-2.0,-8095.0,-14.0
8,2034-08-01,Hydro_Albeni Falls[GwH],-2.0,-8302.0,-16.0
9,2034-09-01,Hydro_Albeni Falls[GwH],-2.0,-8161.0,-18.0
10,2034-10-01,Hydro_Albeni Falls[GwH],-2.0,-8231.0,-20.0
11,2034-11-01,Hydro_Albeni Falls[GwH],-1.0,-8396.0,-21.0
12,2034-12-01,Hydro_Albeni Falls[GwH],-2.0,-8627.0,-23.0
13,2035-01-01,Hydro_Albeni Falls[GwH],-2.0,-8942.0,-25.0
14,2035-02-01,Hydro_Albeni Falls[GwH],-2.0,-9110.0,-27.0
15,2035-03-01,Hydro_Albeni Falls[GwH],-3.0,-9248.0,-30.0
16,2035-04-01,Hydro_Albeni Falls[GwH],-3.0,-9617.0,-33.0
17,2035-05-01,Hydro_Albeni Falls[GwH],-4.0,-10246.0,-37.0
18,2035-06-01,Hydro_Albeni Falls[GwH],-3.0,-10748.0,-40.0
19,2035-07-01,Hydro_Albeni Falls[GwH],-3.0,-11245.0,-43.0
20,2035-08-01,Hydro_Albeni Falls[GwH],-2.0,-11538.0,-45.0
21,2035-09-01,Hydro_Albeni Falls[GwH],-1.0,-11644.0,-46.0
22,2035-10-01,Hydro_Albeni Falls[GwH],-1.0,-11786.0,-47.0
23,2035-12-01,Hydro_Albeni Falls[GwH],-1.0,-12031.0,-48.0
