,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2032-11-01,Unmet_Dem_IN_CA_IID[AF],-8957.0,55834.0,-8957.0
1,2067-12-01,Unmet_Dem_IN_CA_IID[AF],-12380.0,1184932.0,-21337.0
2,2069-12-01,Unmet_Dem_IN_CA_IID[AF],-12629.0,1243420.0,-33966.0
3,2038-05-01,Unmet_Dem_IN_CA_LADWP[AF],17.0,169244.0,17.0
4,2052-06-01,Unmet_Dem_IN_CA_LADWP[AF],2685.0,721596.0,2702.0
5,2053-05-01,Unmet_Dem_IN_CA_LADWP[AF],-6.0,624855.0,2696.0
6,2053-06-01,Unmet_Dem_IN_CA_LADWP[AF],376.0,560394.0,3072.0
7,2054-05-01,Unmet_Dem_IN_CA_LADWP[AF],-7.0,571464.0,3065.0
8,2055-05-01,Unmet_Dem_IN_CA_LADWP[AF],2802.0,575220.0,5867.0
9,2058-12-01,Unmet_Dem_IN_CA_LADWP[AF],-6.0,770499.0,5861.0
10,2059-06-01,Unmet_Dem_IN_CA_LADWP[AF],-7.0,794167.0,5854.0
11,2060-05-01,Unmet_Dem_IN_CA_LADWP[AF],14565.0,722814.0,20419.0
12,2061-12-01,Unmet_Dem_IN_CA_LADWP[AF],-5774.0,727815.0,14645.0
13,2063-05-01,Unmet_Dem_IN_CA_LADWP[AF],64.0,881677.0,14709.0
14,2064-05-01,Unmet_Dem_IN_CA_LADWP[AF],-7.0,886055.0,14702.0
15,2064-06-01,Unmet_Dem_IN_CA_LADWP[AF],1185.0,890606.0,15887.0
16,2067-06-01,Unmet_Dem_IN_CA_LADWP[AF],220.0,1208093.0,16107.0
17,2068-05-01,Unmet_Dem_IN_CA_LADWP[AF],18541.0,1306271.0,34648.0
18,2068-06-01,Unmet_Dem_IN_CA_LADWP[AF],1777.0,1312377.0,36425.0
19,2069-05-01,Unmet_Dem_IN_CA_LADWP[AF],446.0,1350158.0,36871.0
20,2070-05-01,Unmet_Dem_IN_CA_LADWP[AF],7705.0,1290747.0,44576.0
21,2022-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-15.0,-308.0,-15.0
22,2022-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-14.0,-395.0,-29.0
23,2024-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],92.0,-2763.0,63.0
24,2024-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-343.0,-3044.0,-280.0
25,2024-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-480.0,-3371.0,-760.0
26,2024-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-320.0,-3724.0,-1080.0
27,2027-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],385.0,54685.0,-695.0
28,2027-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],276.0,55720.0,-419.0
29,2027-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],308.0,57506.0,-111.0
30,2027-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],337.0,58785.0,226.0
31,2032-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1453.0,62792.0,1679.0
32,2032-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],39.0,63561.0,1718.0
33,2035-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-1148.0,102113.0,570.0
34,2038-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],947.0,177973.0,1517.0
35,2038-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],557.0,168659.0,2074.0
36,2038-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],946.0,146968.0,3020.0
37,2038-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],12892.0,161788.0,15912.0
38,2042-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],137.0,192019.0,16049.0
39,2042-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-3718.0,188612.0,12331.0
40,2042-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-3727.0,186378.0,8604.0
41,2044-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-2070.0,245504.0,6534.0
42,2046-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-2848.0,279977.0,3686.0
43,2046-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-2075.0,280394.0,1611.0
44,2047-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-3414.0,337365.0,-1803.0
45,2047-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-2408.0,338075.0,-4211.0
46,2047-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1236.0,342778.0,-2975.0
47,2047-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2966.0,346344.0,-9.0
48,2048-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2991.0,396744.0,2982.0
49,2048-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3041.0,403657.0,6023.0
50,2048-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1859.0,410561.0,7882.0
51,2048-12-01,Unmet_Dem_IN_CA_PGE_BAY[AF],634.0,411582.0,8516.0
52,2049-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2093.0,484266.0,10609.0
53,2049-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2036.0,490123.0,12645.0
54,2049-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2082.0,494999.0,14727.0
55,2051-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2455.0,627726.0,17182.0
56,2051-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2350.0,635873.0,19532.0
57,2051-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2143.0,643747.0,21675.0
58,2051-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1869.0,650979.0,23544.0
59,2051-12-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-354.0,651297.0,23190.0
60,2052-01-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-522.0,651284.0,22668.0
61,2052-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],24479.0,731300.0,47147.0
62,2052-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-2822.0,721402.0,44325.0
