,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2032-11-01,Unmet_Dem_OUT_CA_IID[AF],-173.0,14602.0,-173.0
1,2032-12-01,Unmet_Dem_OUT_CA_IID[AF],-129.0,14473.0,-302.0
2,2067-12-01,Unmet_Dem_OUT_CA_IID[AF],-134.0,87859.0,-436.0
3,2069-12-01,Unmet_Dem_OUT_CA_IID[AF],-123.0,79729.0,-559.0
4,2038-05-01,Unmet_Dem_OUT_CA_LADWP[AF],3.0,32169.0,3.0
5,2052-06-01,Unmet_Dem_OUT_CA_LADWP[AF],608.0,137184.0,611.0
6,2053-05-01,Unmet_Dem_OUT_CA_LADWP[AF],-2.0,123161.0,609.0
7,2053-06-01,Unmet_Dem_OUT_CA_LADWP[AF],78.0,115092.0,687.0
8,2059-06-01,Unmet_Dem_OUT_CA_LADWP[AF],-1.0,112647.0,686.0
9,2060-05-01,Unmet_Dem_OUT_CA_LADWP[AF],2413.0,38478.0,3099.0
10,2061-12-01,Unmet_Dem_OUT_CA_LADWP[AF],-447.0,37390.0,2652.0
11,2063-05-01,Unmet_Dem_OUT_CA_LADWP[AF],11.0,62017.0,2663.0
12,2064-06-01,Unmet_Dem_OUT_CA_LADWP[AF],240.0,60110.0,2903.0
13,2067-06-01,Unmet_Dem_OUT_CA_LADWP[AF],34.0,81678.0,2937.0
14,2068-05-01,Unmet_Dem_OUT_CA_LADWP[AF],2463.0,94064.0,5400.0
15,2068-06-01,Unmet_Dem_OUT_CA_LADWP[AF],456.0,96751.0,5856.0
16,2069-05-01,Unmet_Dem_OUT_CA_LADWP[AF],62.0,94152.0,5918.0
17,2070-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1087.0,85981.0,7005.0
18,2022-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2.0,26.0,-2.0
19,2024-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],13.0,-2.0,11.0
20,2024-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-47.0,-42.0,-36.0
21,2024-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-79.0,-104.0,-115.0
22,2024-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-20.0,-113.0,-135.0
23,2027-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],60.0,12862.0,-75.0
24,2027-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],53.0,13166.0,-22.0
25,2027-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],57.0,13462.0,35.0
26,2032-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],181.0,14632.0,216.0
27,2032-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4.0,14744.0,220.0
28,2035-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-137.0,19230.0,83.0
29,2038-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],132.0,34495.0,215.0
30,2038-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],124.0,32360.0,339.0
31,2038-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],94.0,31096.0,433.0
32,2042-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],19.0,34886.0,452.0
33,2042-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-458.0,34443.0,-6.0
34,2042-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-291.0,34492.0,-297.0
35,2044-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-187.0,44748.0,-484.0
36,2046-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-328.0,54624.0,-812.0
37,2046-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-183.0,54774.0,-995.0
38,2047-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-430.0,61567.0,-1425.0
