,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2011-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2129.0,712713.0,
3949,2011-01-01,Unmet_Dem_CA_PGE_BAY_Coyote[AF],2160.0,712713.0,
4475,2011-01-01,Unmet_Dem_CA_PGE_CEN_Lwr Salinas[AF],20084.0,712713.0,
6322,2011-01-01,Unmet_Dem_CA_PGE_CEN_San Jo Valley[AF],432669.0,712713.0,
8038,2011-01-01,Unmet_Dem_CA_PGE_S_Tulare[AF],255452.0,712713.0,
11780,2011-01-01,Unmet_Dem_CO_DEN_Clear Creek[AF],219.0,712713.0,
1,2011-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-61658.0,689680.0,
6323,2011-02-01,Unmet_Dem_CA_PGE_CEN_San Jo Valley[AF],38625.0,689680.0,
6324,2011-03-01,Unmet_Dem_CA_PGE_CEN_San Jo Valley[AF],-99717.0,538241.0,
1173,2011-03-01,Unmet_Dem_AZ_NW_Lwr Colo Abv Parker[AF],-979.0,538241.0,
2,2011-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-50743.0,538241.0,
13022,2011-04-01,Unmet_Dem_CO_E_Lwr South Platte[AF],-30160.0,673234.0,
14318,2011-04-01,Unmet_Dem_ID_E_Middle Fork Snake[AF],-7917.0,673234.0,
17141,2011-04-01,Unmet_Dem_MT_SW_Middle Missouri[AF],977.0,673234.0,
19177,2011-04-01,Unmet_Dem_WY_NW_ShoshoneAg[AF],-8817.0,673234.0,
8039,2011-04-01,Unmet_Dem_CA_PGE_S_Tulare[AF],139639.0,673234.0,
3,2011-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-27432.0,673234.0,
10950,2011-04-01,Unmet_Dem_CO_DEN_Big Thompson[AF],3721.0,673234.0,
13605,2011-04-01,Unmet_Dem_CO_SW_Upr Rio Grande[AF],179.0,673234.0,
1174,2011-04-01,Unmet_Dem_AZ_NW_Lwr Colo Abv Parker[AF],1673.0,673234.0,
6325,2011-04-01,Unmet_Dem_CA_PGE_CEN_San Jo Valley[AF],47439.0,673234.0,
11781,2011-04-01,Unmet_Dem_CO_DEN_Clear Creek[AF],23.0,673234.0,
12152,2011-04-01,Unmet_Dem_CO_DEN_South Platte[AF],-17574.0,673234.0,
12565,2011-04-01,Unmet_Dem_CO_E_Arkansas[AF],883.0,673234.0,
17602,2011-04-01,Unmet_Dem_MT_SW_Upper MissouriAg[AF],28325.0,673234.0,
11367,2011-04-01,Unmet_Dem_CO_DEN_Boulder[AF],4034.0,673234.0,
11368,2011-05-01,Unmet_Dem_CO_DEN_Boulder[AF],-4118.0,1109072.0,
12566,2011-05-01,Unmet_Dem_CO_E_Arkansas[AF],158944.0,1109072.0,
17142,2011-05-01,Unmet_Dem_MT_SW_Middle Missouri[AF],1918.0,1109072.0,
720,2011-05-01,Unmet_Dem_AZ_APS_SW_Lwr Gila[AF],1736.0,1109072.0,
17603,2011-05-01,Unmet_Dem_MT_SW_Upper MissouriAg[AF],35395.0,1109072.0,
13023,2011-05-01,Unmet_Dem_CO_E_Lwr South Platte[AF],-42826.0,1109072.0,
9208,2011-05-01,Unmet_Dem_CA_SCE_S_CoastalSLA[AF],1752.0,1109072.0,
18659,2011-05-01,Unmet_Dem_WA_W_Carbon[AF],-64.0,1109072.0,
9791,2011-05-01,Unmet_Dem_CA_SDGE_San Dieguito[AF],1918.0,1109072.0,
10262,2011-05-01,Unmet_Dem_CA_SDGE_St Vincent[AF],10712.0,1109072.0,
12153,2011-05-01,Unmet_Dem_CO_DEN_South Platte[AF],-44164.0,1109072.0,
6326,2011-05-01,Unmet_Dem_CA_PGE_CEN_San Jo Valley[AF],11094.0,1109072.0,
10951,2011-05-01,Unmet_Dem_CO_DEN_Big Thompson[AF],-350.0,1109072.0,
8700,2011-05-01,Unmet_Dem_CA_SCE_CEN_Santa Clara[AF],2497.0,1109072.0,
10604,2011-05-01,Unmet_Dem_CA_SDGE_Sweetwater[AF],2392.0,1109072.0,
