,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
0,2011-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,-182.0,4.0
1,2011-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,-149.0,7.0
2,2011-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-168.0,8.0
3,2011-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,42.0,10.0
4,2012-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-138.0,12.0
5,2012-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-420.0,13.0
6,2012-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-3041.0,15.0
7,2013-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-2193.0,17.0
8,2013-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,-1173.0,20.0
9,2013-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-747.0,22.0
10,2013-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,-884.0,26.0
11,2013-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,-1263.0,31.0
12,2014-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,-1307.0,36.0
13,2014-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],6.0,-1211.0,42.0
14,2014-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,-1452.0,49.0
15,2014-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,-1927.0,53.0
16,2014-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-2202.0,55.0
17,2014-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-2873.0,56.0
18,2014-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,-3200.0,55.0
19,2015-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-4.0,-3479.0,51.0
20,2015-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-8.0,-3727.0,43.0
21,2015-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-8.0,-4063.0,35.0
22,2015-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-7.0,-4353.0,28.0
23,2015-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-3.0,-4503.0,25.0
24,2015-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-4521.0,26.0
25,2015-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-4383.0,28.0
26,2015-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-4269.0,30.0
27,2015-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-4400.0,32.0
28,2015-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,-4454.0,35.0
29,2016-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,-4533.0,38.0
30,2016-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,-4865.0,37.0
31,2016-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,-5185.0,36.0
32,2016-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],6.0,-7164.0,42.0
33,2016-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,-6954.0,49.0
34,2016-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],9.0,-6636.0,58.0
35,2017-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],9.0,-6159.0,67.0
36,2017-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],11.0,-5760.0,78.0
37,2017-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],9.0,-5502.0,87.0
38,2017-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,-4914.0,94.0
39,2017-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,-3983.0,97.0
40,2017-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,-2822.0,98.0
41,2017-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,3390.0,99.0
42,2018-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,3996.0,102.0
43,2018-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,10868.0,104.0
44,2019-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,11153.0,106.0
45,2019-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,11557.0,107.0
46,2019-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,11797.0,109.0
47,2019-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,12510.0,110.0
48,2019-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,17000.0,111.0
49,2020-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,17077.0,112.0
50,2020-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,17246.0,119.0
51,2020-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,17767.0,124.0
52,2020-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,18692.0,129.0
53,2020-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,19448.0,131.0
54,2020-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,19614.0,132.0
55,2020-07-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,19766.0,134.0
56,2020-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,20304.0,135.0
57,2020-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,21174.0,140.0
58,2020-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,21789.0,143.0
59,2020-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,22118.0,147.0
60,2020-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,22241.0,152.0
61,2021-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,22287.0,156.0
62,2021-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,22264.0,158.0
63,2021-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,22274.0,160.0
64,2021-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,21574.0,161.0
65,2021-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,20797.0,163.0
66,2021-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,20134.0,164.0
67,2021-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,19440.0,167.0
68,2021-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,19507.0,169.0
69,2021-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,19317.0,173.0
70,2021-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,19369.0,175.0
71,2021-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,19563.0,179.0
72,2022-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],9.0,20129.0,188.0
73,2022-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,20622.0,193.0
74,2022-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,20811.0,197.0
75,2022-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,21999.0,200.0
76,2022-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,22910.0,202.0
77,2022-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,27373.0,204.0
78,2022-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,28044.0,208.0
79,2022-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],8.0,28560.0,216.0
80,2023-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],6.0,28751.0,222.0
81,2023-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,29165.0,223.0
82,2023-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,31428.0,224.0
83,2023-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,32526.0,226.0
84,2023-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,32876.0,227.0
85,2023-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,33418.0,228.0
86,2023-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,33853.0,229.0
87,2024-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,34261.0,234.0
88,2024-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],10.0,34682.0,244.0
89,2024-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],10.0,34882.0,254.0
90,2024-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,35597.0,261.0
91,2024-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,36569.0,265.0
92,2024-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,38082.0,267.0
93,2024-07-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,39669.0,268.0
94,2024-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,44115.0,267.0
95,2025-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,44449.0,265.0
96,2025-07-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,45452.0,264.0
97,2026-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,46225.0,262.0
98,2026-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,46932.0,264.0
99,2026-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,47187.0,265.0
100,2026-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,47513.0,266.0
101,2026-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,50528.0,268.0
102,2026-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,51772.0,270.0
103,2026-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,52803.0,272.0
104,2026-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,53326.0,274.0
105,2026-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],8.0,53896.0,282.0
106,2027-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],8.0,54522.0,290.0
107,2027-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],7.0,54933.0,297.0
108,2027-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],8.0,55180.0,305.0
109,2027-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,55809.0,310.0
110,2027-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,56696.0,312.0
111,2027-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,58331.0,313.0
112,2027-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,61749.0,314.0
113,2027-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,62831.0,316.0
114,2027-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,63594.0,318.0
115,2027-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,64399.0,320.0
116,2027-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],4.0,65178.0,324.0
117,2028-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,65701.0,327.0
118,2028-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-3.0,66031.0,324.0
119,2028-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-3.0,66334.0,321.0
120,2028-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,66924.0,319.0
