,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
0,2013-12-01,Coverage_IN_CA_IID[Percent],-100.0,-187.0,-100.0
1,2020-12-01,Coverage_IN_CA_IID[Percent],-100.0,2449.0,-200.0
2,2021-12-01,Coverage_IN_CA_IID[Percent],-100.0,1571.0,-300.0
3,2025-12-01,Coverage_IN_CA_IID[Percent],-100.0,3195.0,-400.0
4,2026-11-01,Coverage_IN_CA_IID[Percent],-100.0,3830.0,-500.0
5,2026-12-01,Coverage_IN_CA_IID[Percent],-100.0,3734.0,-600.0
6,2027-11-01,Coverage_IN_CA_IID[Percent],-100.0,4467.0,-700.0
7,2027-12-01,Coverage_IN_CA_IID[Percent],-100.0,4386.0,-800.0
8,2028-11-01,Coverage_IN_CA_IID[Percent],-100.0,4648.0,-900.0
9,2028-12-01,Coverage_IN_CA_IID[Percent],-100.0,4548.0,-1000.0
10,2029-11-01,Coverage_IN_CA_IID[Percent],-100.0,4171.0,-1100.0
11,2029-12-01,Coverage_IN_CA_IID[Percent],-100.0,4097.0,-1200.0
12,2030-11-01,Coverage_IN_CA_IID[Percent],-100.0,4602.0,-1300.0
13,2030-12-01,Coverage_IN_CA_IID[Percent],-100.0,4502.0,-1400.0
14,2031-11-01,Coverage_IN_CA_IID[Percent],-100.0,3849.0,-1500.0
15,2031-12-01,Coverage_IN_CA_IID[Percent],-100.0,3711.0,-1600.0
16,2032-11-01,Coverage_IN_CA_IID[Percent],-100.0,2686.0,-1700.0
17,2034-11-01,Coverage_IN_CA_IID[Percent],-100.0,124.0,-1800.0
18,2034-12-01,Coverage_IN_CA_IID[Percent],-100.0,-44.0,-1900.0
19,2035-11-01,Coverage_IN_CA_IID[Percent],-100.0,-684.0,-2000.0
20,2035-12-01,Coverage_IN_CA_IID[Percent],-100.0,-787.0,-2100.0
21,2036-12-01,Coverage_IN_CA_IID[Percent],-100.0,-1655.0,-2200.0
22,2037-12-01,Coverage_IN_CA_IID[Percent],-100.0,-811.0,-2300.0
23,2039-11-01,Coverage_IN_CA_IID[Percent],-100.0,483.0,-2400.0
24,2039-12-01,Coverage_IN_CA_IID[Percent],-100.0,607.0,-2500.0
25,2046-11-01,Coverage_IN_CA_IID[Percent],100.0,622.0,-2400.0
26,2057-11-01,Coverage_IN_CA_IID[Percent],-100.0,6271.0,-2500.0
27,2057-12-01,Coverage_IN_CA_IID[Percent],-100.0,6146.0,-2600.0
28,2058-12-01,Coverage_IN_CA_IID[Percent],-100.0,5531.0,-2700.0
29,2063-12-01,Coverage_IN_CA_IID[Percent],-100.0,11858.0,-2800.0
30,2068-11-01,Coverage_IN_CA_IID[Percent],100.0,13695.0,-2700.0
31,2068-12-01,Coverage_IN_CA_IID[Percent],100.0,14070.0,-2600.0
