,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
0,2016-10-01,Coverage_OUT_AZ_NM_N[Percent],39.0,-600.0,39.0
1,2017-03-01,Coverage_OUT_AZ_NM_N[Percent],39.0,-949.0,78.0
2,2023-03-01,Coverage_OUT_AZ_NM_N[Percent],39.0,2136.0,117.0
3,2037-02-01,Coverage_OUT_AZ_NM_N[Percent],39.0,-2427.0,156.0
4,2049-02-01,Coverage_OUT_AZ_NM_N[Percent],38.0,424.0,194.0
5,2060-10-01,Coverage_OUT_AZ_NM_N[Percent],39.0,7683.0,233.0
6,2061-03-01,Coverage_OUT_AZ_NM_N[Percent],39.0,7629.0,272.0
7,2064-11-01,Coverage_OUT_AZ_NM_N[Percent],-39.0,12473.0,233.0
8,2067-03-01,Coverage_OUT_AZ_NM_N[Percent],39.0,10556.0,272.0
9,2013-12-01,Coverage_OUT_CA_IID[Percent],-100.0,153.0,-100.0
10,2020-12-01,Coverage_OUT_CA_IID[Percent],-100.0,2097.0,-200.0
11,2021-12-01,Coverage_OUT_CA_IID[Percent],-100.0,1102.0,-300.0
12,2025-12-01,Coverage_OUT_CA_IID[Percent],-100.0,2632.0,-400.0
13,2026-11-01,Coverage_OUT_CA_IID[Percent],-100.0,3088.0,-500.0
14,2026-12-01,Coverage_OUT_CA_IID[Percent],-100.0,2895.0,-600.0
15,2027-11-01,Coverage_OUT_CA_IID[Percent],-100.0,3612.0,-700.0
16,2027-12-01,Coverage_OUT_CA_IID[Percent],-100.0,3433.0,-800.0
17,2028-11-01,Coverage_OUT_CA_IID[Percent],-100.0,3591.0,-900.0
18,2028-12-01,Coverage_OUT_CA_IID[Percent],-100.0,3395.0,-1000.0
19,2029-11-01,Coverage_OUT_CA_IID[Percent],-100.0,3131.0,-1100.0
20,2029-12-01,Coverage_OUT_CA_IID[Percent],-100.0,3129.0,-1200.0
21,2030-11-01,Coverage_OUT_CA_IID[Percent],-100.0,3745.0,-1300.0
22,2030-12-01,Coverage_OUT_CA_IID[Percent],-100.0,3645.0,-1400.0
23,2031-11-01,Coverage_OUT_CA_IID[Percent],-100.0,3084.0,-1500.0
24,2031-12-01,Coverage_OUT_CA_IID[Percent],-100.0,2853.0,-1600.0
25,2032-11-01,Coverage_OUT_CA_IID[Percent],-100.0,1649.0,-1700.0
26,2034-11-01,Coverage_OUT_CA_IID[Percent],-100.0,-826.0,-1800.0
27,2034-12-01,Coverage_OUT_CA_IID[Percent],-100.0,-993.0,-1900.0
28,2035-11-01,Coverage_OUT_CA_IID[Percent],-100.0,-1407.0,-2000.0
29,2035-12-01,Coverage_OUT_CA_IID[Percent],-100.0,-1509.0,-2100.0
30,2036-12-01,Coverage_OUT_CA_IID[Percent],-100.0,-2313.0,-2200.0
31,2037-12-01,Coverage_OUT_CA_IID[Percent],-100.0,-1373.0,-2300.0
32,2039-11-01,Coverage_OUT_CA_IID[Percent],-100.0,-7.0,-2400.0
33,2039-12-01,Coverage_OUT_CA_IID[Percent],-100.0,116.0,-2500.0
34,2046-11-01,Coverage_OUT_CA_IID[Percent],100.0,-235.0,-2400.0
35,2057-11-01,Coverage_OUT_CA_IID[Percent],-100.0,5640.0,-2500.0
36,2057-12-01,Coverage_OUT_CA_IID[Percent],-100.0,5515.0,-2600.0
37,2058-12-01,Coverage_OUT_CA_IID[Percent],-100.0,5203.0,-2700.0
38,2063-12-01,Coverage_OUT_CA_IID[Percent],-100.0,11403.0,-2800.0
39,2068-11-01,Coverage_OUT_CA_IID[Percent],100.0,13465.0,-2700.0
40,2068-12-01,Coverage_OUT_CA_IID[Percent],100.0,13875.0,-2600.0
41,2069-12-01,Coverage_OUT_CA_IID[Percent],-100.0,15471.0,-2700.0
42,2070-11-01,Coverage_OUT_CA_IID[Percent],-100.0,17163.0,-2800.0
43,2070-12-01,Coverage_OUT_CA_IID[Percent],-100.0,17184.0,-2900.0
44,2033-05-01,Coverage_OUT_CA_LADWP[Percent],-1.0,1189.0,-1.0
45,2046-05-01,Coverage_OUT_CA_LADWP[Percent],-11.0,334.0,-12.0
46,2052-05-01,Coverage_OUT_CA_LADWP[Percent],4.0,2706.0,-8.0
47,2052-06-01,Coverage_OUT_CA_LADWP[Percent],10.0,2784.0,2.0
48,2053-06-01,Coverage_OUT_CA_LADWP[Percent],7.0,2995.0,9.0
49,2054-05-01,Coverage_OUT_CA_LADWP[Percent],8.0,3786.0,17.0
50,2057-05-01,Coverage_OUT_CA_LADWP[Percent],-3.0,6549.0,14.0
51,2057-06-01,Coverage_OUT_CA_LADWP[Percent],-3.0,6387.0,11.0
52,2058-05-01,Coverage_OUT_CA_LADWP[Percent],-26.0,5394.0,-15.0
53,2058-06-01,Coverage_OUT_CA_LADWP[Percent],-16.0,5252.0,-31.0
54,2058-12-01,Coverage_OUT_CA_LADWP[Percent],4.0,5203.0,-27.0
55,2059-05-01,Coverage_OUT_CA_LADWP[Percent],7.0,5960.0,-20.0
56,2059-06-01,Coverage_OUT_CA_LADWP[Percent],14.0,6362.0,-6.0
57,2060-05-01,Coverage_OUT_CA_LADWP[Percent],13.0,8009.0,7.0
58,2063-05-01,Coverage_OUT_CA_LADWP[Percent],9.0,9685.0,16.0
59,2064-06-01,Coverage_OUT_CA_LADWP[Percent],7.0,11885.0,23.0
60,2065-04-01,Coverage_OUT_CA_LADWP[Percent],-26.0,11858.0,-3.0
