,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2011-01-01,GW_storage_AZ_APS_E_GW[AF],790.0,902319.0,790.0
1,2011-02-01,GW_storage_AZ_APS_E_GW[AF],2024.0,3338116.0,2814.0
2,2011-03-01,GW_storage_AZ_APS_E_GW[AF],1721.0,6536404.0,4535.0
3,2011-04-01,GW_storage_AZ_APS_E_GW[AF],1410.0,10183434.0,5945.0
4,2011-05-01,GW_storage_AZ_APS_E_GW[AF],2243.0,12685363.0,8188.0
5,2011-06-01,GW_storage_AZ_APS_E_GW[AF],3070.0,12746441.0,11258.0
6,2011-07-01,GW_storage_AZ_APS_E_GW[AF],2650.0,11276299.0,13908.0
7,2011-08-01,GW_storage_AZ_APS_E_GW[AF],2063.0,9611157.0,15971.0
8,2011-09-01,GW_storage_AZ_APS_E_GW[AF],2683.0,8133293.0,18654.0
9,2011-10-01,GW_storage_AZ_APS_E_GW[AF],3111.0,7055662.0,21765.0
10,2011-11-01,GW_storage_AZ_APS_E_GW[AF],2421.0,6034031.0,24186.0
11,2011-12-01,GW_storage_AZ_APS_E_GW[AF],458.0,5534829.0,24644.0
12,2012-01-01,GW_storage_AZ_APS_E_GW[AF],-3264.0,5663760.0,21380.0
13,2012-02-01,GW_storage_AZ_APS_E_GW[AF],-7617.0,7455120.0,13763.0
14,2012-03-01,GW_storage_AZ_APS_E_GW[AF],-12122.0,10195725.0,1641.0
15,2012-04-01,GW_storage_AZ_APS_E_GW[AF],-16634.0,13019321.0,-14993.0
16,2012-05-01,GW_storage_AZ_APS_E_GW[AF],-17799.0,15993756.0,-32792.0
17,2012-06-01,GW_storage_AZ_APS_E_GW[AF],-16914.0,20273515.0,-49706.0
18,2012-07-01,GW_storage_AZ_APS_E_GW[AF],-16498.0,25635722.0,-66204.0
19,2012-08-01,GW_storage_AZ_APS_E_GW[AF],-14897.0,32161000.0,-81101.0
20,2012-09-01,GW_storage_AZ_APS_E_GW[AF],-11770.0,39682059.0,-92871.0
21,2012-10-01,GW_storage_AZ_APS_E_GW[AF],-8316.0,47636047.0,-101187.0
22,2012-11-01,GW_storage_AZ_APS_E_GW[AF],-4822.0,55296138.0,-106009.0
23,2012-12-01,GW_storage_AZ_APS_E_GW[AF],-1234.0,62111634.0,-107243.0
24,2013-01-01,GW_storage_AZ_APS_E_GW[AF],3511.0,68137640.0,-103732.0
25,2013-02-01,GW_storage_AZ_APS_E_GW[AF],9411.0,73597124.0,-94321.0
26,2013-03-01,GW_storage_AZ_APS_E_GW[AF],12583.0,78917287.0,-81738.0
