,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2013-12-01,Unmet_Dem_IN_CA_IID[AF],7289.0,187028.0,7289.0
1,2020-12-01,Unmet_Dem_IN_CA_IID[AF],7755.0,279238.0,15044.0
2,2021-12-01,Unmet_Dem_IN_CA_IID[AF],7833.0,1099033.0,22877.0
3,2025-12-01,Unmet_Dem_IN_CA_IID[AF],8151.0,717825.0,31028.0
4,2026-11-01,Unmet_Dem_IN_CA_IID[AF],8438.0,453379.0,39466.0
5,2026-12-01,Unmet_Dem_IN_CA_IID[AF],8233.0,459293.0,47699.0
6,2027-11-01,Unmet_Dem_IN_CA_IID[AF],8523.0,-172193.0,56222.0
7,2027-12-01,Unmet_Dem_IN_CA_IID[AF],8315.0,-170344.0,64537.0
8,2028-11-01,Unmet_Dem_IN_CA_IID[AF],8608.0,-149032.0,73145.0
9,2028-12-01,Unmet_Dem_IN_CA_IID[AF],8398.0,-140685.0,81543.0
10,2029-11-01,Unmet_Dem_IN_CA_IID[AF],8694.0,148733.0,90237.0
11,2029-12-01,Unmet_Dem_IN_CA_IID[AF],8482.0,116740.0,98719.0
12,2030-11-01,Unmet_Dem_IN_CA_IID[AF],8781.0,65861.0,107500.0
13,2030-12-01,Unmet_Dem_IN_CA_IID[AF],8567.0,74380.0,116067.0
14,2031-11-01,Unmet_Dem_IN_CA_IID[AF],8869.0,591931.0,124936.0
15,2031-12-01,Unmet_Dem_IN_CA_IID[AF],8653.0,615968.0,133589.0
16,2032-11-01,Unmet_Dem_IN_CA_IID[AF],8957.0,1447381.0,142546.0
17,2034-11-01,Unmet_Dem_IN_CA_IID[AF],9138.0,3125737.0,151684.0
18,2034-12-01,Unmet_Dem_IN_CA_IID[AF],8915.0,3180332.0,160599.0
19,2035-11-01,Unmet_Dem_IN_CA_IID[AF],9229.0,3436525.0,169828.0
20,2035-12-01,Unmet_Dem_IN_CA_IID[AF],9004.0,3437787.0,178832.0
21,2036-12-01,Unmet_Dem_IN_CA_IID[AF],9094.0,3874540.0,187926.0
22,2037-12-01,Unmet_Dem_IN_CA_IID[AF],9185.0,3474555.0,197111.0
23,2039-11-01,Unmet_Dem_IN_CA_IID[AF],9604.0,3292864.0,206715.0
24,2039-12-01,Unmet_Dem_IN_CA_IID[AF],9369.0,3273485.0,216084.0
25,2046-11-01,Unmet_Dem_IN_CA_IID[AF],-10296.0,4763991.0,205788.0
26,2057-11-01,Unmet_Dem_IN_CA_IID[AF],11487.0,3106823.0,217275.0
27,2057-12-01,Unmet_Dem_IN_CA_IID[AF],11207.0,3228452.0,228482.0
28,2058-12-01,Unmet_Dem_IN_CA_IID[AF],11319.0,4498684.0,239801.0
29,2063-12-01,Unmet_Dem_IN_CA_IID[AF],11897.0,1807989.0,251698.0
30,2068-11-01,Unmet_Dem_IN_CA_IID[AF],-12816.0,1423834.0,238882.0
31,2068-12-01,Unmet_Dem_IN_CA_IID[AF],-12504.0,1283478.0,226378.0
32,2069-12-01,Unmet_Dem_IN_CA_IID[AF],12629.0,885254.0,239007.0
33,2070-11-01,Unmet_Dem_IN_CA_IID[AF],13074.0,-187997.0,252081.0
34,2070-12-01,Unmet_Dem_IN_CA_IID[AF],12755.0,-76597.0,264836.0
35,2033-05-01,Unmet_Dem_IN_CA_LADWP[AF],734.0,1679003.0,734.0
36,2038-05-01,Unmet_Dem_IN_CA_LADWP[AF],-250.0,3438525.0,484.0
37,2046-05-01,Unmet_Dem_IN_CA_LADWP[AF],6531.0,4045158.0,7015.0
38,2052-05-01,Unmet_Dem_IN_CA_LADWP[AF],-2573.0,3870466.0,4442.0
39,2052-06-01,Unmet_Dem_IN_CA_LADWP[AF],-6728.0,3832830.0,-2286.0
40,2053-05-01,Unmet_Dem_IN_CA_LADWP[AF],477.0,3748801.0,-1809.0
41,2053-06-01,Unmet_Dem_IN_CA_LADWP[AF],-4658.0,3737576.0,-6467.0
42,2054-05-01,Unmet_Dem_IN_CA_LADWP[AF],-5001.0,3171837.0,-11468.0
43,2055-05-01,Unmet_Dem_IN_CA_LADWP[AF],-2802.0,1894622.0,-14270.0
44,2057-05-01,Unmet_Dem_IN_CA_LADWP[AF],2107.0,2003888.0,-12163.0
45,2057-06-01,Unmet_Dem_IN_CA_LADWP[AF],2348.0,2188171.0,-9815.0
46,2058-05-01,Unmet_Dem_IN_CA_LADWP[AF],17361.0,3687189.0,7546.0
47,2058-06-01,Unmet_Dem_IN_CA_LADWP[AF],10914.0,3834432.0,18460.0
48,2058-12-01,Unmet_Dem_IN_CA_LADWP[AF],-2616.0,4498684.0,15844.0
49,2059-05-01,Unmet_Dem_IN_CA_LADWP[AF],-4832.0,4191848.0,11012.0
50,2059-06-01,Unmet_Dem_IN_CA_LADWP[AF],-9581.0,3972431.0,1431.0
51,2060-05-01,Unmet_Dem_IN_CA_LADWP[AF],-9242.0,2860472.0,-7811.0
52,2062-12-01,Unmet_Dem_IN_CA_LADWP[AF],4034.0,3059423.0,-3777.0
53,2063-05-01,Unmet_Dem_IN_CA_LADWP[AF],-6410.0,2785157.0,-10187.0
54,2064-05-01,Unmet_Dem_IN_CA_LADWP[AF],-345.0,1464518.0,-10532.0
55,2064-06-01,Unmet_Dem_IN_CA_LADWP[AF],-4895.0,1414718.0,-15427.0
56,2065-04-01,Unmet_Dem_IN_CA_LADWP[AF],18528.0,1788347.0,3101.0
57,2065-05-01,Unmet_Dem_IN_CA_LADWP[AF],11668.0,1924747.0,14769.0
58,2065-06-01,Unmet_Dem_IN_CA_LADWP[AF],21113.0,2022461.0,35882.0
59,2065-10-01,Unmet_Dem_IN_CA_LADWP[AF],19479.0,2976179.0,55361.0
60,2065-11-01,Unmet_Dem_IN_CA_LADWP[AF],18517.0,3303866.0,73878.0
61,2066-12-01,Unmet_Dem_IN_CA_LADWP[AF],5741.0,3522017.0,79619.0
62,2067-06-01,Unmet_Dem_IN_CA_LADWP[AF],-3534.0,3355392.0,76085.0
63,2068-05-01,Unmet_Dem_IN_CA_LADWP[AF],-18541.0,2646754.0,57544.0
64,2068-06-01,Unmet_Dem_IN_CA_LADWP[AF],-7476.0,2392515.0,50068.0
65,2069-05-01,Unmet_Dem_IN_CA_LADWP[AF],-522.0,1106046.0,49546.0
66,2070-05-01,Unmet_Dem_IN_CA_LADWP[AF],-7705.0,645938.0,41841.0
67,2070-12-01,Unmet_Dem_IN_CA_LADWP[AF],7259.0,-76597.0,49100.0
68,2012-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],6868.0,61531.0,6868.0
69,2012-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],11575.0,106011.0,18443.0
70,2012-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1521.0,111701.0,19964.0
71,2013-03-01,Unmet_Dem_IN_CA_PGE_BAY[AF],881.0,95579.0,20845.0
72,2013-04-01,Unmet_Dem_IN_CA_PGE_BAY[AF],10283.0,83873.0,31128.0
73,2013-05-01,Unmet_Dem_IN_CA_PGE_BAY[AF],26045.0,109357.0,57173.0
74,2013-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],16631.0,138004.0,73804.0
75,2013-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],12839.0,137329.0,86643.0
76,2013-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4615.0,131203.0,91258.0
77,2013-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3737.0,122363.0,94995.0
78,2013-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],14152.0,161852.0,109147.0
79,2013-12-01,Unmet_Dem_IN_CA_PGE_BAY[AF],7292.0,187028.0,116439.0
80,2014-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],12839.0,419540.0,129278.0
81,2014-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],6937.0,444873.0,136215.0
82,2014-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],16287.0,504727.0,152502.0
83,2014-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],22244.0,589961.0,174746.0
84,2016-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],10988.0,861944.0,185734.0
85,2016-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3973.0,883679.0,189707.0
86,2016-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],11578.0,924717.0,201285.0
87,2016-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],13387.0,958608.0,214672.0
88,2017-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-7808.0,735250.0,206864.0
89,2020-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],13091.0,248710.0,219955.0
90,2020-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3254.0,252149.0,223209.0
91,2020-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],494.0,242981.0,223703.0
92,2020-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],10593.0,269792.0,234296.0
93,2020-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],9111.0,280023.0,243407.0
94,2021-04-01,Unmet_Dem_IN_CA_PGE_BAY[AF],26867.0,380866.0,270274.0
95,2021-05-01,Unmet_Dem_IN_CA_PGE_BAY[AF],20597.0,445564.0,290871.0
96,2021-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],34490.0,507838.0,325361.0
97,2021-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],31100.0,618065.0,356461.0
98,2021-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],49074.0,701864.0,405535.0
99,2021-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],46281.0,824329.0,451816.0
100,2021-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],44173.0,972338.0,495989.0
101,2021-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],32863.0,1082028.0,528852.0
102,2022-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-13460.0,868894.0,515392.0
103,2022-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-20676.0,787370.0,494716.0
104,2024-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-6132.0,661622.0,488584.0
105,2024-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-21281.0,628946.0,467303.0
106,2024-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-20990.0,592217.0,446313.0
107,2024-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-7342.0,561603.0,438971.0
108,2025-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],12753.0,652919.0,451724.0
109,2025-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],13736.0,701947.0,465460.0
110,2027-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-11513.0,90239.0,453947.0
111,2027-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-20751.0,12094.0,433196.0
112,2027-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-27222.0,-94006.0,405974.0
113,2027-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-22092.0,-172193.0,383882.0
114,2029-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2108.0,41001.0,385990.0
115,2029-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5531.0,77879.0,391521.0
116,2031-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],22750.0,328492.0,414271.0
117,2031-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],35962.0,428875.0,450233.0
118,2031-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],31778.0,512125.0,482011.0
119,2031-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],19080.0,591931.0,501091.0
120,2031-12-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1583.0,615968.0,502674.0
121,2032-03-01,Unmet_Dem_IN_CA_PGE_BAY[AF],36846.0,692620.0,539520.0
122,2032-04-01,Unmet_Dem_IN_CA_PGE_BAY[AF],32024.0,735475.0,571544.0
123,2032-05-01,Unmet_Dem_IN_CA_PGE_BAY[AF],36128.0,775215.0,607672.0
124,2032-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],55494.0,835320.0,663166.0
125,2032-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],67924.0,961683.0,731090.0
126,2032-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],37596.0,1046393.0,768686.0
127,2032-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],57914.0,1180681.0,826600.0
128,2032-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],53240.0,1325883.0,879840.0
129,2032-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],30939.0,1447381.0,910779.0
130,2033-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],10519.0,1883992.0,921298.0
131,2033-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],8226.0,1958458.0,929524.0
132,2034-02-01,Unmet_Dem_IN_CA_PGE_BAY[AF],19312.0,2220370.0,948836.0
133,2034-03-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5501.0,2233853.0,954337.0
134,2034-04-01,Unmet_Dem_IN_CA_PGE_BAY[AF],10616.0,2318138.0,964953.0
135,2034-05-01,Unmet_Dem_IN_CA_PGE_BAY[AF],11857.0,2446238.0,976810.0
136,2034-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],24197.0,2706102.0,1001007.0
137,2034-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],32902.0,2816906.0,1033909.0
138,2034-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],36247.0,2959391.0,1070156.0
139,2034-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],31882.0,3125737.0,1102038.0
140,2034-12-01,Unmet_Dem_IN_CA_PGE_BAY[AF],16920.0,3180332.0,1118958.0
141,2035-01-01,Unmet_Dem_IN_CA_PGE_BAY[AF],20671.0,3217709.0,1139629.0
142,2035-02-01,Unmet_Dem_IN_CA_PGE_BAY[AF],17311.0,3252060.0,1156940.0
143,2035-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],12288.0,3319831.0,1169228.0
144,2035-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],17938.0,3352332.0,1187166.0
145,2035-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],28145.0,3385184.0,1215311.0
146,2035-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],23011.0,3436525.0,1238322.0
147,2036-02-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1541.0,3457175.0,1239863.0
148,2036-04-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5751.0,3467900.0,1245614.0
149,2036-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],14774.0,3504839.0,1260388.0
150,2036-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],23524.0,3557018.0,1283912.0
151,2036-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],52076.0,3658532.0,1335988.0
152,2036-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],25063.0,3741390.0,1361051.0
153,2036-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],22729.0,3837692.0,1383780.0
154,2038-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-3866.0,3356928.0,1379914.0
155,2038-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-6246.0,3336847.0,1373668.0
156,2038-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2260.0,3376692.0,1375928.0
157,2038-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3701.0,3379821.0,1379629.0
158,2042-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-10045.0,3075745.0,1369584.0
159,2042-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-20801.0,3053866.0,1348783.0
160,2042-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-8561.0,2999021.0,1340222.0
161,2044-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-5206.0,3051731.0,1335016.0
162,2045-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],23095.0,3346095.0,1358111.0
163,2045-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],37241.0,3491566.0,1395352.0
164,2045-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],37658.0,3658859.0,1433010.0
165,2045-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],13436.0,3775725.0,1446446.0
166,2046-04-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5311.0,3982410.0,1451757.0
167,2046-05-01,Unmet_Dem_IN_CA_PGE_BAY[AF],9157.0,4045158.0,1460914.0
168,2046-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],24598.0,4350743.0,1485512.0
169,2046-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],37335.0,4511615.0,1522847.0
170,2046-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],37962.0,4675933.0,1560809.0
171,2046-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],19462.0,4763991.0,1580271.0
172,2047-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-5847.0,4458923.0,1574424.0
173,2047-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2242.0,4450066.0,1576666.0
174,2047-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],12759.0,4464899.0,1589425.0
175,2047-12-01,Unmet_Dem_IN_CA_PGE_BAY[AF],40326.0,4512852.0,1629751.0
