,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2011-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],21.0,-149.0,21.0
1,2011-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],-3.0,-152.0,18.0
2,2011-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],-36.0,-188.0,-18.0
3,2011-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],-23.0,-211.0,-41.0
4,2011-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],-30.0,133.0,-71.0
5,2011-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],-4.0,-9719.0,-75.0
6,2011-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-28.0,-9756.0,-103.0
7,2011-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],-2.0,-10396.0,-105.0
8,2011-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],-22.0,-10632.0,-127.0
9,2011-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],-23.0,-10919.0,-150.0
10,2011-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],-16.0,-11063.0,-166.0
11,2012-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],-8.0,-11282.0,-174.0
12,2012-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,-11279.0,-171.0
13,2012-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],-9.0,-11288.0,-180.0
14,2012-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],29.0,-11259.0,-151.0
15,2012-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],28.0,5365.0,-123.0
16,2012-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],11.0,18387.0,-112.0
17,2012-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-7.0,18747.0,-119.0
18,2012-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,19056.0,-104.0
19,2012-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],17.0,27475.0,-87.0
20,2012-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],10.0,27778.0,-77.0
21,2012-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],-2.0,27649.0,-79.0
22,2013-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],-4.0,27441.0,-83.0
23,2013-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],-13.0,27377.0,-96.0
24,2013-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],-17.0,27360.0,-113.0
25,2013-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],-12.0,26122.0,-125.0
26,2013-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],-5.0,29453.0,-130.0
27,2013-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],-2.0,30895.0,-132.0
28,2013-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-32.0,34961.0,-164.0
29,2013-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],-34.0,35652.0,-198.0
30,2013-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],-62.0,35117.0,-260.0
31,2013-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],-13.0,39122.0,-273.0
32,2013-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],-1.0,44103.0,-274.0
33,2013-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],-2.0,45408.0,-276.0
34,2014-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],-5.0,45884.0,-281.0
35,2014-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],-1.0,45883.0,-282.0
36,2014-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],-19.0,45864.0,-301.0
37,2014-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],-14.0,47986.0,-315.0
38,2014-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],-7.0,69329.0,-322.0
39,2014-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],-13.0,94120.0,-335.0
40,2014-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-6.0,110075.0,-341.0
41,2014-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],-10.0,116726.0,-351.0
42,2014-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],-32.0,130295.0,-383.0
