,Date,Location,Reduction_in_supply_delivered,Running_total,Location_running_total
0,2011-01-01,Supply_Del_AZ_APS_E_Upr Salt[AF],2.0,1467760.0,2.0
1,2011-02-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-7.0,724501.0,-5.0
2,2011-03-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-9.0,-1177091.0,-14.0
3,2011-04-01,Supply_Del_AZ_APS_E_Upr Salt[AF],2.0,-2892649.0,-12.0
4,2011-07-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-9870315.0,-14.0
5,2011-08-01,Supply_Del_AZ_APS_E_Upr Salt[AF],2.0,-8830409.0,-12.0
6,2011-09-01,Supply_Del_AZ_APS_E_Upr Salt[AF],2.0,-7546292.0,-10.0
7,2011-11-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-5.0,-8122823.0,-15.0
8,2011-12-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-7.0,-7491920.0,-22.0
9,2012-01-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-7450651.0,-24.0
10,2012-02-01,Supply_Del_AZ_APS_E_Upr Salt[AF],7.0,-5006279.0,-17.0
11,2012-03-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-4.0,-5959741.0,-21.0
12,2012-04-01,Supply_Del_AZ_APS_E_Upr Salt[AF],4.0,-6995476.0,-17.0
13,2012-05-01,Supply_Del_AZ_APS_E_Upr Salt[AF],2.0,-6241300.0,-15.0
14,2012-06-01,Supply_Del_AZ_APS_E_Upr Salt[AF],1.0,-7144727.0,-14.0
15,2012-07-01,Supply_Del_AZ_APS_E_Upr Salt[AF],1.0,-8980057.0,-13.0
16,2012-08-01,Supply_Del_AZ_APS_E_Upr Salt[AF],2.0,-10408754.0,-11.0
17,2012-10-01,Supply_Del_AZ_APS_E_Upr Salt[AF],1.0,-9777577.0,-10.0
18,2013-02-01,Supply_Del_AZ_APS_E_Upr Salt[AF],1.0,-14212774.0,-9.0
19,2013-03-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-9.0,-13232876.0,-18.0
20,2013-04-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-3.0,-11421930.0,-21.0
21,2013-07-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-4.0,-10680904.0,-25.0
22,2013-08-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-10424288.0,-27.0
23,2013-09-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-3.0,-12473588.0,-30.0
24,2013-11-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-11624438.0,-32.0
25,2013-12-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-1.0,-10019264.0,-33.0
26,2014-01-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-3.0,-10478062.0,-36.0
27,2014-02-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-3.0,-10200885.0,-39.0
