,Date,Location,Reduction_in_supply_delivered,Running_total,Location_running_total
0,2011-01-01,Supply_Del_OUT_AZ_APS_E[AF],6.0,18909.0,6.0
1,2011-02-01,Supply_Del_OUT_AZ_APS_E[AF],-9.0,986.0,-3.0
2,2011-03-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,-21709.0,-7.0
3,2011-04-01,Supply_Del_OUT_AZ_APS_E[AF],5.0,-17658.0,-2.0
4,2011-05-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-25645.0,0.0
5,2011-06-01,Supply_Del_OUT_AZ_APS_E[AF],1.0,-26065.0,1.0
6,2011-07-01,Supply_Del_OUT_AZ_APS_E[AF],-5.0,-36563.0,-4.0
7,2011-08-01,Supply_Del_OUT_AZ_APS_E[AF],5.0,-31585.0,1.0
8,2011-09-01,Supply_Del_OUT_AZ_APS_E[AF],4.0,-12250.0,5.0
9,2011-10-01,Supply_Del_OUT_AZ_APS_E[AF],1.0,-12745.0,6.0
10,2011-11-01,Supply_Del_OUT_AZ_APS_E[AF],-12.0,-51449.0,-6.0
11,2011-12-01,Supply_Del_OUT_AZ_APS_E[AF],-13.0,-68671.0,-19.0
12,2012-02-01,Supply_Del_OUT_AZ_APS_E[AF],7.0,-30877.0,-12.0
13,2012-03-01,Supply_Del_OUT_AZ_APS_E[AF],-9.0,-49418.0,-21.0
14,2012-04-01,Supply_Del_OUT_AZ_APS_E[AF],8.0,-28495.0,-13.0
15,2012-05-01,Supply_Del_OUT_AZ_APS_E[AF],4.0,4241.0,-9.0
16,2012-06-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,29353.0,-7.0
17,2012-07-01,Supply_Del_OUT_AZ_APS_E[AF],4.0,39471.0,-3.0
18,2012-08-01,Supply_Del_OUT_AZ_APS_E[AF],6.0,47774.0,3.0
19,2012-10-01,Supply_Del_OUT_AZ_APS_E[AF],4.0,27595.0,7.0
20,2013-03-01,Supply_Del_OUT_AZ_APS_E[AF],-11.0,-21293.0,-4.0
21,2013-04-01,Supply_Del_OUT_AZ_APS_E[AF],-5.0,-2924.0,-9.0
22,2013-05-01,Supply_Del_OUT_AZ_APS_E[AF],1.0,-15220.0,-8.0
23,2013-07-01,Supply_Del_OUT_AZ_APS_E[AF],-10.0,-25984.0,-18.0
24,2013-08-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,-32469.0,-22.0
25,2013-09-01,Supply_Del_OUT_AZ_APS_E[AF],-7.0,-83839.0,-29.0
26,2013-10-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-81615.0,-27.0
27,2013-12-01,Supply_Del_OUT_AZ_APS_E[AF],-6.0,-10618.0,-33.0
28,2014-01-01,Supply_Del_OUT_AZ_APS_E[AF],-1.0,-29266.0,-34.0
29,2014-02-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-38860.0,-32.0
30,2014-03-01,Supply_Del_OUT_AZ_APS_E[AF],-12.0,-39466.0,-44.0
31,2014-04-01,Supply_Del_OUT_AZ_APS_E[AF],-1.0,-22869.0,-45.0
32,2014-07-01,Supply_Del_OUT_AZ_APS_E[AF],-6.0,13713.0,-51.0
33,2014-08-01,Supply_Del_OUT_AZ_APS_E[AF],-8.0,15429.0,-59.0
34,2014-09-01,Supply_Del_OUT_AZ_APS_E[AF],-22.0,-22526.0,-81.0
35,2014-10-01,Supply_Del_OUT_AZ_APS_E[AF],9.0,51328.0,-72.0
36,2014-11-01,Supply_Del_OUT_AZ_APS_E[AF],8.0,48309.0,-64.0
37,2014-12-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,35118.0,-68.0
38,2015-01-01,Supply_Del_OUT_AZ_APS_E[AF],12.0,42151.0,-56.0
39,2015-02-01,Supply_Del_OUT_AZ_APS_E[AF],13.0,49142.0,-43.0
40,2015-03-01,Supply_Del_OUT_AZ_APS_E[AF],23.0,86641.0,-20.0
41,2015-04-01,Supply_Del_OUT_AZ_APS_E[AF],25.0,127156.0,5.0
42,2015-05-01,Supply_Del_OUT_AZ_APS_E[AF],1.0,173429.0,6.0
43,2015-07-01,Supply_Del_OUT_AZ_APS_E[AF],7.0,198115.0,13.0
44,2015-08-01,Supply_Del_OUT_AZ_APS_E[AF],-17.0,198484.0,-4.0
45,2015-09-01,Supply_Del_OUT_AZ_APS_E[AF],-19.0,168197.0,-23.0
