,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2012-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,9604.0,-2.0
1,2013-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8.0,39942.0,6.0
2,2013-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4.0,44460.0,10.0
3,2013-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,48549.0,12.0
4,2013-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,48906.0,14.0
5,2014-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,53920.0,17.0
6,2014-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,55366.0,19.0
7,2014-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,53175.0,21.0
8,2014-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,80525.0,19.0
9,2014-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,86576.0,16.0
10,2015-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,93567.0,18.0
11,2015-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,94246.0,21.0
12,2016-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,115480.0,19.0
13,2018-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2374.0,474633.0,2393.0
14,2018-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],1142.0,384814.0,3535.0
15,2018-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],642.0,360266.0,4177.0
16,2018-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],375.0,356470.0,4552.0
17,2018-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],240.0,364565.0,4792.0
18,2018-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],173.0,404806.0,4965.0
19,2018-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],140.0,443690.0,5105.0
20,2018-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],119.0,474771.0,5224.0
21,2019-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],100.0,491752.0,5324.0
22,2019-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],82.0,498730.0,5406.0
23,2019-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],61.0,497840.0,5467.0
24,2019-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],43.0,502828.0,5510.0
25,2019-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],28.0,501598.0,5538.0
26,2019-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],16.0,500711.0,5554.0
27,2019-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],10.0,497320.0,5564.0
28,2019-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5.0,507162.0,5569.0
29,2019-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,519813.0,5572.0
30,2019-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,537842.0,5575.0
31,2019-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,555474.0,5577.0
32,2019-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,562130.0,5579.0
33,2020-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,561303.0,5581.0
34,2021-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],9396.0,735832.0,14977.0
35,2021-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],6556.0,760189.0,21533.0
36,2021-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5484.0,786057.0,27017.0
37,2022-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4604.0,810587.0,31621.0
38,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3870.0,839324.0,35491.0
39,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3012.0,865260.0,38503.0
40,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2159.0,893083.0,40662.0
41,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],1392.0,908260.0,42054.0
42,2022-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],853.0,920988.0,42907.0
43,2022-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],468.0,935377.0,43375.0
44,2022-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],267.0,950502.0,43642.0
45,2022-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],171.0,961328.0,43813.0
46,2022-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],127.0,968145.0,43940.0
47,2022-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],103.0,989852.0,44043.0
48,2022-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],87.0,1007022.0,44130.0
49,2023-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],73.0,1017954.0,44203.0
50,2023-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],42.0,1021184.0,44245.0
51,2023-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],23.0,1024214.0,44268.0
52,2023-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],19.0,1025310.0,44287.0
53,2023-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],12.0,1027114.0,44299.0
54,2023-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],7.0,1025287.0,44306.0
55,2023-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4.0,1036983.0,44310.0
56,2023-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,1061839.0,44312.0
