,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2018-05-01,GW_storage_AZ_APS_E_GW[AF],2.0,-195650.0,2.0
1,2018-06-01,GW_storage_AZ_APS_E_GW[AF],2.0,-110998.0,4.0
2,2019-10-01,GW_storage_AZ_APS_E_GW[AF],2.0,1085657.0,6.0
3,2019-11-01,GW_storage_AZ_APS_E_GW[AF],2.0,1176677.0,8.0
4,2020-02-01,GW_storage_AZ_APS_E_GW[AF],2.0,1565796.0,10.0
5,2020-04-01,GW_storage_AZ_APS_E_GW[AF],2.0,1825385.0,12.0
6,2020-05-01,GW_storage_AZ_APS_E_GW[AF],2.0,1949503.0,14.0
7,2020-09-01,GW_storage_AZ_APS_E_GW[AF],2.0,2404707.0,16.0
8,2021-01-01,GW_storage_AZ_APS_E_GW[AF],13.0,2898046.0,29.0
9,2021-02-01,GW_storage_AZ_APS_E_GW[AF],25.0,3030313.0,54.0
10,2021-03-01,GW_storage_AZ_APS_E_GW[AF],36.0,3162540.0,90.0
11,2021-04-01,GW_storage_AZ_APS_E_GW[AF],48.0,3294165.0,138.0
12,2021-05-01,GW_storage_AZ_APS_E_GW[AF],60.0,3427972.0,198.0
13,2021-06-01,GW_storage_AZ_APS_E_GW[AF],71.0,3564970.0,269.0
14,2021-07-01,GW_storage_AZ_APS_E_GW[AF],83.0,3706129.0,352.0
15,2021-08-01,GW_storage_AZ_APS_E_GW[AF],93.0,3852556.0,445.0
16,2021-09-01,GW_storage_AZ_APS_E_GW[AF],105.0,4003707.0,550.0
17,2021-10-01,GW_storage_AZ_APS_E_GW[AF],115.0,4159930.0,665.0
18,2021-11-01,GW_storage_AZ_APS_E_GW[AF],124.0,4322569.0,789.0
19,2021-12-01,GW_storage_AZ_APS_E_GW[AF],134.0,4490344.0,923.0
20,2022-01-01,GW_storage_AZ_APS_E_GW[AF],155.0,4665015.0,1078.0
21,2022-02-01,GW_storage_AZ_APS_E_GW[AF],176.0,4847171.0,1254.0
22,2022-03-01,GW_storage_AZ_APS_E_GW[AF],197.0,5032221.0,1451.0
23,2022-04-01,GW_storage_AZ_APS_E_GW[AF],218.0,5226138.0,1669.0
24,2022-05-01,GW_storage_AZ_APS_E_GW[AF],239.0,5428416.0,1908.0
25,2022-06-01,GW_storage_AZ_APS_E_GW[AF],261.0,5637140.0,2169.0
26,2022-07-01,GW_storage_AZ_APS_E_GW[AF],281.0,5851589.0,2450.0
27,2022-08-01,GW_storage_AZ_APS_E_GW[AF],302.0,6074918.0,2752.0
28,2022-09-01,GW_storage_AZ_APS_E_GW[AF],322.0,6302008.0,3074.0
29,2022-10-01,GW_storage_AZ_APS_E_GW[AF],340.0,6533362.0,3414.0
30,2022-11-01,GW_storage_AZ_APS_E_GW[AF],358.0,6766069.0,3772.0
31,2022-12-01,GW_storage_AZ_APS_E_GW[AF],374.0,7002868.0,4146.0
32,2023-01-01,GW_storage_AZ_APS_E_GW[AF],402.0,7243785.0,4548.0
33,2023-02-01,GW_storage_AZ_APS_E_GW[AF],432.0,7489989.0,4980.0
34,2023-03-01,GW_storage_AZ_APS_E_GW[AF],461.0,7736923.0,5441.0
35,2023-04-01,GW_storage_AZ_APS_E_GW[AF],489.0,7983844.0,5930.0
36,2023-05-01,GW_storage_AZ_APS_E_GW[AF],518.0,8230709.0,6448.0
37,2023-06-01,GW_storage_AZ_APS_E_GW[AF],547.0,8483916.0,6995.0
38,2023-07-01,GW_storage_AZ_APS_E_GW[AF],576.0,8741334.0,7571.0
39,2023-08-01,GW_storage_AZ_APS_E_GW[AF],604.0,9006264.0,8175.0
40,2023-09-01,GW_storage_AZ_APS_E_GW[AF],631.0,9281491.0,8806.0
41,2023-10-01,GW_storage_AZ_APS_E_GW[AF],656.0,9567426.0,9462.0
42,2023-11-01,GW_storage_AZ_APS_E_GW[AF],680.0,9862443.0,10142.0
43,2023-12-01,GW_storage_AZ_APS_E_GW[AF],702.0,10178907.0,10844.0
44,2024-01-01,GW_storage_AZ_APS_E_GW[AF],738.0,10506660.0,11582.0
45,2024-02-01,GW_storage_AZ_APS_E_GW[AF],773.0,10850576.0,12355.0
46,2024-03-01,GW_storage_AZ_APS_E_GW[AF],807.0,11202153.0,13162.0
47,2024-04-01,GW_storage_AZ_APS_E_GW[AF],843.0,11561075.0,14005.0
48,2024-05-01,GW_storage_AZ_APS_E_GW[AF],878.0,11927021.0,14883.0
49,2024-06-01,GW_storage_AZ_APS_E_GW[AF],914.0,12299941.0,15797.0
50,2024-07-01,GW_storage_AZ_APS_E_GW[AF],950.0,12682390.0,16747.0
51,2024-08-01,GW_storage_AZ_APS_E_GW[AF],984.0,13077234.0,17731.0
52,2024-09-01,GW_storage_AZ_APS_E_GW[AF],1018.0,13484262.0,18749.0
53,2024-10-01,GW_storage_AZ_APS_E_GW[AF],1048.0,13901728.0,19797.0
54,2024-11-01,GW_storage_AZ_APS_E_GW[AF],1077.0,14329442.0,20874.0
55,2024-12-01,GW_storage_AZ_APS_E_GW[AF],1104.0,14767738.0,21978.0
56,2025-01-01,GW_storage_AZ_APS_E_GW[AF],1144.0,15215711.0,23122.0
57,2025-02-01,GW_storage_AZ_APS_E_GW[AF],1186.0,15674893.0,24308.0
58,2025-03-01,GW_storage_AZ_APS_E_GW[AF],1225.0,16134630.0,25533.0
59,2025-04-01,GW_storage_AZ_APS_E_GW[AF],1265.0,16598230.0,26798.0
60,2025-05-01,GW_storage_AZ_APS_E_GW[AF],1307.0,17066088.0,28105.0
61,2025-06-01,GW_storage_AZ_APS_E_GW[AF],1349.0,17545114.0,29454.0
62,2025-07-01,GW_storage_AZ_APS_E_GW[AF],1389.0,18050385.0,30843.0
63,2025-08-01,GW_storage_AZ_APS_E_GW[AF],1429.0,18565745.0,32272.0
64,2025-09-01,GW_storage_AZ_APS_E_GW[AF],1467.0,19094495.0,33739.0
65,2025-10-01,GW_storage_AZ_APS_E_GW[AF],1502.0,19639180.0,35241.0
66,2025-11-01,GW_storage_AZ_APS_E_GW[AF],1536.0,20201461.0,36777.0
67,2025-12-01,GW_storage_AZ_APS_E_GW[AF],1567.0,20776088.0,38344.0
68,2026-01-01,GW_storage_AZ_APS_E_GW[AF],1610.0,21354974.0,39954.0
69,2026-02-01,GW_storage_AZ_APS_E_GW[AF],1657.0,21946203.0,41611.0
70,2026-03-01,GW_storage_AZ_APS_E_GW[AF],1701.0,22565739.0,43312.0
71,2026-04-01,GW_storage_AZ_APS_E_GW[AF],1746.0,23191304.0,45058.0
72,2026-05-01,GW_storage_AZ_APS_E_GW[AF],1791.0,23821029.0,46849.0
73,2026-06-01,GW_storage_AZ_APS_E_GW[AF],1838.0,24460257.0,48687.0
74,2026-07-01,GW_storage_AZ_APS_E_GW[AF],1884.0,25113515.0,50571.0
75,2026-08-01,GW_storage_AZ_APS_E_GW[AF],1928.0,25785521.0,52499.0
76,2026-09-01,GW_storage_AZ_APS_E_GW[AF],1971.0,26478364.0,54470.0
77,2026-10-01,GW_storage_AZ_APS_E_GW[AF],2010.0,27193567.0,56480.0
78,2026-11-01,GW_storage_AZ_APS_E_GW[AF],2048.0,27926949.0,58528.0
79,2026-12-01,GW_storage_AZ_APS_E_GW[AF],2082.0,28679443.0,60610.0
80,2027-01-01,GW_storage_AZ_APS_E_GW[AF],2128.0,29451798.0,62738.0
81,2027-02-01,GW_storage_AZ_APS_E_GW[AF],2179.0,30242585.0,64917.0
82,2027-03-01,GW_storage_AZ_APS_E_GW[AF],2226.0,31056701.0,67143.0
83,2027-04-01,GW_storage_AZ_APS_E_GW[AF],2275.0,31895652.0,69418.0
84,2027-05-01,GW_storage_AZ_APS_E_GW[AF],2324.0,32750015.0,71742.0
85,2027-06-01,GW_storage_AZ_APS_E_GW[AF],2376.0,33618063.0,74118.0
86,2027-07-01,GW_storage_AZ_APS_E_GW[AF],2425.0,34501957.0,76543.0
87,2027-08-01,GW_storage_AZ_APS_E_GW[AF],2474.0,35392677.0,79017.0
88,2027-09-01,GW_storage_AZ_APS_E_GW[AF],2520.0,36294730.0,81537.0
89,2027-10-01,GW_storage_AZ_APS_E_GW[AF],2562.0,37202529.0,84099.0
90,2027-11-01,GW_storage_AZ_APS_E_GW[AF],2603.0,38112099.0,86702.0
91,2027-12-01,GW_storage_AZ_APS_E_GW[AF],2639.0,39023392.0,89341.0
92,2028-01-01,GW_storage_AZ_APS_E_GW[AF],2688.0,39943954.0,92029.0
93,2028-02-01,GW_storage_AZ_APS_E_GW[AF],2741.0,40871297.0,94770.0
94,2028-03-01,GW_storage_AZ_APS_E_GW[AF],2792.0,41796649.0,97562.0
95,2028-04-01,GW_storage_AZ_APS_E_GW[AF],2844.0,42724934.0,100406.0
96,2028-05-01,GW_storage_AZ_APS_E_GW[AF],2896.0,43660892.0,103302.0
97,2028-06-01,GW_storage_AZ_APS_E_GW[AF],2952.0,44607137.0,106254.0
98,2028-07-01,GW_storage_AZ_APS_E_GW[AF],3005.0,45572669.0,109259.0
99,2028-08-01,GW_storage_AZ_APS_E_GW[AF],3056.0,46561002.0,112315.0
100,2028-09-01,GW_storage_AZ_APS_E_GW[AF],3107.0,47573238.0,115422.0
101,2028-10-01,GW_storage_AZ_APS_E_GW[AF],3151.0,48619067.0,118573.0
102,2028-11-01,GW_storage_AZ_APS_E_GW[AF],3195.0,49699425.0,121768.0
103,2028-12-01,GW_storage_AZ_APS_E_GW[AF],3232.0,50837947.0,125000.0
104,2029-01-01,GW_storage_AZ_APS_E_GW[AF],3284.0,51972597.0,128284.0
105,2029-02-01,GW_storage_AZ_APS_E_GW[AF],3342.0,53100692.0,131626.0
106,2029-03-01,GW_storage_AZ_APS_E_GW[AF],3394.0,54218400.0,135020.0
107,2029-04-01,GW_storage_AZ_APS_E_GW[AF],3449.0,55349278.0,138469.0
108,2029-05-01,GW_storage_AZ_APS_E_GW[AF],3505.0,56476494.0,141974.0
109,2029-06-01,GW_storage_AZ_APS_E_GW[AF],3564.0,57612338.0,145538.0
110,2029-07-01,GW_storage_AZ_APS_E_GW[AF],3620.0,58782305.0,149158.0
111,2029-08-01,GW_storage_AZ_APS_E_GW[AF],3675.0,59975465.0,152833.0
112,2029-09-01,GW_storage_AZ_APS_E_GW[AF],3728.0,61188502.0,156561.0
113,2029-10-01,GW_storage_AZ_APS_E_GW[AF],3775.0,62415374.0,160336.0
114,2029-11-01,GW_storage_AZ_APS_E_GW[AF],3821.0,63640497.0,164157.0
115,2029-12-01,GW_storage_AZ_APS_E_GW[AF],3860.0,64868945.0,168017.0
116,2030-01-01,GW_storage_AZ_APS_E_GW[AF],3913.0,66116194.0,171930.0
117,2030-02-01,GW_storage_AZ_APS_E_GW[AF],3974.0,67351146.0,175904.0
118,2030-03-01,GW_storage_AZ_APS_E_GW[AF],4028.0,68576698.0,179932.0
119,2030-04-01,GW_storage_AZ_APS_E_GW[AF],4087.0,69805075.0,184019.0
120,2030-05-01,GW_storage_AZ_APS_E_GW[AF],4145.0,71033558.0,188164.0
121,2030-06-01,GW_storage_AZ_APS_E_GW[AF],4207.0,72268081.0,192371.0
122,2030-07-01,GW_storage_AZ_APS_E_GW[AF],4266.0,73515629.0,196637.0
123,2030-08-01,GW_storage_AZ_APS_E_GW[AF],4324.0,74824031.0,200961.0
124,2030-09-01,GW_storage_AZ_APS_E_GW[AF],4379.0,76115394.0,205340.0
125,2030-10-01,GW_storage_AZ_APS_E_GW[AF],4429.0,77448496.0,209769.0
126,2030-11-01,GW_storage_AZ_APS_E_GW[AF],4476.0,78813877.0,214245.0
127,2030-12-01,GW_storage_AZ_APS_E_GW[AF],4516.0,80190451.0,218761.0
128,2031-01-01,GW_storage_AZ_APS_E_GW[AF],4571.0,81603174.0,223332.0
129,2031-02-01,GW_storage_AZ_APS_E_GW[AF],4635.0,83003256.0,227967.0
130,2031-03-01,GW_storage_AZ_APS_E_GW[AF],9811.0,84393245.0,237778.0
131,2031-04-01,GW_storage_AZ_APS_E_GW[AF],9627.0,85768058.0,247405.0
132,2031-05-01,GW_storage_AZ_APS_E_GW[AF],9441.0,87133979.0,256846.0
133,2031-06-01,GW_storage_AZ_APS_E_GW[AF],9419.0,88502527.0,266265.0
134,2031-07-01,GW_storage_AZ_APS_E_GW[AF],9393.0,89888222.0,275658.0
135,2031-08-01,GW_storage_AZ_APS_E_GW[AF],9366.0,91310226.0,285024.0
136,2031-09-01,GW_storage_AZ_APS_E_GW[AF],9343.0,92756988.0,294367.0
137,2031-10-01,GW_storage_AZ_APS_E_GW[AF],9310.0,94221216.0,303677.0
138,2031-11-01,GW_storage_AZ_APS_E_GW[AF],9282.0,95706244.0,312959.0
139,2031-12-01,GW_storage_AZ_APS_E_GW[AF],9243.0,97238769.0,322202.0
140,2032-01-01,GW_storage_AZ_APS_E_GW[AF],9220.0,98758783.0,331422.0
141,2032-02-01,GW_storage_AZ_APS_E_GW[AF],9211.0,100266814.0,340633.0
142,2032-03-01,GW_storage_AZ_APS_E_GW[AF],9194.0,101798239.0,349827.0
143,2032-04-01,GW_storage_AZ_APS_E_GW[AF],9186.0,103310663.0,359013.0
144,2032-05-01,GW_storage_AZ_APS_E_GW[AF],9176.0,104830611.0,368189.0
145,2032-06-01,GW_storage_AZ_APS_E_GW[AF],9176.0,106364099.0,377365.0
146,2032-07-01,GW_storage_AZ_APS_E_GW[AF],9170.0,107923066.0,386535.0
147,2032-08-01,GW_storage_AZ_APS_E_GW[AF],9163.0,109516585.0,395698.0
148,2032-09-01,GW_storage_AZ_APS_E_GW[AF],9160.0,111148096.0,404858.0
149,2032-10-01,GW_storage_AZ_APS_E_GW[AF],9145.0,112807783.0,414003.0
150,2032-11-01,GW_storage_AZ_APS_E_GW[AF],9134.0,114489238.0,423137.0
151,2032-12-01,GW_storage_AZ_APS_E_GW[AF],9114.0,116230481.0,432251.0
152,2033-01-01,GW_storage_AZ_APS_E_GW[AF],9108.0,117974613.0,441359.0
153,2033-02-01,GW_storage_AZ_APS_E_GW[AF],9122.0,119706625.0,450481.0
154,2033-03-01,GW_storage_AZ_APS_E_GW[AF],9121.0,121421556.0,459602.0
155,2033-04-01,GW_storage_AZ_APS_E_GW[AF],9129.0,123133799.0,468731.0
156,2033-05-01,GW_storage_AZ_APS_E_GW[AF],9136.0,124845661.0,477867.0
157,2033-06-01,GW_storage_AZ_APS_E_GW[AF],9152.0,126569222.0,487019.0
158,2033-07-01,GW_storage_AZ_APS_E_GW[AF],9162.0,128312647.0,496181.0
159,2033-08-01,GW_storage_AZ_APS_E_GW[AF],9172.0,130095246.0,505353.0
160,2033-09-01,GW_storage_AZ_APS_E_GW[AF],9184.0,131893269.0,514537.0
161,2033-10-01,GW_storage_AZ_APS_E_GW[AF],9185.0,133706314.0,523722.0
162,2033-11-01,GW_storage_AZ_APS_E_GW[AF],9188.0,135545532.0,532910.0
163,2033-12-01,GW_storage_AZ_APS_E_GW[AF],9181.0,137443959.0,542091.0
164,2034-01-01,GW_storage_AZ_APS_E_GW[AF],9189.0,139335206.0,551280.0
165,2034-02-01,GW_storage_AZ_APS_E_GW[AF],9216.0,141247341.0,560496.0
166,2034-03-01,GW_storage_AZ_APS_E_GW[AF],9230.0,143148557.0,569726.0
167,2034-04-01,GW_storage_AZ_APS_E_GW[AF],9251.0,145041638.0,578977.0
168,2034-05-01,GW_storage_AZ_APS_E_GW[AF],9272.0,146949133.0,588249.0
169,2034-06-01,GW_storage_AZ_APS_E_GW[AF],9303.0,148859609.0,597552.0
170,2034-07-01,GW_storage_AZ_APS_E_GW[AF],9327.0,150784594.0,606879.0
171,2034-08-01,GW_storage_AZ_APS_E_GW[AF],9351.0,152733030.0,616230.0
172,2034-09-01,GW_storage_AZ_APS_E_GW[AF],9374.0,154687087.0,625604.0
173,2034-10-01,GW_storage_AZ_APS_E_GW[AF],9388.0,156699027.0,634992.0
174,2034-11-01,GW_storage_AZ_APS_E_GW[AF],9401.0,158737306.0,644393.0
175,2034-12-01,GW_storage_AZ_APS_E_GW[AF],9405.0,160827271.0,653798.0
176,2035-01-01,GW_storage_AZ_APS_E_GW[AF],9424.0,162987853.0,663222.0
177,2035-02-01,GW_storage_AZ_APS_E_GW[AF],9463.0,165199499.0,672685.0
178,2035-03-01,GW_storage_AZ_APS_E_GW[AF],9488.0,167401621.0,682173.0
179,2035-04-01,GW_storage_AZ_APS_E_GW[AF],9521.0,169591246.0,691694.0
180,2035-05-01,GW_storage_AZ_APS_E_GW[AF],9553.0,171770588.0,701247.0
181,2035-06-01,GW_storage_AZ_APS_E_GW[AF],9594.0,173953424.0,710841.0
182,2035-07-01,GW_storage_AZ_APS_E_GW[AF],9629.0,176152326.0,720470.0
183,2035-08-01,GW_storage_AZ_APS_E_GW[AF],9664.0,178377726.0,730134.0
184,2035-09-01,GW_storage_AZ_APS_E_GW[AF],9698.0,180613725.0,739832.0
185,2035-10-01,GW_storage_AZ_APS_E_GW[AF],9722.0,182868877.0,749554.0
