,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2032-12-01,Unmet_Dem_IN_CA_IID[AF],506.0,481468.0,506.0
1,2033-11-01,Unmet_Dem_IN_CA_IID[AF],567.0,516741.0,1073.0
2,2033-12-01,Unmet_Dem_IN_CA_IID[AF],553.0,517597.0,1626.0
3,2040-11-01,Unmet_Dem_IN_CA_IID[AF],935.0,1463051.0,2561.0
4,2040-12-01,Unmet_Dem_IN_CA_IID[AF],913.0,1464384.0,3474.0
5,2041-11-01,Unmet_Dem_IN_CA_IID[AF],945.0,1484159.0,4419.0
6,2041-12-01,Unmet_Dem_IN_CA_IID[AF],922.0,1485875.0,5341.0
7,2042-11-01,Unmet_Dem_IN_CA_IID[AF],954.0,1670593.0,6295.0
8,2042-12-01,Unmet_Dem_IN_CA_IID[AF],931.0,1672185.0,7226.0
9,2043-11-01,Unmet_Dem_IN_CA_IID[AF],964.0,1737498.0,8190.0
10,2043-12-01,Unmet_Dem_IN_CA_IID[AF],940.0,1741227.0,9130.0
11,2044-11-01,Unmet_Dem_IN_CA_IID[AF],973.0,1848533.0,10103.0
12,2044-12-01,Unmet_Dem_IN_CA_IID[AF],950.0,1852333.0,11053.0
13,2045-11-01,Unmet_Dem_IN_CA_IID[AF],983.0,1981774.0,12036.0
14,2045-12-01,Unmet_Dem_IN_CA_IID[AF],959.0,1983570.0,12995.0
15,2046-11-01,Unmet_Dem_IN_CA_IID[AF],993.0,2162717.0,13988.0
16,2046-12-01,Unmet_Dem_IN_CA_IID[AF],969.0,2168476.0,14957.0
17,2047-11-01,Unmet_Dem_IN_CA_IID[AF],-9397.0,2559716.0,5560.0
18,2047-12-01,Unmet_Dem_IN_CA_IID[AF],978.0,2565446.0,6538.0
19,2068-11-01,Unmet_Dem_IN_CA_IID[AF],1236.0,12739981.0,7774.0
20,2068-12-01,Unmet_Dem_IN_CA_IID[AF],1206.0,12822556.0,8980.0
21,2038-05-01,Unmet_Dem_IN_CA_LADWP[AF],250.0,1137006.0,250.0
22,2052-05-01,Unmet_Dem_IN_CA_LADWP[AF],6953.0,4131556.0,7203.0
23,2052-06-01,Unmet_Dem_IN_CA_LADWP[AF],6728.0,4191632.0,13931.0
