,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2047-11-01,Unmet_Dem_OUT_CA_IID[AF],-175.0,402944.0,-175.0
1,2047-12-01,Unmet_Dem_OUT_CA_IID[AF],-130.0,402885.0,-305.0
2,2038-05-01,Unmet_Dem_OUT_CA_LADWP[AF],42.0,192948.0,42.0
3,2052-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1150.0,634639.0,1192.0
4,2052-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1521.0,645718.0,2713.0
5,2053-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1278.0,753389.0,3991.0
6,2053-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1010.0,762583.0,5001.0
7,2054-05-01,Unmet_Dem_OUT_CA_LADWP[AF],256.0,853420.0,5257.0
8,2058-12-01,Unmet_Dem_OUT_CA_LADWP[AF],137.0,1074625.0,5394.0
9,2059-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1086.0,1092839.0,6480.0
10,2059-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1699.0,1105241.0,8179.0
11,2060-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1253.0,1194713.0,9432.0
12,2063-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1068.0,1376966.0,10500.0
13,2064-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1252.0,1525527.0,11752.0
14,2064-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1830.0,1536361.0,13582.0
15,2064-10-01,Unmet_Dem_OUT_CA_LADWP[AF],-249.0,1594431.0,13333.0
16,2067-06-01,Unmet_Dem_OUT_CA_LADWP[AF],546.0,1689498.0,13879.0
17,2068-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1104.0,1761214.0,14983.0
18,2068-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1434.0,1771158.0,16417.0
19,2069-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1127.0,1864765.0,17544.0
20,2070-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1087.0,1961357.0,18631.0
21,2013-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],211.0,1020.0,211.0
22,2013-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],236.0,1428.0,447.0
23,2013-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],175.0,6010.0,622.0
24,2017-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],979.0,7099.0,1601.0
25,2022-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1168.0,11045.0,2769.0
26,2024-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],990.0,15718.0,3759.0
