,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2021-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],9396.0,22293.0,9396.0
1,2021-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],6556.0,25837.0,15952.0
2,2021-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5484.0,28425.0,21436.0
3,2022-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4604.0,29839.0,26040.0
4,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3870.0,34868.0,29910.0
5,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3012.0,37596.0,32922.0
6,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2159.0,46021.0,35081.0
7,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],1392.0,49419.0,36473.0
8,2022-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],853.0,68168.0,37326.0
9,2022-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],468.0,78688.0,37794.0
10,2022-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],267.0,83319.0,38061.0
11,2022-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],171.0,86895.0,38232.0
12,2022-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],127.0,88798.0,38359.0
13,2022-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],103.0,97555.0,38462.0
14,2022-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],87.0,99468.0,38549.0
15,2023-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],73.0,98943.0,38622.0
16,2023-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],42.0,98324.0,38664.0
17,2023-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],23.0,102169.0,38687.0
18,2023-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],19.0,107891.0,38706.0
19,2023-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],12.0,112000.0,38718.0
20,2023-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],7.0,119402.0,38725.0
21,2023-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4.0,134925.0,38729.0
22,2023-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,163828.0,38731.0
23,2024-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-744.0,413085.0,37987.0
24,2024-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-518.0,413982.0,37469.0
25,2024-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-439.0,409969.0,37030.0
26,2025-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-366.0,415586.0,36664.0
27,2025-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-297.0,433961.0,36367.0
28,2025-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-223.0,434548.0,36144.0
29,2025-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-158.0,438258.0,35986.0
30,2025-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-100.0,461554.0,35886.0
31,2025-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-61.0,477963.0,35825.0
32,2025-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-34.0,475382.0,35791.0
33,2025-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-21.0,477131.0,35770.0
34,2025-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-13.0,490051.0,35757.0
35,2025-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-9.0,512948.0,35748.0
36,2025-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-8.0,521055.0,35740.0
37,2025-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6.0,524077.0,35734.0
38,2026-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6.0,531922.0,35728.0
39,2026-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,539949.0,35724.0
40,2026-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,543372.0,35721.0
41,2026-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,545360.0,35719.0
42,2026-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,547917.0,35717.0
43,2027-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,706870.0,35715.0
44,2027-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,728733.0,35713.0
45,2027-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,790556.0,35715.0
46,2028-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,1099840.0,35717.0
47,2028-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,1145496.0,35719.0
