,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2052-06-01,Unmet_Dem_IN_CA_LADWP[AF],346.0,425129.0,346.0
1,2053-05-01,Unmet_Dem_IN_CA_LADWP[AF],6.0,84797.0,352.0
2,2053-06-01,Unmet_Dem_IN_CA_LADWP[AF],211.0,16467.0,563.0
3,2054-05-01,Unmet_Dem_IN_CA_LADWP[AF],7.0,-42048.0,570.0
4,2055-05-01,Unmet_Dem_IN_CA_LADWP[AF],92.0,-190749.0,662.0
5,2058-12-01,Unmet_Dem_IN_CA_LADWP[AF],-6.0,-299565.0,656.0
6,2059-06-01,Unmet_Dem_IN_CA_LADWP[AF],14.0,-286902.0,670.0
7,2061-12-01,Unmet_Dem_IN_CA_LADWP[AF],-5774.0,-620460.0,-5104.0
8,2063-05-01,Unmet_Dem_IN_CA_LADWP[AF],93.0,-575190.0,-5011.0
9,2064-05-01,Unmet_Dem_IN_CA_LADWP[AF],-7.0,-702351.0,-5018.0
10,2064-06-01,Unmet_Dem_IN_CA_LADWP[AF],1222.0,-700236.0,-3796.0
11,2067-06-01,Unmet_Dem_IN_CA_LADWP[AF],30.0,-633067.0,-3766.0
12,2068-05-01,Unmet_Dem_IN_CA_LADWP[AF],569.0,-569953.0,-3197.0
13,2068-06-01,Unmet_Dem_IN_CA_LADWP[AF],582.0,-556942.0,-2615.0
14,2069-05-01,Unmet_Dem_IN_CA_LADWP[AF],265.0,-530221.0,-2350.0
15,2070-05-01,Unmet_Dem_IN_CA_LADWP[AF],61.0,-561827.0,-2289.0
16,2022-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1746.0,742.0,1746.0
17,2024-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],31.0,8522.0,1777.0
18,2024-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-134.0,8388.0,1643.0
19,2024-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-116.0,8273.0,1527.0
20,2024-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],14.0,8287.0,1541.0
21,2027-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],707.0,31521.0,2248.0
22,2027-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],630.0,33818.0,2878.0
23,2027-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],623.0,36088.0,3501.0
24,2027-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],644.0,38437.0,4145.0
25,2032-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],476.0,65847.0,4621.0
