,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2052-06-01,Unmet_Dem_OUT_CA_LADWP[AF],80.0,98813.0,80.0
1,2053-06-01,Unmet_Dem_OUT_CA_LADWP[AF],45.0,35394.0,125.0
2,2059-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1.0,-55575.0,126.0
3,2061-12-01,Unmet_Dem_OUT_CA_LADWP[AF],-447.0,-167480.0,-321.0
4,2063-05-01,Unmet_Dem_OUT_CA_LADWP[AF],16.0,-159576.0,-305.0
5,2064-06-01,Unmet_Dem_OUT_CA_LADWP[AF],247.0,-186923.0,-58.0
6,2067-06-01,Unmet_Dem_OUT_CA_LADWP[AF],7.0,-196097.0,-51.0
7,2068-05-01,Unmet_Dem_OUT_CA_LADWP[AF],75.0,-174244.0,24.0
8,2068-06-01,Unmet_Dem_OUT_CA_LADWP[AF],115.0,-170677.0,139.0
9,2069-05-01,Unmet_Dem_OUT_CA_LADWP[AF],38.0,-166551.0,177.0
10,2070-05-01,Unmet_Dem_OUT_CA_LADWP[AF],8.0,-176178.0,185.0
11,2022-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],248.0,52.0,248.0
12,2024-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3.0,3121.0,251.0
13,2024-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-18.0,3103.0,233.0
14,2024-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-22.0,3081.0,211.0
15,2024-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1.0,3080.0,210.0
16,2027-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],112.0,9185.0,322.0
17,2027-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],116.0,9820.0,438.0
18,2027-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],118.0,10423.0,556.0
19,2032-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],60.0,17888.0,616.0
20,2032-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],25.0,18949.0,641.0
21,2035-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],76.0,27480.0,717.0
22,2038-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],54.0,39445.0,771.0
23,2038-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-887.0,36114.0,-116.0
24,2038-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-807.0,33854.0,-923.0
25,2042-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],138.0,42713.0,-785.0
26,2042-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],89.0,42802.0,-696.0
27,2042-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],136.0,45998.0,-560.0
28,2044-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],147.0,55772.0,-413.0
29,2046-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],8.0,70582.0,-405.0
30,2046-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],127.0,71664.0,-278.0
31,2047-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],130.0,78526.0,-148.0
32,2047-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],128.0,79563.0,-20.0
33,2048-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],156.0,85539.0,136.0
34,2048-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],136.0,86433.0,272.0
35,2048-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],54.0,86865.0,326.0
36,2048-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],42.0,86907.0,368.0
37,2049-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],117.0,90271.0,485.0
38,2049-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],149.0,91168.0,634.0
39,2049-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],107.0,91989.0,741.0
40,2051-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],227.0,96164.0,968.0
41,2051-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],262.0,96719.0,1230.0
42,2051-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],267.0,97230.0,1497.0
43,2051-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],210.0,97565.0,1707.0
44,2051-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],179.0,97746.0,1886.0
45,2052-01-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],105.0,97853.0,1991.0
46,2052-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3077.0,90125.0,5068.0
47,2052-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],675.0,82668.0,5743.0
48,2052-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-229.0,78046.0,5514.0
49,2052-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-274.0,75389.0,5240.0
