,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2021-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],9396.0,22877.0,9396.0
1,2021-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],6556.0,30428.0,15952.0
2,2021-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5484.0,36953.0,21436.0
3,2022-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4604.0,39524.0,26040.0
4,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3870.0,44279.0,29910.0
5,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3012.0,45852.0,32922.0
6,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2159.0,47284.0,35081.0
7,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],1392.0,48503.0,36473.0
8,2022-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],853.0,46797.0,37326.0
9,2022-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],468.0,50145.0,37794.0
10,2022-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],267.0,52748.0,38061.0
11,2022-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],171.0,52495.0,38232.0
12,2022-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],127.0,60812.0,38359.0
13,2022-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],103.0,65019.0,38462.0
14,2022-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],87.0,63969.0,38549.0
15,2023-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],73.0,63441.0,38622.0
16,2023-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],42.0,62925.0,38664.0
17,2023-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],23.0,62680.0,38687.0
18,2023-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],19.0,62852.0,38706.0
19,2023-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],12.0,66048.0,38718.0
20,2023-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],7.0,67780.0,38725.0
21,2023-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4.0,70096.0,38729.0
22,2023-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,72581.0,38731.0
23,2027-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,205967.0,38733.0
24,2029-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,242290.0,38731.0
25,2029-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,250652.0,38733.0
26,2029-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,255923.0,38735.0
27,2030-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,287723.0,38737.0
28,2030-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,287999.0,38740.0
29,2030-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,291747.0,38743.0
30,2030-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,299867.0,38746.0
31,2030-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,318876.0,38748.0
32,2031-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,325961.0,38750.0
33,2033-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-8.0,483562.0,38742.0
34,2033-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,487812.0,38738.0
35,2033-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-10.0,516720.0,38728.0
36,2033-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5.0,523225.0,38723.0
37,2033-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,529766.0,38720.0
38,2033-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,543153.0,38718.0
39,2033-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,546792.0,38716.0
40,2033-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,548694.0,38714.0
41,2035-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,656957.0,38712.0
42,2036-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,730636.0,38710.0
43,2036-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,750017.0,38712.0
44,2036-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,875792.0,38714.0
45,2040-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-8.0,1346633.0,38706.0
46,2040-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6.0,1376872.0,38700.0
47,2040-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-13.0,1394221.0,38687.0
48,2041-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-18.0,1395096.0,38669.0
49,2041-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-14.0,1395082.0,38655.0
50,2041-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-11.0,1395071.0,38644.0
51,2041-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-7.0,1394462.0,38637.0
52,2041-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5.0,1394648.0,38632.0
53,2041-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,1416268.0,38629.0
54,2041-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,1429376.0,38627.0
