,Date,Location,Reduction_in_electricity_demand,Running_total,Location_running_total
9131,2021-09-01,Elec_CAP[GwH],2.0,7.0,2.0
9132,2021-11-01,Elec_CAP[GwH],-13.0,-1.0,-11.0
9133,2022-01-01,Elec_CAP[GwH],2.0,6.0,-9.0
9134,2022-02-01,Elec_CAP[GwH],1.0,10.0,-8.0
9135,2022-07-01,Elec_CAP[GwH],5.0,13.0,-3.0
9136,2022-08-01,Elec_CAP[GwH],-5.0,5.0,-8.0
9137,2022-09-01,Elec_CAP[GwH],-12.0,-10.0,-20.0
9138,2022-12-01,Elec_CAP[GwH],-3.0,29.0,-23.0
9139,2023-01-01,Elec_CAP[GwH],3.0,31.0,-20.0
9140,2023-06-01,Elec_CAP[GwH],-5.0,25.0,-25.0
9141,2023-07-01,Elec_CAP[GwH],-1.0,21.0,-26.0
9142,2023-11-01,Elec_CAP[GwH],5.0,53.0,-21.0
9143,2023-12-01,Elec_CAP[GwH],2.0,56.0,-19.0
9144,2024-03-01,Elec_CAP[GwH],-3.0,65.0,-22.0
9145,2024-04-01,Elec_CAP[GwH],2.0,67.0,-20.0
9146,2024-05-01,Elec_CAP[GwH],-3.0,68.0,-23.0
9147,2024-11-01,Elec_CAP[GwH],4.0,82.0,-19.0
9148,2024-12-01,Elec_CAP[GwH],-1.0,145.0,-20.0
9149,2025-02-01,Elec_CAP[GwH],-2.0,140.0,-22.0
9150,2025-04-01,Elec_CAP[GwH],3.0,131.0,-19.0
9151,2025-06-01,Elec_CAP[GwH],-5.0,129.0,-24.0
9152,2025-08-01,Elec_CAP[GwH],-4.0,123.0,-28.0
9153,2025-09-01,Elec_CAP[GwH],2.0,152.0,-26.0
9154,2025-10-01,Elec_CAP[GwH],-5.0,160.0,-31.0
9155,2026-01-01,Elec_CAP[GwH],2.0,169.0,-29.0
9156,2026-03-01,Elec_CAP[GwH],2.0,171.0,-27.0
9157,2026-05-01,Elec_CAP[GwH],3.0,183.0,-24.0
9158,2026-06-01,Elec_CAP[GwH],-3.0,172.0,-27.0
9159,2026-07-01,Elec_CAP[GwH],10.0,168.0,-17.0
9160,2026-08-01,Elec_CAP[GwH],-5.0,170.0,-22.0
9161,2026-09-01,Elec_CAP[GwH],1.0,176.0,-21.0
9162,2026-10-01,Elec_CAP[GwH],-2.0,181.0,-23.0
9163,2026-12-01,Elec_CAP[GwH],2.0,214.0,-21.0
9164,2027-01-01,Elec_CAP[GwH],-2.0,215.0,-23.0
9165,2027-02-01,Elec_CAP[GwH],-1.0,219.0,-24.0
9166,2027-12-01,Elec_CAP[GwH],1.0,105.0,-23.0
9167,2028-01-01,Elec_CAP[GwH],-3.0,133.0,-26.0
9168,2028-04-01,Elec_CAP[GwH],3.0,131.0,-23.0
9169,2028-05-01,Elec_CAP[GwH],-6.0,126.0,-29.0
9170,2028-06-01,Elec_CAP[GwH],-6.0,117.0,-35.0
