,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2021-05-01,GW_storage_AZ_APS_E_GW[AF],2.0,2613.0,2.0
1,2021-07-01,GW_storage_AZ_APS_E_GW[AF],2.0,26245.0,4.0
2,2021-08-01,GW_storage_AZ_APS_E_GW[AF],2.0,39733.0,6.0
3,2021-09-01,GW_storage_AZ_APS_E_GW[AF],3.0,53842.0,9.0
4,2021-10-01,GW_storage_AZ_APS_E_GW[AF],3.0,67688.0,12.0
5,2021-11-01,GW_storage_AZ_APS_E_GW[AF],3.0,81782.0,15.0
6,2021-12-01,GW_storage_AZ_APS_E_GW[AF],3.0,90931.0,18.0
7,2022-01-01,GW_storage_AZ_APS_E_GW[AF],4.0,93521.0,22.0
8,2022-02-01,GW_storage_AZ_APS_E_GW[AF],3.0,91897.0,25.0
9,2022-03-01,GW_storage_AZ_APS_E_GW[AF],3.0,83205.0,28.0
10,2022-04-01,GW_storage_AZ_APS_E_GW[AF],4.0,72303.0,32.0
11,2022-05-01,GW_storage_AZ_APS_E_GW[AF],4.0,60280.0,36.0
12,2022-06-01,GW_storage_AZ_APS_E_GW[AF],6.0,48354.0,42.0
13,2022-07-01,GW_storage_AZ_APS_E_GW[AF],7.0,39337.0,49.0
14,2022-08-01,GW_storage_AZ_APS_E_GW[AF],8.0,33938.0,57.0
15,2022-09-01,GW_storage_AZ_APS_E_GW[AF],9.0,30890.0,66.0
16,2022-10-01,GW_storage_AZ_APS_E_GW[AF],9.0,29273.0,75.0
17,2022-11-01,GW_storage_AZ_APS_E_GW[AF],10.0,28397.0,85.0
18,2022-12-01,GW_storage_AZ_APS_E_GW[AF],9.0,27781.0,94.0
19,2023-01-01,GW_storage_AZ_APS_E_GW[AF],9.0,25574.0,103.0
20,2023-02-01,GW_storage_AZ_APS_E_GW[AF],10.0,20196.0,113.0
21,2023-03-01,GW_storage_AZ_APS_E_GW[AF],9.0,12150.0,122.0
22,2023-04-01,GW_storage_AZ_APS_E_GW[AF],9.0,2980.0,131.0
23,2023-05-01,GW_storage_AZ_APS_E_GW[AF],11.0,-5763.0,142.0
24,2023-06-01,GW_storage_AZ_APS_E_GW[AF],12.0,-11896.0,154.0
25,2023-07-01,GW_storage_AZ_APS_E_GW[AF],14.0,-13934.0,168.0
26,2023-08-01,GW_storage_AZ_APS_E_GW[AF],15.0,-11532.0,183.0
27,2023-09-01,GW_storage_AZ_APS_E_GW[AF],16.0,-4870.0,199.0
28,2023-10-01,GW_storage_AZ_APS_E_GW[AF],16.0,2557.0,215.0
29,2023-11-01,GW_storage_AZ_APS_E_GW[AF],16.0,11347.0,231.0
30,2023-12-01,GW_storage_AZ_APS_E_GW[AF],16.0,18512.0,247.0
31,2024-01-01,GW_storage_AZ_APS_E_GW[AF],18.0,25617.0,265.0
32,2024-02-01,GW_storage_AZ_APS_E_GW[AF],17.0,31880.0,282.0
33,2024-03-01,GW_storage_AZ_APS_E_GW[AF],17.0,36631.0,299.0
34,2024-04-01,GW_storage_AZ_APS_E_GW[AF],20.0,38747.0,319.0
35,2024-05-01,GW_storage_AZ_APS_E_GW[AF],22.0,44323.0,341.0
36,2024-06-01,GW_storage_AZ_APS_E_GW[AF],24.0,53239.0,365.0
37,2024-07-01,GW_storage_AZ_APS_E_GW[AF],25.0,68003.0,390.0
38,2024-08-01,GW_storage_AZ_APS_E_GW[AF],26.0,90209.0,416.0
39,2024-09-01,GW_storage_AZ_APS_E_GW[AF],28.0,119342.0,444.0
40,2024-10-01,GW_storage_AZ_APS_E_GW[AF],29.0,152196.0,473.0
41,2024-11-01,GW_storage_AZ_APS_E_GW[AF],29.0,186573.0,502.0
42,2024-12-01,GW_storage_AZ_APS_E_GW[AF],28.0,219993.0,530.0
43,2025-01-01,GW_storage_AZ_APS_E_GW[AF],28.0,256263.0,558.0
44,2025-02-01,GW_storage_AZ_APS_E_GW[AF],29.0,288638.0,587.0
45,2025-03-01,GW_storage_AZ_APS_E_GW[AF],28.0,318443.0,615.0
46,2025-04-01,GW_storage_AZ_APS_E_GW[AF],30.0,347253.0,645.0
47,2025-05-01,GW_storage_AZ_APS_E_GW[AF],33.0,377046.0,678.0
48,2025-06-01,GW_storage_AZ_APS_E_GW[AF],36.0,411232.0,714.0
49,2025-07-01,GW_storage_AZ_APS_E_GW[AF],36.0,469379.0,750.0
50,2025-08-01,GW_storage_AZ_APS_E_GW[AF],36.0,533606.0,786.0
51,2025-09-01,GW_storage_AZ_APS_E_GW[AF],36.0,601064.0,822.0
52,2025-10-01,GW_storage_AZ_APS_E_GW[AF],37.0,672268.0,859.0
53,2025-11-01,GW_storage_AZ_APS_E_GW[AF],38.0,745660.0,897.0
54,2025-12-01,GW_storage_AZ_APS_E_GW[AF],37.0,818313.0,934.0
55,2026-01-01,GW_storage_AZ_APS_E_GW[AF],36.0,889388.0,970.0
