,Date,Location,Reduction_in_hydropower_demand,Running_total,Location_running_total
0,2069-02-01,Hydro_American Falls[GwH],-3.0,2032.0,-3.0
1,2069-03-01,Hydro_American Falls[GwH],2.0,2015.0,-1.0
2,2069-04-01,Hydro_American Falls[GwH],3.0,1993.0,2.0
3,2069-05-01,Hydro_American Falls[GwH],4.0,1970.0,6.0
4,2069-06-01,Hydro_American Falls[GwH],2.0,1949.0,8.0
5,2069-07-01,Hydro_American Falls[GwH],2.0,1913.0,10.0
6,2069-08-01,Hydro_American Falls[GwH],2.0,1895.0,12.0
7,2069-09-01,Hydro_American Falls[GwH],2.0,1882.0,14.0
8,2069-10-01,Hydro_American Falls[GwH],4.0,1815.0,18.0
9,2069-11-01,Hydro_American Falls[GwH],3.0,1791.0,21.0
10,2069-12-01,Hydro_American Falls[GwH],4.0,1789.0,25.0
11,2070-01-01,Hydro_American Falls[GwH],5.0,1792.0,30.0
12,2070-02-01,Hydro_American Falls[GwH],4.0,1802.0,34.0
13,2070-03-01,Hydro_American Falls[GwH],5.0,1797.0,39.0
14,2070-04-01,Hydro_American Falls[GwH],6.0,1794.0,45.0
15,2070-05-01,Hydro_American Falls[GwH],6.0,1804.0,51.0
16,2070-06-01,Hydro_American Falls[GwH],6.0,1821.0,57.0
17,2070-09-01,Hydro_American Falls[GwH],-1.0,1852.0,56.0
18,2070-10-01,Hydro_American Falls[GwH],2.0,1828.0,58.0
19,2070-11-01,Hydro_American Falls[GwH],2.0,1963.0,60.0
20,2070-12-01,Hydro_American Falls[GwH],17.0,1927.0,77.0
21,2068-12-01,Hydro_Anderson Ranch[GwH],-4.0,2316.0,-4.0
22,2069-06-01,Hydro_Anderson Ranch[GwH],-1.0,1949.0,-5.0
23,2069-07-01,Hydro_Anderson Ranch[GwH],-1.0,1913.0,-6.0
24,2069-08-01,Hydro_Anderson Ranch[GwH],-1.0,1895.0,-7.0
25,2069-10-01,Hydro_Anderson Ranch[GwH],-5.0,1815.0,-12.0
26,2070-01-01,Hydro_Anderson Ranch[GwH],-1.0,1792.0,-13.0
27,2070-03-01,Hydro_Anderson Ranch[GwH],-1.0,1797.0,-14.0
28,2070-04-01,Hydro_Anderson Ranch[GwH],-1.0,1794.0,-15.0
29,2070-05-01,Hydro_Anderson Ranch[GwH],-1.0,1804.0,-16.0
30,2070-11-01,Hydro_Anderson Ranch[GwH],-3.0,1963.0,-19.0
31,2070-12-01,Hydro_Anderson Ranch[GwH],3.0,1927.0,-16.0
32,2057-03-01,Hydro_Balch 1[GwH],2.0,2280.0,2.0
33,2057-04-01,Hydro_Balch 1[GwH],-1.0,2268.0,1.0
34,2057-03-01,Hydro_Balch 2[GwH],9.0,2280.0,9.0
35,2057-04-01,Hydro_Balch 2[GwH],-4.0,2268.0,5.0
36,2057-06-01,Hydro_Balch 2[GwH],-1.0,2262.0,4.0
37,2057-07-01,Hydro_Balch 2[GwH],-2.0,2264.0,2.0
38,2057-08-01,Hydro_Balch 2[GwH],-2.0,2259.0,0.0
39,2057-09-01,Hydro_Balch 2[GwH],-2.0,2250.0,-2.0
40,2057-10-01,Hydro_Balch 2[GwH],-2.0,2248.0,-4.0
41,2057-11-01,Hydro_Balch 2[GwH],-1.0,2247.0,-5.0
42,2057-12-01,Hydro_Balch 2[GwH],-1.0,2241.0,-6.0
43,2061-01-01,Hydro_Balch 2[GwH],6.0,2141.0,0.0
44,2070-02-01,Hydro_Big Creek 1[GwH],3.0,1802.0,3.0
45,2063-09-01,Hydro_Big Creek 2[GwH],-1.0,2171.0,-1.0
46,2070-02-01,Hydro_Big Creek 2[GwH],3.0,1802.0,2.0
47,2046-07-01,Hydro_Big Creek 2a[GwH],1.0,2216.0,1.0
48,2052-09-01,Hydro_Big Creek 2a[GwH],1.0,2313.0,2.0
49,2056-04-01,Hydro_Big Creek 2a[GwH],3.0,2262.0,5.0
50,2063-09-01,Hydro_Big Creek 2a[GwH],-1.0,2171.0,4.0
51,2070-02-01,Hydro_Big Creek 2a[GwH],1.0,1802.0,5.0
52,2049-09-01,Hydro_Big Creek 3[GwH],4.0,2245.0,4.0
53,2041-01-01,Hydro_Big Creek 4[GwH],2.0,1384.0,2.0
54,2041-03-01,Hydro_Big Creek 4[GwH],-2.0,1358.0,0.0
55,2046-02-01,Hydro_Big Creek 4[GwH],2.0,2210.0,2.0
56,2049-09-01,Hydro_Big Creek 4[GwH],4.0,2245.0,6.0
57,2049-11-01,Hydro_Big Creek 4[GwH],-3.0,2240.0,3.0
58,2049-12-01,Hydro_Big Creek 4[GwH],-1.0,2239.0,2.0
59,2050-01-01,Hydro_Big Creek 4[GwH],-1.0,2232.0,1.0
60,2050-02-01,Hydro_Big Creek 4[GwH],-2.0,2229.0,-1.0
61,2050-03-01,Hydro_Big Creek 4[GwH],-3.0,2225.0,-4.0
62,2050-04-01,Hydro_Big Creek 4[GwH],-4.0,2220.0,-8.0
63,2054-02-01,Hydro_Big Creek 4[GwH],-4.0,2264.0,-12.0
64,2054-03-01,Hydro_Big Creek 4[GwH],-5.0,2257.0,-17.0
65,2054-04-01,Hydro_Big Creek 4[GwH],-9.0,2243.0,-26.0
66,2054-11-01,Hydro_Big Creek 4[GwH],-1.0,2306.0,-27.0
67,2054-12-01,Hydro_Big Creek 4[GwH],-2.0,2305.0,-29.0
68,2055-01-01,Hydro_Big Creek 4[GwH],-2.0,2302.0,-31.0
69,2055-02-01,Hydro_Big Creek 4[GwH],-2.0,2300.0,-33.0
70,2055-03-01,Hydro_Big Creek 4[GwH],-3.0,2300.0,-36.0
71,2055-04-01,Hydro_Big Creek 4[GwH],-3.0,2242.0,-39.0
72,2055-05-01,Hydro_Big Creek 4[GwH],-3.0,2240.0,-42.0
73,2055-06-01,Hydro_Big Creek 4[GwH],-2.0,2243.0,-44.0
74,2060-10-01,Hydro_Big Creek 4[GwH],-1.0,2166.0,-45.0
75,2060-11-01,Hydro_Big Creek 4[GwH],-1.0,2163.0,-46.0
76,2060-12-01,Hydro_Big Creek 4[GwH],-2.0,2165.0,-48.0
77,2061-01-01,Hydro_Big Creek 4[GwH],-2.0,2141.0,-50.0
78,2061-02-01,Hydro_Big Creek 4[GwH],-3.0,2135.0,-53.0
79,2061-03-01,Hydro_Big Creek 4[GwH],-5.0,2114.0,-58.0
80,2061-04-01,Hydro_Big Creek 4[GwH],-5.0,2109.0,-63.0
81,2062-11-01,Hydro_Big Creek 4[GwH],-1.0,2203.0,-64.0
82,2062-12-01,Hydro_Big Creek 4[GwH],2.0,2204.0,-62.0
83,2064-02-01,Hydro_Big Creek 4[GwH],2.0,2154.0,-60.0
84,2064-03-01,Hydro_Big Creek 4[GwH],-2.0,2153.0,-62.0
85,2064-12-01,Hydro_Big Creek 4[GwH],-2.0,2184.0,-64.0
86,2065-01-01,Hydro_Big Creek 4[GwH],-2.0,2181.0,-66.0
87,2065-02-01,Hydro_Big Creek 4[GwH],-2.0,2168.0,-68.0
88,2065-03-01,Hydro_Big Creek 4[GwH],-5.0,2163.0,-73.0
89,2065-04-01,Hydro_Big Creek 4[GwH],-5.0,2158.0,-78.0
90,2066-05-01,Hydro_Big Creek 4[GwH],1.0,2137.0,-77.0
91,2070-12-01,Hydro_Big Creek 4[GwH],3.0,1927.0,-74.0
92,2046-02-01,Hydro_Big Creek 8[GwH],2.0,2210.0,2.0
93,2070-02-01,Hydro_Big Creek 8[GwH],1.0,1802.0,3.0
94,2069-09-01,Hydro_Bliss[GwH],2.0,1882.0,2.0
95,2044-04-01,Hydro_Boundary[GwH],-1.0,2048.0,-1.0
96,2044-05-01,Hydro_Boundary[GwH],-2.0,2042.0,-3.0
97,2044-06-01,Hydro_Boundary[GwH],-2.0,2011.0,-5.0
98,2044-07-01,Hydro_Boundary[GwH],-2.0,2094.0,-7.0
99,2044-08-01,Hydro_Boundary[GwH],-1.0,2143.0,-8.0
100,2043-04-01,Hydro_Brownlee[GwH],-2.0,1966.0,-2.0
101,2043-05-01,Hydro_Brownlee[GwH],-1.0,1939.0,-3.0
102,2043-06-01,Hydro_Brownlee[GwH],-1.0,1954.0,-4.0
103,2043-07-01,Hydro_Brownlee[GwH],-1.0,2031.0,-5.0
104,2069-01-01,Hydro_Brownlee[GwH],-21.0,2035.0,-26.0
105,2069-02-01,Hydro_Brownlee[GwH],-5.0,2032.0,-31.0
106,2069-03-01,Hydro_Brownlee[GwH],-5.0,2015.0,-36.0
107,2069-04-01,Hydro_Brownlee[GwH],-4.0,1993.0,-40.0
108,2069-05-01,Hydro_Brownlee[GwH],-5.0,1970.0,-45.0
109,2069-06-01,Hydro_Brownlee[GwH],-4.0,1949.0,-49.0
110,2069-07-01,Hydro_Brownlee[GwH],-3.0,1913.0,-52.0
111,2069-08-01,Hydro_Brownlee[GwH],-2.0,1895.0,-54.0
112,2069-09-01,Hydro_Brownlee[GwH],-2.0,1882.0,-56.0
113,2069-10-01,Hydro_Brownlee[GwH],-1.0,1815.0,-57.0
114,2070-01-01,Hydro_Brownlee[GwH],8.0,1792.0,-49.0
115,2070-02-01,Hydro_Brownlee[GwH],5.0,1802.0,-44.0
116,2070-03-01,Hydro_Brownlee[GwH],5.0,1797.0,-39.0
117,2070-04-01,Hydro_Brownlee[GwH],4.0,1794.0,-35.0
118,2070-05-01,Hydro_Brownlee[GwH],5.0,1804.0,-30.0
119,2070-06-01,Hydro_Brownlee[GwH],5.0,1821.0,-25.0
120,2070-07-01,Hydro_Brownlee[GwH],4.0,1838.0,-21.0
121,2070-08-01,Hydro_Brownlee[GwH],2.0,1844.0,-19.0
122,2070-09-01,Hydro_Brownlee[GwH],2.0,1852.0,-17.0
123,2070-10-01,Hydro_Brownlee[GwH],2.0,1828.0,-15.0
124,2070-12-01,Hydro_Brownlee[GwH],-13.0,1927.0,-28.0
125,2069-09-01,Hydro_C J Strike[GwH],2.0,1882.0,2.0
