,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2038-05-01,Unmet_Dem_IN_CA_LADWP[AF],250.0,356888.0,250.0
1,2052-05-01,Unmet_Dem_IN_CA_LADWP[AF],4558.0,1461226.0,4808.0
2,2052-06-01,Unmet_Dem_IN_CA_LADWP[AF],6695.0,1480387.0,11503.0
3,2053-05-01,Unmet_Dem_IN_CA_LADWP[AF],4365.0,1713028.0,15868.0
4,2053-06-01,Unmet_Dem_IN_CA_LADWP[AF],4869.0,1731562.0,20737.0
5,2054-05-01,Unmet_Dem_IN_CA_LADWP[AF],1530.0,1937515.0,22267.0
6,2055-05-01,Unmet_Dem_IN_CA_LADWP[AF],-7.0,2127674.0,22260.0
7,2058-12-01,Unmet_Dem_IN_CA_LADWP[AF],1582.0,2574422.0,23842.0
8,2059-05-01,Unmet_Dem_IN_CA_LADWP[AF],5092.0,2629923.0,28934.0
9,2059-06-01,Unmet_Dem_IN_CA_LADWP[AF],5666.0,2653912.0,34600.0
10,2060-05-01,Unmet_Dem_IN_CA_LADWP[AF],4251.0,2892762.0,38851.0
11,2063-05-01,Unmet_Dem_IN_CA_LADWP[AF],5114.0,3420364.0,43965.0
12,2064-05-01,Unmet_Dem_IN_CA_LADWP[AF],4222.0,3727614.0,48187.0
13,2064-06-01,Unmet_Dem_IN_CA_LADWP[AF],6014.0,3744161.0,54201.0
14,2067-06-01,Unmet_Dem_IN_CA_LADWP[AF],3534.0,4182033.0,57735.0
15,2068-05-01,Unmet_Dem_IN_CA_LADWP[AF],3623.0,4333909.0,61358.0
16,2068-06-01,Unmet_Dem_IN_CA_LADWP[AF],6403.0,4354685.0,67761.0
17,2069-05-01,Unmet_Dem_IN_CA_LADWP[AF],4612.0,4565564.0,72373.0
18,2070-05-01,Unmet_Dem_IN_CA_LADWP[AF],4665.0,4812901.0,77038.0
19,2022-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],504.0,7282.0,504.0
20,2022-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],378.0,8704.0,882.0
21,2024-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],679.0,13175.0,1561.0
22,2024-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],537.0,13812.0,2098.0
23,2024-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],510.0,14368.0,2608.0
24,2024-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],249.0,14682.0,2857.0
25,2027-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2868.0,54731.0,5725.0
26,2027-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2304.0,62849.0,8029.0
27,2027-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1770.0,69587.0,9799.0
28,2027-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1333.0,74524.0,11132.0
29,2032-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1929.0,116781.0,13061.0
30,2032-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],788.0,123626.0,13849.0
31,2035-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2245.0,207920.0,16094.0
32,2038-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2280.0,407355.0,18374.0
33,2038-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1851.0,431074.0,20225.0
34,2038-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1188.0,439400.0,21413.0
35,2038-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-1389.0,441417.0,20024.0
36,2042-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3585.0,490708.0,23609.0
37,2042-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2880.0,493730.0,26489.0
38,2042-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2029.0,509919.0,28518.0
39,2044-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2958.0,586870.0,31476.0
40,2046-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],84.0,706154.0,31560.0
41,2046-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2610.0,723805.0,34170.0
42,2047-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3130.0,854136.0,37300.0
43,2047-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2874.0,875085.0,40174.0
44,2047-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-161.0,886662.0,40013.0
45,2048-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4250.0,1006522.0,44263.0
