,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2021-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],1.0,4.0,1.0
1,2021-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,6.0,3.0
2,2021-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,8.0,5.0
3,2021-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,412.0,8.0
4,2021-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,422.0,11.0
5,2021-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,439.0,14.0
6,2021-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,466.0,16.0
7,2021-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,556.0,18.0
8,2021-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],1.0,591.0,19.0
9,2022-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,607.0,21.0
10,2022-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,624.0,23.0
11,2022-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,741.0,27.0
12,2022-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,1669.0,33.0
13,2022-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,2530.0,39.0
14,2022-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,3252.0,44.0
15,2022-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,4127.0,48.0
16,2022-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,-3744.0,52.0
17,2022-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,-4899.0,55.0
18,2022-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,-4862.0,58.0
19,2023-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,-4823.0,60.0
20,2023-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,-4780.0,62.0
21,2023-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,-4776.0,66.0
22,2023-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,-4769.0,73.0
23,2023-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,-4346.0,82.0
24,2023-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,-4314.0,91.0
25,2023-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,-4242.0,99.0
26,2023-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,-4159.0,106.0
27,2023-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,-4096.0,111.0
28,2023-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,-4083.0,116.0
29,2023-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,-4072.0,120.0
30,2024-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,-4050.0,125.0
31,2024-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,-4046.0,129.0
32,2024-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,-4041.0,134.0
33,2024-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,-4034.0,141.0
34,2024-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,-2199.0,150.0
35,2024-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],11.0,609.0,161.0
36,2024-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],11.0,702.0,172.0
37,2024-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],11.0,1031.0,183.0
38,2024-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],10.0,1507.0,193.0
39,2024-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,1960.0,198.0
40,2024-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,2068.0,204.0
41,2024-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,2111.0,209.0
42,2025-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,2117.0,213.0
43,2025-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,2121.0,217.0
44,2025-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,2126.0,222.0
45,2025-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],10.0,2136.0,232.0
46,2025-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],12.0,2148.0,244.0
47,2025-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,3846.0,259.0
48,2025-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],14.0,3911.0,273.0
49,2025-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,4046.0,281.0
50,2025-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],10.0,4204.0,291.0
51,2025-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],10.0,4414.0,301.0
52,2025-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,4554.0,310.0
53,2025-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,4560.0,316.0
54,2026-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,4575.0,321.0
55,2026-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,4580.0,326.0
56,2026-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,4584.0,330.0
57,2026-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],10.0,4594.0,340.0
58,2026-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,7685.0,355.0
59,2026-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],17.0,12658.0,372.0
60,2026-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],16.0,12720.0,388.0
61,2026-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],16.0,12897.0,404.0
62,2026-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,13033.0,419.0
63,2026-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],12.0,13181.0,431.0
64,2026-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,13518.0,440.0
65,2026-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,13530.0,449.0
66,2027-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],10.0,13550.0,459.0
67,2027-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,13553.0,462.0
68,2027-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,13561.0,470.0
69,2027-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],13.0,13640.0,483.0
70,2027-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],17.0,16459.0,500.0
71,2027-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],21.0,22652.0,521.0
72,2027-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],20.0,27225.0,541.0
73,2027-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,31124.0,556.0
74,2027-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,35332.0,571.0
75,2027-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,39449.0,579.0
76,2027-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,41559.0,588.0
77,2027-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,41582.0,597.0
78,2028-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],10.0,41592.0,607.0
79,2028-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,41600.0,615.0
80,2028-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,41607.0,622.0
81,2028-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],13.0,41620.0,635.0
82,2028-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],19.0,41639.0,654.0
83,2028-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],23.0,42869.0,677.0
84,2028-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],25.0,42967.0,702.0
85,2028-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],23.0,43154.0,725.0
86,2028-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],20.0,43285.0,745.0
