,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2011-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,2.0,2.0
1,2012-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-8.0,923.0,-6.0
2,2013-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-14.0,1186.0,-20.0
3,2013-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-11.0,1279.0,-31.0
4,2013-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-9.0,1334.0,-40.0
5,2013-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6.0,1697.0,-46.0
6,2013-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4.0,1519.0,-42.0
7,2013-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,1830.0,-40.0
8,2013-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,-229.0,-38.0
9,2014-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,8917.0,-40.0
10,2014-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,5565.0,-42.0
11,2014-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,1833.0,-44.0
12,2015-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,1547.0,-46.0
13,2015-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,1284.0,-48.0
14,2016-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,250.0,-46.0
15,2018-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2374.0,-235909.0,2328.0
16,2018-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],1142.0,-456506.0,3470.0
17,2018-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],642.0,-604482.0,4112.0
18,2018-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],375.0,-675670.0,4487.0
19,2018-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],240.0,-707421.0,4727.0
20,2018-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],173.0,-689700.0,4900.0
21,2018-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],140.0,-660624.0,5040.0
22,2018-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],119.0,-623937.0,5159.0
