,Location,Location_total,Date,Percent
57,Elec_Return Flow from IN_CA_SCE_S to MUNI_CA_SCE_S[GwH],-135784.0,2070-12-01,0.18688769176138317
49,Elec_Return Flow from IN_CA_PGE_N to CA_PGE_N_MUNI[GwH],-87637.0,2070-12-01,0.12062007779187782
48,Elec_Return Flow from IN_CA_PGE_CEN to MUNI_CA_PGE_CEN[GwH],-75518.0,2070-12-01,0.10393996867404212
45,Elec_Return Flow from IN_CA_PGE_BAY to CA_PGE_BAY_MUNI[GwH],-69415.0,2070-12-01,0.09554004244694819
100,Elec_Return Flow from IN_OR_W to Withdrawal Node 50[GwH],-68781.0,2070-12-01,0.09466743008778425
114,Elec_Return Flow from IN_WA_W to Withdrawal Node 54[GwH],-54981.0,2070-12-01,0.07567365949399495
66,Elec_Return Flow from IN_CO_DEN to MUNI_CO_DEN[GwH],-50302.0,2070-12-01,0.06923367017455
104,Elec_Return Flow from IN_UT_N to MUNI_UT_N[GwH],-49386.0,2070-12-01,0.06797292424238253
77,Elec_Return Flow from IN_ID_S_OR_E to MUNI_ID_OR_E[GwH],-42973.0,2070-12-01,0.05914632635702233
98,Elec_Return Flow from IN_OR_PDX to Withdrawal Node 33[GwH],-42943.0,2070-12-01,0.059105035551383654
44,Elec_Return Flow from IN_CA_LADWP to Withdrawal Node 35[GwH],-42032.0,2070-12-01,0.05785117142015597
94,Elec_Return Flow from IN_NV_S to MUNI_NV_S[GwH],-39651.0,2070-12-01,0.05457405781263334
92,Elec_Return Flow from IN_NV_N to Withdrawal Node 34[GwH],-39136.0,2070-12-01,0.05386523231583613
112,Elec_Return Flow from IN_WA_SEATAC to Withdrawal Node 57[GwH],-38023.0,2070-12-01,0.05233334342664138
108,Elec_Return Flow from IN_WA_ID_AVA to Withdrawal Node 53[GwH],-37858.0,2070-12-01,0.05210624399562868
14,Elec_IN_CA_SCE_S\Domestic Heating[GwH],-36537.0,2070-12-01,0.05028807218733914
62,Elec_Return Flow from IN_CA_SDGE to MUNI_CA_SDGE_SFW[GwH],-32957.0,2070-12-01,0.045360702714457565
54,Elec_Return Flow from IN_CA_SCE_CEN to MUNI_CA_SCE_CEN[GwH],-32530.0,2070-12-01,0.04477299691420046
65,Elec_Return Flow from IN_CA_SMUD to Withdrawal Node 125[GwH],-30161.0,2070-12-01,0.04151239962893329
37,Elec_Return Flow from IN_AZ_PHX to MUNI_AZ_PHX[GwH],-29397.0,2070-12-01,0.0404608604453351
102,Elec_Return Flow from IN_OR_WA_BPA to MUNI_OR_WA_BPA[GwH],-27626.0,2070-12-01,0.03802332655246547
0,Elec_CAP[GwH],-25342.0,2070-12-01,0.034879719883174544
52,Elec_Return Flow from IN_CA_PGE_S to Withdrawal Node 121[GwH],-22355.0,2070-12-01,0.03076853200175073
40,Elec_Return Flow from IN_AZ_SE to Withdrawal Node 67[GwH],-20754.0,2070-12-01,0.028564979340833577
