,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2018-09-01,GW_storage_AZ_APS_E_GW[AF],-2.0,-3292652.0,-2.0
1,2021-01-01,GW_storage_AZ_APS_E_GW[AF],104.0,-5668318.0,102.0
2,2021-02-01,GW_storage_AZ_APS_E_GW[AF],209.0,-5691679.0,311.0
3,2021-03-01,GW_storage_AZ_APS_E_GW[AF],313.0,-5708412.0,624.0
4,2021-04-01,GW_storage_AZ_APS_E_GW[AF],418.0,-5718061.0,1042.0
5,2021-05-01,GW_storage_AZ_APS_E_GW[AF],522.0,-5720071.0,1564.0
6,2021-06-01,GW_storage_AZ_APS_E_GW[AF],626.0,-5713249.0,2190.0
7,2021-07-01,GW_storage_AZ_APS_E_GW[AF],730.0,-5692429.0,2920.0
8,2021-08-01,GW_storage_AZ_APS_E_GW[AF],831.0,-5656698.0,3751.0
9,2021-09-01,GW_storage_AZ_APS_E_GW[AF],928.0,-5611527.0,4679.0
10,2021-10-01,GW_storage_AZ_APS_E_GW[AF],1020.0,-5557894.0,5699.0
11,2021-11-01,GW_storage_AZ_APS_E_GW[AF],1108.0,-5502038.0,6807.0
12,2021-12-01,GW_storage_AZ_APS_E_GW[AF],1191.0,-5439383.0,7998.0
13,2022-01-01,GW_storage_AZ_APS_E_GW[AF],1380.0,-5364360.0,9378.0
14,2022-02-01,GW_storage_AZ_APS_E_GW[AF],1571.0,-5274805.0,10949.0
15,2022-03-01,GW_storage_AZ_APS_E_GW[AF],1759.0,-5181861.0,12708.0
16,2022-04-01,GW_storage_AZ_APS_E_GW[AF],1948.0,-5070632.0,14656.0
17,2022-05-01,GW_storage_AZ_APS_E_GW[AF],2137.0,-4940088.0,16793.0
18,2022-06-01,GW_storage_AZ_APS_E_GW[AF],2330.0,-4789857.0,19123.0
19,2022-07-01,GW_storage_AZ_APS_E_GW[AF],2517.0,-4618255.0,21640.0
20,2022-08-01,GW_storage_AZ_APS_E_GW[AF],2701.0,-4425872.0,24341.0
21,2022-09-01,GW_storage_AZ_APS_E_GW[AF],2878.0,-4213338.0,27219.0
22,2022-10-01,GW_storage_AZ_APS_E_GW[AF],3044.0,-3974255.0,30263.0
23,2022-11-01,GW_storage_AZ_APS_E_GW[AF],3204.0,-3716786.0,33467.0
24,2022-12-01,GW_storage_AZ_APS_E_GW[AF],3353.0,-3446048.0,36820.0
25,2023-01-01,GW_storage_AZ_APS_E_GW[AF],3608.0,-3157286.0,40428.0
26,2023-02-01,GW_storage_AZ_APS_E_GW[AF],3871.0,-2854517.0,44299.0
27,2023-03-01,GW_storage_AZ_APS_E_GW[AF],4127.0,-2543669.0,48426.0
28,2023-04-01,GW_storage_AZ_APS_E_GW[AF],4386.0,-2213626.0,52812.0
29,2023-05-01,GW_storage_AZ_APS_E_GW[AF],4646.0,-1865212.0,57458.0
30,2023-06-01,GW_storage_AZ_APS_E_GW[AF],4910.0,-1489173.0,62368.0
31,2023-07-01,GW_storage_AZ_APS_E_GW[AF],5168.0,-1078013.0,67536.0
32,2023-08-01,GW_storage_AZ_APS_E_GW[AF],5421.0,-627496.0,72957.0
33,2023-09-01,GW_storage_AZ_APS_E_GW[AF],5663.0,-141430.0,78620.0
34,2023-10-01,GW_storage_AZ_APS_E_GW[AF],5889.0,377131.0,84509.0
35,2023-11-01,GW_storage_AZ_APS_E_GW[AF],6107.0,904126.0,90616.0
36,2023-12-01,GW_storage_AZ_APS_E_GW[AF],6309.0,1447048.0,96925.0
37,2024-01-01,GW_storage_AZ_APS_E_GW[AF],6619.0,2020291.0,103544.0
38,2024-02-01,GW_storage_AZ_APS_E_GW[AF],6937.0,2626295.0,110481.0
39,2024-03-01,GW_storage_AZ_APS_E_GW[AF],7248.0,3279528.0,117729.0
40,2024-04-01,GW_storage_AZ_APS_E_GW[AF],7565.0,3956727.0,125294.0
41,2024-05-01,GW_storage_AZ_APS_E_GW[AF],7882.0,4655411.0,133176.0
42,2024-06-01,GW_storage_AZ_APS_E_GW[AF],8208.0,5378474.0,141384.0
43,2024-07-01,GW_storage_AZ_APS_E_GW[AF],8524.0,6147219.0,149908.0
44,2024-08-01,GW_storage_AZ_APS_E_GW[AF],8833.0,6965743.0,158741.0
45,2024-09-01,GW_storage_AZ_APS_E_GW[AF],9132.0,7826620.0,167873.0
46,2024-10-01,GW_storage_AZ_APS_E_GW[AF],9408.0,8728255.0,177281.0
47,2024-11-01,GW_storage_AZ_APS_E_GW[AF],9674.0,9668394.0,186955.0
48,2024-12-01,GW_storage_AZ_APS_E_GW[AF],9918.0,10646181.0,196873.0
49,2025-01-01,GW_storage_AZ_APS_E_GW[AF],10270.0,11661481.0,207143.0
50,2025-02-01,GW_storage_AZ_APS_E_GW[AF],10645.0,12715453.0,217788.0
51,2025-03-01,GW_storage_AZ_APS_E_GW[AF],11001.0,13790840.0,228789.0
52,2025-04-01,GW_storage_AZ_APS_E_GW[AF],11366.0,14904566.0,240155.0
53,2025-05-01,GW_storage_AZ_APS_E_GW[AF],11732.0,16047713.0,251887.0
54,2025-06-01,GW_storage_AZ_APS_E_GW[AF],12111.0,17226067.0,263998.0
55,2025-07-01,GW_storage_AZ_APS_E_GW[AF],12475.0,18442743.0,276473.0
56,2025-08-01,GW_storage_AZ_APS_E_GW[AF],12833.0,19715058.0,289306.0
57,2025-09-01,GW_storage_AZ_APS_E_GW[AF],13178.0,21021360.0,302484.0
58,2025-10-01,GW_storage_AZ_APS_E_GW[AF],13494.0,22373780.0,315978.0
59,2025-11-01,GW_storage_AZ_APS_E_GW[AF],13800.0,23757213.0,329778.0
60,2025-12-01,GW_storage_AZ_APS_E_GW[AF],14077.0,25171611.0,343855.0
61,2026-01-01,GW_storage_AZ_APS_E_GW[AF],14464.0,26618271.0,358319.0
62,2026-02-01,GW_storage_AZ_APS_E_GW[AF],14883.0,28090120.0,373202.0
63,2026-03-01,GW_storage_AZ_APS_E_GW[AF],15276.0,29626165.0,388478.0
64,2026-04-01,GW_storage_AZ_APS_E_GW[AF],15683.0,31183925.0,404161.0
65,2026-05-01,GW_storage_AZ_APS_E_GW[AF],16088.0,32755117.0,420249.0
66,2026-06-01,GW_storage_AZ_APS_E_GW[AF],16513.0,34360266.0,436762.0
67,2026-07-01,GW_storage_AZ_APS_E_GW[AF],16920.0,36007042.0,453682.0
68,2026-08-01,GW_storage_AZ_APS_E_GW[AF],17317.0,37734391.0,470999.0
69,2026-09-01,GW_storage_AZ_APS_E_GW[AF],17702.0,39531907.0,488701.0
70,2026-10-01,GW_storage_AZ_APS_E_GW[AF],18052.0,41383040.0,506753.0
71,2026-11-01,GW_storage_AZ_APS_E_GW[AF],18390.0,43232483.0,525143.0
72,2026-12-01,GW_storage_AZ_APS_E_GW[AF],18695.0,45123509.0,543838.0
73,2027-01-01,GW_storage_AZ_APS_E_GW[AF],19110.0,47072627.0,562948.0
74,2027-02-01,GW_storage_AZ_APS_E_GW[AF],19567.0,49056697.0,582515.0
75,2027-03-01,GW_storage_AZ_APS_E_GW[AF],19991.0,51052626.0,602506.0
76,2027-04-01,GW_storage_AZ_APS_E_GW[AF],20433.0,53080109.0,622939.0
77,2027-05-01,GW_storage_AZ_APS_E_GW[AF],20874.0,55132153.0,643813.0
78,2027-06-01,GW_storage_AZ_APS_E_GW[AF],21338.0,57243164.0,665151.0
79,2027-07-01,GW_storage_AZ_APS_E_GW[AF],21780.0,59426718.0,686931.0
80,2027-08-01,GW_storage_AZ_APS_E_GW[AF],22214.0,61650460.0,709145.0
81,2027-09-01,GW_storage_AZ_APS_E_GW[AF],22633.0,63938831.0,731778.0
82,2027-10-01,GW_storage_AZ_APS_E_GW[AF],23011.0,66272267.0,754789.0
83,2027-11-01,GW_storage_AZ_APS_E_GW[AF],23377.0,68648056.0,778166.0
84,2027-12-01,GW_storage_AZ_APS_E_GW[AF],23702.0,71055010.0,801868.0
85,2028-01-01,GW_storage_AZ_APS_E_GW[AF],24141.0,73501966.0,826009.0
86,2028-02-01,GW_storage_AZ_APS_E_GW[AF],24616.0,75985374.0,850625.0
87,2028-03-01,GW_storage_AZ_APS_E_GW[AF],25068.0,78457740.0,875693.0
88,2028-04-01,GW_storage_AZ_APS_E_GW[AF],25540.0,80949526.0,901233.0
89,2028-05-01,GW_storage_AZ_APS_E_GW[AF],26010.0,83466121.0,927243.0
90,2028-06-01,GW_storage_AZ_APS_E_GW[AF],26510.0,86025955.0,953753.0
91,2028-07-01,GW_storage_AZ_APS_E_GW[AF],26985.0,88662660.0,980738.0
92,2028-08-01,GW_storage_AZ_APS_E_GW[AF],27450.0,91386490.0,1008188.0
93,2028-09-01,GW_storage_AZ_APS_E_GW[AF],27900.0,94155603.0,1036088.0
94,2028-10-01,GW_storage_AZ_APS_E_GW[AF],28303.0,96977436.0,1064391.0
95,2028-11-01,GW_storage_AZ_APS_E_GW[AF],28692.0,99836355.0,1093083.0
96,2028-12-01,GW_storage_AZ_APS_E_GW[AF],29034.0,102782609.0,1122117.0
97,2029-01-01,GW_storage_AZ_APS_E_GW[AF],29492.0,105754234.0,1151609.0
98,2029-02-01,GW_storage_AZ_APS_E_GW[AF],30013.0,108730347.0,1181622.0
99,2029-03-01,GW_storage_AZ_APS_E_GW[AF],30486.0,111687342.0,1212108.0
100,2029-04-01,GW_storage_AZ_APS_E_GW[AF],30985.0,114685456.0,1243093.0
101,2029-05-01,GW_storage_AZ_APS_E_GW[AF],31482.0,117692479.0,1274575.0
102,2029-06-01,GW_storage_AZ_APS_E_GW[AF],32014.0,120742921.0,1306589.0
103,2029-07-01,GW_storage_AZ_APS_E_GW[AF],32515.0,123889840.0,1339104.0
104,2029-08-01,GW_storage_AZ_APS_E_GW[AF],33008.0,127145752.0,1372112.0
105,2029-09-01,GW_storage_AZ_APS_E_GW[AF],33485.0,130488421.0,1405597.0
106,2029-10-01,GW_storage_AZ_APS_E_GW[AF],33908.0,133843349.0,1439505.0
107,2029-11-01,GW_storage_AZ_APS_E_GW[AF],34318.0,137200679.0,1473823.0
