,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2047-12-01,Unmet_Dem_IN_CA_IID[AF],10146.0,4083843.0,10146.0
1,2055-09-01,Unmet_Dem_IN_CA_IID[AF],-6813.0,11431291.0,3333.0
2,2038-05-01,Unmet_Dem_IN_CA_LADWP[AF],250.0,1844697.0,250.0
3,2052-05-01,Unmet_Dem_IN_CA_LADWP[AF],12167.0,6958789.0,12417.0
4,2052-06-01,Unmet_Dem_IN_CA_LADWP[AF],6728.0,7145259.0,19145.0
5,2053-05-01,Unmet_Dem_IN_CA_LADWP[AF],10168.0,8524113.0,29313.0
6,2053-06-01,Unmet_Dem_IN_CA_LADWP[AF],4869.0,8721939.0,34182.0
7,2054-05-01,Unmet_Dem_IN_CA_LADWP[AF],5001.0,9931431.0,39183.0
8,2055-05-01,Unmet_Dem_IN_CA_LADWP[AF],2802.0,11095638.0,41985.0
9,2058-12-01,Unmet_Dem_IN_CA_LADWP[AF],2616.0,12516772.0,44601.0
10,2059-05-01,Unmet_Dem_IN_CA_LADWP[AF],6283.0,13044097.0,50884.0
11,2059-06-01,Unmet_Dem_IN_CA_LADWP[AF],9581.0,13333190.0,60465.0
12,2060-05-01,Unmet_Dem_IN_CA_LADWP[AF],14565.0,14720355.0,75030.0
13,2063-05-01,Unmet_Dem_IN_CA_LADWP[AF],6410.0,16779925.0,81440.0
14,2064-05-01,Unmet_Dem_IN_CA_LADWP[AF],17329.0,18579088.0,98769.0
15,2064-06-01,Unmet_Dem_IN_CA_LADWP[AF],10908.0,18754265.0,109677.0
16,2067-06-01,Unmet_Dem_IN_CA_LADWP[AF],3534.0,20985825.0,113211.0
17,2068-05-01,Unmet_Dem_IN_CA_LADWP[AF],18541.0,22390761.0,131752.0
18,2068-06-01,Unmet_Dem_IN_CA_LADWP[AF],7476.0,22619045.0,139228.0
19,2069-05-01,Unmet_Dem_IN_CA_LADWP[AF],8105.0,24185573.0,147333.0
20,2070-05-01,Unmet_Dem_IN_CA_LADWP[AF],7705.0,25548469.0,155038.0
21,2013-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],7.0,1682.0,7.0
22,2013-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],13.0,2160.0,20.0
23,2013-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],26.0,2710.0,46.0
24,2022-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1951.0,37583.0,1997.0
25,2022-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2255.0,47508.0,4252.0
26,2024-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],6132.0,96695.0,10384.0
27,2024-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],7685.0,107601.0,18069.0
28,2024-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],6873.0,117252.0,24942.0
29,2024-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],7342.0,128431.0,32284.0
30,2027-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],11010.0,332984.0,43294.0
31,2027-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],8686.0,370609.0,51980.0
32,2027-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],9302.0,409576.0,61282.0
33,2027-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],8670.0,447449.0,69952.0
34,2032-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4673.0,692982.0,74625.0
35,2032-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],788.0,703984.0,75413.0
36,2035-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5913.0,1092432.0,81326.0
37,2038-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],27626.0,2101707.0,108952.0
38,2038-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],13915.0,2203336.0,122867.0
39,2038-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],26245.0,2283304.0,149112.0
40,2038-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],12892.0,2358601.0,162004.0
