,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2047-12-01,Unmet_Dem_OUT_CA_IID[AF],137.0,723139.0,137.0
1,2055-09-01,Unmet_Dem_OUT_CA_IID[AF],-170.0,1978849.0,-33.0
2,2038-05-01,Unmet_Dem_OUT_CA_LADWP[AF],42.0,360933.0,42.0
3,2052-05-01,Unmet_Dem_OUT_CA_LADWP[AF],2297.0,1192400.0,2339.0
4,2052-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1521.0,1250976.0,3860.0
5,2053-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1734.0,1475561.0,5594.0
6,2053-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1010.0,1524741.0,6604.0
7,2054-05-01,Unmet_Dem_OUT_CA_LADWP[AF],256.0,1722724.0,6860.0
8,2058-12-01,Unmet_Dem_OUT_CA_LADWP[AF],137.0,2098893.0,6997.0
9,2059-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1086.0,2170517.0,8083.0
10,2059-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1844.0,2237768.0,9927.0
11,2060-05-01,Unmet_Dem_OUT_CA_LADWP[AF],2413.0,2419657.0,12340.0
12,2063-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1068.0,2745952.0,13408.0
13,2064-05-01,Unmet_Dem_OUT_CA_LADWP[AF],2861.0,3056058.0,16269.0
14,2064-06-01,Unmet_Dem_OUT_CA_LADWP[AF],2224.0,3110820.0,18493.0
15,2067-06-01,Unmet_Dem_OUT_CA_LADWP[AF],546.0,3472567.0,19039.0
16,2068-05-01,Unmet_Dem_OUT_CA_LADWP[AF],2463.0,3652959.0,21502.0
17,2068-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1434.0,3701014.0,22936.0
18,2069-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1127.0,3933673.0,24063.0
19,2070-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1087.0,4138053.0,25150.0
20,2013-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2.0,690.0,2.0
21,2013-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2.0,830.0,4.0
22,2013-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4.0,939.0,8.0
23,2022-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1917.0,13156.0,1925.0
24,2024-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],990.0,15242.0,2915.0
25,2024-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1275.0,16656.0,4190.0
26,2024-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1183.0,17960.0,5373.0
27,2024-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],300.0,18333.0,5673.0
28,2027-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1732.0,64793.0,7405.0
29,2027-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1506.0,79416.0,8911.0
30,2027-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1572.0,88560.0,10483.0
31,2032-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],582.0,141216.0,11065.0
32,2032-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],67.0,142463.0,11132.0
33,2035-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],700.0,224066.0,11832.0
34,2038-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3830.0,420912.0,15662.0
35,2038-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2823.0,441355.0,18485.0
36,2038-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1764.0,444889.0,20249.0
37,2042-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1356.0,493351.0,21605.0
38,2042-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2588.0,495965.0,24193.0
39,2042-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],564.0,500114.0,24757.0
40,2044-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],470.0,529567.0,25227.0
41,2046-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],8.0,613856.0,25235.0
42,2046-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],214.0,616399.0,25449.0
43,2047-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2114.0,704225.0,27563.0
44,2047-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2608.0,717513.0,30171.0
45,2048-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],540.0,781730.0,30711.0
46,2048-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],640.0,791896.0,31351.0
47,2048-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],110.0,795251.0,31461.0
48,2048-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],42.0,795769.0,31503.0
49,2049-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2979.0,891515.0,34482.0
50,2049-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],5315.0,922789.0,39797.0
51,2049-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2061.0,949674.0,41858.0
52,2051-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1788.0,1099643.0,43646.0
53,2051-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3747.0,1109686.0,47393.0
54,2051-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3730.0,1121538.0,51123.0
55,2051-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2505.0,1129465.0,53628.0
56,2051-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2057.0,1132170.0,55685.0
57,2052-01-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1016.0,1133673.0,56701.0
58,2052-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],5737.0,1297706.0,62438.0
59,2052-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1440.0,1330957.0,63878.0
60,2052-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],230.0,1362982.0,64108.0
61,2052-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1160.0,1397483.0,65268.0
62,2052-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2174.0,1427334.0,67442.0
63,2052-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-670.0,1447010.0,66772.0
64,2053-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-204.0,1524741.0,66568.0
65,2053-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],840.0,1562657.0,67408.0
66,2053-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-353.0,1590153.0,67055.0
67,2053-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-939.0,1617221.0,66116.0
68,2053-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1093.0,1649214.0,65023.0
69,2053-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-119.0,1680679.0,64904.0
70,2053-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],350.0,1698653.0,65254.0
71,2054-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3443.0,1765775.0,68697.0
72,2054-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],542.0,1792416.0,69239.0
73,2054-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1914.0,1808230.0,67325.0
74,2054-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-3587.0,1827727.0,63738.0
75,2054-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2042.0,1853334.0,61696.0
76,2054-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1440.0,1875643.0,60256.0
77,2054-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],647.0,1887440.0,60903.0
78,2055-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1601.0,1978849.0,62504.0
79,2056-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1256.0,2027092.0,63760.0
80,2059-02-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],17.0,2099789.0,63777.0
81,2059-04-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],372.0,2123799.0,64149.0
82,2059-05-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3262.0,2170517.0,67411.0
83,2059-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],8183.0,2237768.0,75594.0
84,2059-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],358.0,2263529.0,75952.0
85,2059-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-420.0,2292269.0,75532.0
86,2059-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1989.0,2321153.0,73543.0
87,2059-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-5395.0,2350995.0,68148.0
88,2059-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-3630.0,2368112.0,64518.0
89,2059-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],72.0,2374789.0,64590.0
90,2060-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2833.0,2516415.0,67423.0
91,2060-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2760.0,2533906.0,70183.0
92,2061-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1361.0,2597891.0,71544.0
93,2061-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],505.0,2598598.0,72049.0
94,2062-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],50.0,2689845.0,72099.0
95,2063-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],442.0,2798779.0,72541.0
96,2063-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4431.0,2832697.0,76972.0
97,2063-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4785.0,2863021.0,81757.0
98,2063-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4698.0,2894002.0,86455.0
99,2063-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],5350.0,2926742.0,91805.0
100,2063-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4940.0,2957998.0,96745.0
101,2063-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3054.0,2974585.0,99799.0
102,2064-05-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],9.0,3056058.0,99808.0
103,2064-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],6613.0,3164353.0,106421.0
104,2064-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],7737.0,3210706.0,114158.0
105,2064-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],8303.0,3256761.0,122461.0
106,2064-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],9188.0,3304447.0,131649.0
