,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2021-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5313.0,31457.0,5313.0
1,2021-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5888.0,52379.0,11201.0
2,2021-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],6662.0,85267.0,17863.0
3,2021-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],7333.0,146450.0,25196.0
4,2021-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],7924.0,222640.0,33120.0
5,2021-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8286.0,358866.0,41406.0
6,2021-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8156.0,522166.0,49562.0
7,2021-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8233.0,729873.0,57795.0
8,2021-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8419.0,884418.0,66214.0
9,2021-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8509.0,979770.0,74723.0
10,2021-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8530.0,1063428.0,83253.0
11,2021-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8444.0,1105904.0,91697.0
12,2022-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],12672.0,1153180.0,104369.0
13,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],13439.0,1196070.0,117808.0
14,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],14010.0,1257859.0,131818.0
15,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],15169.0,1407002.0,146987.0
16,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],16137.0,1526068.0,163124.0
17,2022-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],16749.0,1689235.0,179873.0
18,2022-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],16983.0,1920309.0,196856.0
19,2022-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],16637.0,2218869.0,213493.0
20,2022-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],15751.0,2442169.0,229244.0
21,2022-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],16236.0,2581972.0,245480.0
22,2022-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],15645.0,2685632.0,261125.0
23,2022-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],15042.0,2773288.0,276167.0
24,2023-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],19835.0,2877961.0,296002.0
25,2023-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],20331.0,2981393.0,316333.0
26,2023-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],20766.0,3077479.0,337099.0
27,2023-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],21747.0,3215075.0,358846.0
28,2023-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],23678.0,3258129.0,382524.0
29,2023-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],24869.0,3483355.0,407393.0
30,2023-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],24756.0,3884462.0,432149.0
31,2023-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],24372.0,4407041.0,456521.0
32,2023-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],24857.0,4740090.0,481378.0
33,2023-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],23024.0,4991222.0,504402.0
34,2023-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],23691.0,5214824.0,528093.0
35,2023-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],24078.0,5357921.0,552171.0
36,2024-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],26431.0,5450415.0,578602.0
37,2024-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],27212.0,5538396.0,605814.0
38,2024-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],21579.0,5659609.0,627393.0
39,2024-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],26478.0,5857903.0,653871.0
40,2024-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],29770.0,6049949.0,683641.0
41,2024-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],32062.0,6321173.0,715703.0
42,2024-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],33223.0,6728368.0,748926.0
43,2024-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],32425.0,7297499.0,781351.0
44,2024-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],33331.0,7716733.0,814682.0
45,2024-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],33769.0,8069868.0,848451.0
46,2024-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],33465.0,8392129.0,881916.0
