,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2022-08-01,GW_storage_AZ_APS_E_GW[AF],-2.0,1037991.0,-2.0
1,2022-10-01,GW_storage_AZ_APS_E_GW[AF],-2.0,1452335.0,-4.0
2,2022-11-01,GW_storage_AZ_APS_E_GW[AF],-2.0,1661620.0,-6.0
3,2022-12-01,GW_storage_AZ_APS_E_GW[AF],-3.0,1861623.0,-9.0
4,2023-01-01,GW_storage_AZ_APS_E_GW[AF],-3.0,2047459.0,-12.0
5,2023-02-01,GW_storage_AZ_APS_E_GW[AF],-4.0,2220237.0,-16.0
6,2023-03-01,GW_storage_AZ_APS_E_GW[AF],-4.0,2379094.0,-20.0
7,2023-04-01,GW_storage_AZ_APS_E_GW[AF],-6.0,2569929.0,-26.0
8,2023-05-01,GW_storage_AZ_APS_E_GW[AF],-5.0,2749396.0,-31.0
9,2023-06-01,GW_storage_AZ_APS_E_GW[AF],-5.0,2984846.0,-36.0
10,2023-07-01,GW_storage_AZ_APS_E_GW[AF],-5.0,3293175.0,-41.0
11,2023-08-01,GW_storage_AZ_APS_E_GW[AF],-5.0,3659247.0,-46.0
12,2023-09-01,GW_storage_AZ_APS_E_GW[AF],-5.0,4093176.0,-51.0
13,2023-10-01,GW_storage_AZ_APS_E_GW[AF],-5.0,4541765.0,-56.0
14,2023-11-01,GW_storage_AZ_APS_E_GW[AF],-5.0,5006044.0,-61.0
15,2023-12-01,GW_storage_AZ_APS_E_GW[AF],-6.0,5483355.0,-67.0
16,2024-01-01,GW_storage_AZ_APS_E_GW[AF],-5.0,5938717.0,-72.0
17,2024-02-01,GW_storage_AZ_APS_E_GW[AF],-6.0,6336383.0,-78.0
18,2024-03-01,GW_storage_AZ_APS_E_GW[AF],-8.0,6693679.0,-86.0
19,2024-04-01,GW_storage_AZ_APS_E_GW[AF],-8.0,7056632.0,-94.0
20,2024-05-01,GW_storage_AZ_APS_E_GW[AF],-9.0,7437805.0,-103.0
21,2024-06-01,GW_storage_AZ_APS_E_GW[AF],-9.0,7859063.0,-112.0
22,2024-07-01,GW_storage_AZ_APS_E_GW[AF],-8.0,8367267.0,-120.0
23,2024-08-01,GW_storage_AZ_APS_E_GW[AF],-8.0,8959164.0,-128.0
24,2024-09-01,GW_storage_AZ_APS_E_GW[AF],-8.0,9593240.0,-136.0
25,2024-10-01,GW_storage_AZ_APS_E_GW[AF],-8.0,10252269.0,-144.0
26,2024-11-01,GW_storage_AZ_APS_E_GW[AF],-8.0,10939525.0,-152.0
27,2024-12-01,GW_storage_AZ_APS_E_GW[AF],-8.0,11676731.0,-160.0
28,2025-01-01,GW_storage_AZ_APS_E_GW[AF],-8.0,12409230.0,-168.0
29,2025-02-01,GW_storage_AZ_APS_E_GW[AF],-9.0,13062494.0,-177.0
30,2025-03-01,GW_storage_AZ_APS_E_GW[AF],-9.0,13652260.0,-186.0
31,2025-04-01,GW_storage_AZ_APS_E_GW[AF],-9.0,14311704.0,-195.0
32,2025-05-01,GW_storage_AZ_APS_E_GW[AF],-10.0,15015370.0,-205.0
33,2025-06-01,GW_storage_AZ_APS_E_GW[AF],-9.0,15835546.0,-214.0
34,2025-07-01,GW_storage_AZ_APS_E_GW[AF],-8.0,16722739.0,-222.0
35,2025-08-01,GW_storage_AZ_APS_E_GW[AF],-8.0,17746941.0,-230.0
36,2025-09-01,GW_storage_AZ_APS_E_GW[AF],-7.0,18893061.0,-237.0
37,2025-10-01,GW_storage_AZ_APS_E_GW[AF],-6.0,20051804.0,-243.0
38,2025-11-01,GW_storage_AZ_APS_E_GW[AF],-6.0,21211911.0,-249.0
39,2025-12-01,GW_storage_AZ_APS_E_GW[AF],-6.0,22428274.0,-255.0
40,2026-01-01,GW_storage_AZ_APS_E_GW[AF],-7.0,23552779.0,-262.0
41,2026-02-01,GW_storage_AZ_APS_E_GW[AF],-8.0,24558186.0,-270.0
42,2026-03-01,GW_storage_AZ_APS_E_GW[AF],-10.0,25456859.0,-280.0
43,2026-04-01,GW_storage_AZ_APS_E_GW[AF],-13.0,26313345.0,-293.0
44,2026-05-01,GW_storage_AZ_APS_E_GW[AF],-13.0,27200283.0,-306.0
45,2026-06-01,GW_storage_AZ_APS_E_GW[AF],-12.0,28134216.0,-318.0
46,2026-07-01,GW_storage_AZ_APS_E_GW[AF],-11.0,29158945.0,-329.0
47,2026-08-01,GW_storage_AZ_APS_E_GW[AF],-10.0,30318498.0,-339.0
48,2026-09-01,GW_storage_AZ_APS_E_GW[AF],-9.0,31582528.0,-348.0
49,2026-10-01,GW_storage_AZ_APS_E_GW[AF],-8.0,32873286.0,-356.0
50,2026-11-01,GW_storage_AZ_APS_E_GW[AF],-8.0,34179029.0,-364.0
51,2026-12-01,GW_storage_AZ_APS_E_GW[AF],-7.0,35492884.0,-371.0
52,2027-01-01,GW_storage_AZ_APS_E_GW[AF],-7.0,36732758.0,-378.0
53,2027-02-01,GW_storage_AZ_APS_E_GW[AF],-8.0,37902673.0,-386.0
