,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2068-12-01,Unmet_Dem_IN_CA_IID[AF],-12504.0,1251182.0,-12504.0
1,2069-12-01,Unmet_Dem_IN_CA_IID[AF],-12629.0,1133915.0,-25133.0
2,2070-12-01,Unmet_Dem_IN_CA_IID[AF],-12755.0,1088956.0,-37888.0
3,2038-10-01,Unmet_Dem_IN_CA_LADWP[AF],-3211.0,-44948.0,-3211.0
4,2046-05-01,Unmet_Dem_IN_CA_LADWP[AF],-920.0,79361.0,-4131.0
5,2047-11-01,Unmet_Dem_IN_CA_LADWP[AF],-6909.0,39277.0,-11040.0
6,2047-12-01,Unmet_Dem_IN_CA_LADWP[AF],-514.0,35324.0,-11554.0
7,2049-05-01,Unmet_Dem_IN_CA_LADWP[AF],1047.0,89028.0,-10507.0
8,2050-05-01,Unmet_Dem_IN_CA_LADWP[AF],870.0,147218.0,-9637.0
9,2054-05-01,Unmet_Dem_IN_CA_LADWP[AF],3829.0,433689.0,-5808.0
10,2055-06-01,Unmet_Dem_IN_CA_LADWP[AF],1561.0,405623.0,-4247.0
11,2056-05-01,Unmet_Dem_IN_CA_LADWP[AF],10675.0,490909.0,6428.0
12,2056-06-01,Unmet_Dem_IN_CA_LADWP[AF],2624.0,503961.0,9052.0
13,2059-05-01,Unmet_Dem_IN_CA_LADWP[AF],2354.0,539106.0,11406.0
14,2060-12-01,Unmet_Dem_IN_CA_LADWP[AF],521.0,632297.0,11927.0
15,2061-05-01,Unmet_Dem_IN_CA_LADWP[AF],21.0,637865.0,11948.0
16,2061-06-01,Unmet_Dem_IN_CA_LADWP[AF],1493.0,688643.0,13441.0
17,2062-05-01,Unmet_Dem_IN_CA_LADWP[AF],49.0,707171.0,13490.0
18,2062-06-01,Unmet_Dem_IN_CA_LADWP[AF],1465.0,762529.0,14955.0
19,2064-05-01,Unmet_Dem_IN_CA_LADWP[AF],3172.0,997546.0,18127.0
20,2065-12-01,Unmet_Dem_IN_CA_LADWP[AF],649.0,1154963.0,18776.0
21,2066-05-01,Unmet_Dem_IN_CA_LADWP[AF],2355.0,1179359.0,21131.0
22,2069-04-01,Unmet_Dem_IN_CA_LADWP[AF],148.0,1243985.0,21279.0
23,2069-06-01,Unmet_Dem_IN_CA_LADWP[AF],719.0,1206480.0,21998.0
24,2069-09-01,Unmet_Dem_IN_CA_LADWP[AF],1754.0,1150871.0,23752.0
25,2069-10-01,Unmet_Dem_IN_CA_LADWP[AF],2400.0,1155022.0,26152.0
26,2069-11-01,Unmet_Dem_IN_CA_LADWP[AF],1867.0,1160937.0,28019.0
27,2070-03-01,Unmet_Dem_IN_CA_LADWP[AF],-9924.0,1089049.0,18095.0
28,2070-04-01,Unmet_Dem_IN_CA_LADWP[AF],-291.0,1076348.0,17804.0
29,2070-05-01,Unmet_Dem_IN_CA_LADWP[AF],-99.0,1074540.0,17705.0
30,2070-06-01,Unmet_Dem_IN_CA_LADWP[AF],-24.0,1065453.0,17681.0
31,2070-09-01,Unmet_Dem_IN_CA_LADWP[AF],-10499.0,1131041.0,7182.0
32,2070-10-01,Unmet_Dem_IN_CA_LADWP[AF],-33905.0,1128060.0,-26723.0
33,2070-11-01,Unmet_Dem_IN_CA_LADWP[AF],-34023.0,1098843.0,-60746.0
34,2021-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],22.0,1683.0,22.0
35,2021-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],44.0,1711.0,66.0
36,2021-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],681.0,4170.0,747.0
