,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2068-12-01,Unmet_Dem_OUT_CA_IID[AF],-149.0,-13288.0,-149.0
1,2069-12-01,Unmet_Dem_OUT_CA_IID[AF],-161.0,-108236.0,-310.0
2,2070-12-01,Unmet_Dem_OUT_CA_IID[AF],-101.0,-167470.0,-411.0
3,2038-10-01,Unmet_Dem_OUT_CA_LADWP[AF],-441.0,-6947.0,-441.0
4,2046-05-01,Unmet_Dem_OUT_CA_LADWP[AF],-170.0,28564.0,-611.0
5,2047-11-01,Unmet_Dem_OUT_CA_LADWP[AF],-837.0,26805.0,-1448.0
6,2047-12-01,Unmet_Dem_OUT_CA_LADWP[AF],-94.0,18364.0,-1542.0
7,2049-05-01,Unmet_Dem_OUT_CA_LADWP[AF],195.0,22753.0,-1347.0
8,2050-05-01,Unmet_Dem_OUT_CA_LADWP[AF],175.0,26241.0,-1172.0
9,2054-05-01,Unmet_Dem_OUT_CA_LADWP[AF],667.0,39201.0,-505.0
10,2055-06-01,Unmet_Dem_OUT_CA_LADWP[AF],339.0,21041.0,-166.0
11,2056-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1482.0,37190.0,1316.0
12,2056-06-01,Unmet_Dem_OUT_CA_LADWP[AF],514.0,42997.0,1830.0
13,2059-05-01,Unmet_Dem_OUT_CA_LADWP[AF],344.0,13468.0,2174.0
14,2060-12-01,Unmet_Dem_OUT_CA_LADWP[AF],43.0,13820.0,2217.0
15,2061-05-01,Unmet_Dem_OUT_CA_LADWP[AF],2.0,3391.0,2219.0
16,2061-06-01,Unmet_Dem_OUT_CA_LADWP[AF],308.0,-5767.0,2527.0
17,2062-05-01,Unmet_Dem_OUT_CA_LADWP[AF],9.0,-14356.0,2536.0
18,2062-06-01,Unmet_Dem_OUT_CA_LADWP[AF],306.0,-21377.0,2842.0
19,2064-05-01,Unmet_Dem_OUT_CA_LADWP[AF],319.0,-17353.0,3161.0
20,2066-05-01,Unmet_Dem_OUT_CA_LADWP[AF],371.0,8060.0,3532.0
21,2069-04-01,Unmet_Dem_OUT_CA_LADWP[AF],21.0,-39528.0,3553.0
22,2069-05-01,Unmet_Dem_OUT_CA_LADWP[AF],5.0,-56296.0,3558.0
23,2069-06-01,Unmet_Dem_OUT_CA_LADWP[AF],155.0,-66230.0,3713.0
24,2069-09-01,Unmet_Dem_OUT_CA_LADWP[AF],266.0,-94803.0,3979.0
25,2069-10-01,Unmet_Dem_OUT_CA_LADWP[AF],398.0,-99059.0,4377.0
26,2069-11-01,Unmet_Dem_OUT_CA_LADWP[AF],141.0,-101239.0,4518.0
27,2070-03-01,Unmet_Dem_OUT_CA_LADWP[AF],-1092.0,-141339.0,3426.0
28,2070-04-01,Unmet_Dem_OUT_CA_LADWP[AF],-377.0,-161496.0,3049.0
29,2070-05-01,Unmet_Dem_OUT_CA_LADWP[AF],-169.0,-181143.0,2880.0
30,2070-06-01,Unmet_Dem_OUT_CA_LADWP[AF],-79.0,-191335.0,2801.0
31,2070-09-01,Unmet_Dem_OUT_CA_LADWP[AF],-1595.0,-171425.0,1206.0
32,2070-10-01,Unmet_Dem_OUT_CA_LADWP[AF],-5003.0,-168334.0,-3797.0
33,2070-11-01,Unmet_Dem_OUT_CA_LADWP[AF],-4405.0,-170560.0,-8202.0
34,2021-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2.0,363.0,2.0
35,2021-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],12.0,7537.0,14.0
36,2021-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-5810.0,4015.0,-5796.0
37,2021-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-3380.0,4747.0,-9176.0
38,2021-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1533.0,7870.0,-10709.0
39,2021-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2956.0,8899.0,-13665.0
40,2023-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-222.0,9506.0,-13887.0
41,2023-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-286.0,9221.0,-14173.0
42,2023-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-240.0,9353.0,-14413.0
43,2025-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-62.0,10767.0,-14475.0
44,2025-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-70.0,18534.0,-14545.0
45,2030-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1498.0,26522.0,-13047.0
46,2030-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],360.0,27650.0,-12687.0
47,2030-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],154.0,28224.0,-12533.0
48,2030-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],80.0,28614.0,-12453.0
49,2032-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],401.0,30362.0,-12052.0
50,2032-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],181.0,30559.0,-11871.0
51,2032-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],117.0,31319.0,-11754.0
52,2032-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],95.0,32144.0,-11659.0
53,2032-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],73.0,32898.0,-11586.0
54,2032-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-324.0,32577.0,-11910.0
55,2032-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-173.0,32387.0,-12083.0
56,2033-05-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-2867.0,29929.0,-14950.0
57,2033-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3278.0,31167.0,-11672.0
58,2033-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1435.0,30963.0,-10237.0
59,2033-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1013.0,31976.0,-9224.0
60,2033-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],734.0,32718.0,-8490.0
61,2033-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],559.0,33385.0,-7931.0
62,2034-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],191.0,35254.0,-7740.0
63,2035-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],578.0,22062.0,-7162.0
64,2035-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-359.0,21683.0,-7521.0
65,2035-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-532.0,21137.0,-8053.0
66,2035-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-663.0,20690.0,-8716.0
67,2035-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-136.0,20838.0,-8852.0
68,2036-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-458.0,18983.0,-9310.0
69,2036-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-137.0,19315.0,-9447.0
70,2037-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-145.0,8696.0,-9592.0
71,2037-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-557.0,8119.0,-10149.0
72,2037-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-594.0,7521.0,-10743.0
73,2037-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-332.0,7186.0,-11075.0
74,2037-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-180.0,7001.0,-11255.0
75,2038-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],109.0,6187.0,-11146.0
76,2038-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],142.0,7070.0,-11004.0
77,2038-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],167.0,1802.0,-10837.0
78,2038-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1797.0,-6947.0,-12634.0
79,2039-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],729.0,-6019.0,-11905.0
80,2039-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-197.0,-6224.0,-12102.0
81,2039-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-991.0,-4524.0,-13093.0
82,2040-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-715.0,-3884.0,-13808.0
83,2040-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-838.0,-4710.0,-14646.0
84,2040-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-705.0,-4061.0,-15351.0
85,2040-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-345.0,-3954.0,-15696.0
86,2041-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1390.0,-4987.0,-17086.0
87,2041-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1315.0,-6288.0,-18401.0
88,2041-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1333.0,-7608.0,-19734.0
89,2041-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-786.0,-8272.0,-20520.0
90,2042-05-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4116.0,-8965.0,-16404.0
91,2042-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1570.0,2677.0,-14834.0
92,2042-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1234.0,3568.0,-13600.0
93,2042-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],906.0,8926.0,-12694.0
94,2042-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1005.0,14930.0,-11689.0
95,2042-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],940.0,33969.0,-10749.0
96,2042-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],767.0,39150.0,-9982.0
97,2044-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],858.0,48624.0,-9124.0
98,2045-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1715.0,29864.0,-7409.0
99,2045-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-652.0,29209.0,-8061.0
100,2045-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-792.0,31122.0,-8853.0
101,2045-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1165.0,33790.0,-10018.0
102,2045-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-50.0,33862.0,-10068.0
103,2046-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],5130.0,23295.0,-4938.0
104,2046-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],3088.0,25722.0,-1850.0
