,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2011-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],13310.0,-34463.0,13310.0
1,2011-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-33858.0,-338709.0,-20548.0
2,2011-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-36318.0,-826680.0,-56866.0
3,2011-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-25261.0,-1325001.0,-82127.0
4,2011-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-29243.0,-2415636.0,-111370.0
5,2011-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-551.0,-4552029.0,-111921.0
6,2011-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-30468.0,-7123060.0,-142389.0
7,2011-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1949.0,-9949010.0,-144338.0
8,2011-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],28593.0,-11693074.0,-115745.0
9,2011-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],9571.0,-13920088.0,-106174.0
10,2011-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5904.0,-16019605.0,-100270.0
11,2011-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],6787.0,-16982091.0,-93483.0
12,2012-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],21402.0,-16936213.0,-72081.0
13,2012-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2951.0,-16179119.0,-69130.0
14,2012-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],11597.0,-16171348.0,-57533.0
15,2012-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],16479.0,-16494352.0,-41054.0
16,2012-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],10523.0,-16458946.0,-30531.0
17,2012-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],9084.0,-15389422.0,-21447.0
18,2012-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-46812.0,-14157489.0,-68259.0
19,2012-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-24829.0,-10999219.0,-93088.0
20,2012-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-35488.0,-9968793.0,-128576.0
21,2012-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-37544.0,-9775706.0,-166120.0
22,2012-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-20683.0,-10601759.0,-186803.0
23,2012-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],17092.0,-10643195.0,-169711.0
24,2013-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3330.0,-10366924.0,-166381.0
25,2013-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],10732.0,-9570164.0,-155649.0
26,2013-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],96979.0,-7956469.0,-58670.0
27,2013-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],83744.0,-5366043.0,25074.0
28,2013-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],48344.0,-3177128.0,73418.0
29,2013-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],36430.0,-1097824.0,109848.0
30,2013-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-21399.0,1120566.0,88449.0
31,2013-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-59337.0,2586769.0,29112.0
32,2013-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-105857.0,2091689.0,-76745.0
33,2013-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-87692.0,2161304.0,-164437.0
34,2013-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-127907.0,1923731.0,-292344.0
35,2013-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-117045.0,2367769.0,-409389.0
36,2014-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-90544.0,2323660.0,-499933.0
37,2014-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-75975.0,2840742.0,-575908.0
38,2014-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-112399.0,2674450.0,-688307.0
39,2014-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-94792.0,1317758.0,-783099.0
40,2014-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-58106.0,1190686.0,-841205.0
41,2014-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-37779.0,491051.0,-878984.0
42,2014-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8562.0,-957005.0,-870422.0
43,2014-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-30585.0,-3087478.0,-901007.0
44,2014-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],30323.0,-4449018.0,-870684.0
45,2014-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],11560.0,-5130469.0,-859124.0
46,2014-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],14707.0,-6298807.0,-844417.0
47,2014-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5072.0,-7162577.0,-839345.0
48,2015-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3822.0,-6577885.0,-835523.0
49,2015-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],68585.0,-5665397.0,-766938.0
