,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
0,2011-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,99.0,2.0
1,2011-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,231.0,4.0
2,2011-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,438.0,5.0
3,2011-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,546.0,6.0
4,2012-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,3088.0,5.0
5,2012-07-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,2280.0,6.0
6,2012-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],1.0,1088.0,7.0
7,2013-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-7.0,340.0,0.0
8,2013-04-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-4.0,-523.0,-4.0
9,2013-05-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-2.0,-1130.0,-6.0
10,2013-06-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],-1.0,-1346.0,-7.0
11,2013-08-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],2.0,-2271.0,-5.0
12,2013-09-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,-1775.0,-2.0
13,2013-10-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],3.0,-1308.0,1.0
14,2013-11-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,-1339.0,6.0
15,2013-12-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,-1442.0,11.0
16,2014-01-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,-1487.0,16.0
17,2014-02-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],5.0,-1542.0,21.0
18,2014-03-01,Coverage_AZ_APS_SW_Lwr Colorado[Percent],8.0,-913.0,29.0
