,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
0,2013-11-01,Coverage_IN_CA_IID[Percent],100.0,-1108.0,100.0
1,2020-12-01,Coverage_IN_CA_IID[Percent],-100.0,2832.0,0.0
2,2021-12-01,Coverage_IN_CA_IID[Percent],-100.0,3079.0,-100.0
3,2025-12-01,Coverage_IN_CA_IID[Percent],-100.0,4850.0,-200.0
4,2026-11-01,Coverage_IN_CA_IID[Percent],-100.0,5430.0,-300.0
5,2026-12-01,Coverage_IN_CA_IID[Percent],-100.0,5330.0,-400.0
6,2027-11-01,Coverage_IN_CA_IID[Percent],-100.0,5747.0,-500.0
7,2027-12-01,Coverage_IN_CA_IID[Percent],-100.0,5754.0,-600.0
8,2028-11-01,Coverage_IN_CA_IID[Percent],-100.0,6321.0,-700.0
9,2028-12-01,Coverage_IN_CA_IID[Percent],-100.0,6223.0,-800.0
10,2029-11-01,Coverage_IN_CA_IID[Percent],-100.0,6221.0,-900.0
11,2029-12-01,Coverage_IN_CA_IID[Percent],-100.0,6119.0,-1000.0
12,2030-11-01,Coverage_IN_CA_IID[Percent],-100.0,7164.0,-1100.0
13,2030-12-01,Coverage_IN_CA_IID[Percent],-100.0,7079.0,-1200.0
14,2031-11-01,Coverage_IN_CA_IID[Percent],-100.0,6818.0,-1300.0
15,2031-12-01,Coverage_IN_CA_IID[Percent],-100.0,6682.0,-1400.0
16,2032-11-01,Coverage_IN_CA_IID[Percent],-100.0,6459.0,-1500.0
17,2032-12-01,Coverage_IN_CA_IID[Percent],-100.0,6480.0,-1600.0
18,2033-11-01,Coverage_IN_CA_IID[Percent],-100.0,6682.0,-1700.0
19,2033-12-01,Coverage_IN_CA_IID[Percent],-100.0,6644.0,-1800.0
20,2034-11-01,Coverage_IN_CA_IID[Percent],-100.0,5781.0,-1900.0
21,2034-12-01,Coverage_IN_CA_IID[Percent],-100.0,5700.0,-2000.0
22,2035-11-01,Coverage_IN_CA_IID[Percent],-100.0,5394.0,-2100.0
23,2035-12-01,Coverage_IN_CA_IID[Percent],-100.0,5442.0,-2200.0
24,2036-12-01,Coverage_IN_CA_IID[Percent],-100.0,5039.0,-2300.0
25,2037-12-01,Coverage_IN_CA_IID[Percent],-100.0,5927.0,-2400.0
26,2039-11-01,Coverage_IN_CA_IID[Percent],-100.0,7945.0,-2500.0
27,2039-12-01,Coverage_IN_CA_IID[Percent],-100.0,7942.0,-2600.0
28,2040-11-01,Coverage_IN_CA_IID[Percent],-100.0,8318.0,-2700.0
29,2040-12-01,Coverage_IN_CA_IID[Percent],-100.0,8307.0,-2800.0
30,2041-11-01,Coverage_IN_CA_IID[Percent],-100.0,9383.0,-2900.0
31,2041-12-01,Coverage_IN_CA_IID[Percent],-100.0,9428.0,-3000.0
32,2042-11-01,Coverage_IN_CA_IID[Percent],-100.0,11713.0,-3100.0
33,2042-12-01,Coverage_IN_CA_IID[Percent],-100.0,11781.0,-3200.0
34,2043-11-01,Coverage_IN_CA_IID[Percent],-100.0,12580.0,-3300.0
35,2043-12-01,Coverage_IN_CA_IID[Percent],-100.0,12513.0,-3400.0
36,2044-11-01,Coverage_IN_CA_IID[Percent],-100.0,12521.0,-3500.0
37,2044-12-01,Coverage_IN_CA_IID[Percent],-100.0,12497.0,-3600.0
38,2045-11-01,Coverage_IN_CA_IID[Percent],-100.0,12367.0,-3700.0
39,2045-12-01,Coverage_IN_CA_IID[Percent],-100.0,12358.0,-3800.0
40,2046-12-01,Coverage_IN_CA_IID[Percent],-100.0,11957.0,-3900.0
41,2047-12-01,Coverage_IN_CA_IID[Percent],-100.0,11729.0,-4000.0
42,2057-11-01,Coverage_IN_CA_IID[Percent],-100.0,16620.0,-4100.0
43,2057-12-01,Coverage_IN_CA_IID[Percent],-100.0,16403.0,-4200.0
44,2058-12-01,Coverage_IN_CA_IID[Percent],-100.0,15818.0,-4300.0
45,2063-12-01,Coverage_IN_CA_IID[Percent],-100.0,20234.0,-4400.0
46,2069-12-01,Coverage_IN_CA_IID[Percent],-100.0,24591.0,-4500.0
47,2070-11-01,Coverage_IN_CA_IID[Percent],-100.0,28768.0,-4600.0
48,2070-12-01,Coverage_IN_CA_IID[Percent],-100.0,28977.0,-4700.0
49,2033-05-01,Coverage_IN_CA_LADWP[Percent],-1.0,6516.0,-1.0
50,2046-05-01,Coverage_IN_CA_LADWP[Percent],-11.0,12206.0,-12.0
51,2047-12-01,Coverage_IN_CA_LADWP[Percent],5.0,11729.0,-7.0
52,2049-05-01,Coverage_IN_CA_LADWP[Percent],2.0,12002.0,-5.0
53,2050-05-01,Coverage_IN_CA_LADWP[Percent],6.0,12754.0,1.0
54,2052-05-01,Coverage_IN_CA_LADWP[Percent],-15.0,13141.0,-14.0
55,2053-05-01,Coverage_IN_CA_LADWP[Percent],-17.0,12395.0,-31.0
56,2054-05-01,Coverage_IN_CA_LADWP[Percent],6.0,13066.0,-25.0
57,2055-05-01,Coverage_IN_CA_LADWP[Percent],18.0,14273.0,-7.0
58,2055-06-01,Coverage_IN_CA_LADWP[Percent],18.0,14561.0,11.0
59,2056-05-01,Coverage_IN_CA_LADWP[Percent],16.0,17045.0,27.0
60,2056-06-01,Coverage_IN_CA_LADWP[Percent],4.0,17087.0,31.0
61,2057-05-01,Coverage_IN_CA_LADWP[Percent],-3.0,17381.0,28.0
62,2057-06-01,Coverage_IN_CA_LADWP[Percent],-3.0,17245.0,25.0
63,2058-05-01,Coverage_IN_CA_LADWP[Percent],-26.0,15917.0,-1.0
64,2058-06-01,Coverage_IN_CA_LADWP[Percent],-16.0,15881.0,-17.0
65,2059-05-01,Coverage_IN_CA_LADWP[Percent],1.0,15759.0,-16.0
66,2060-05-01,Coverage_IN_CA_LADWP[Percent],-8.0,16335.0,-24.0
67,2060-12-01,Coverage_IN_CA_LADWP[Percent],9.0,15977.0,-15.0
68,2061-05-01,Coverage_IN_CA_LADWP[Percent],22.0,16233.0,7.0
69,2061-06-01,Coverage_IN_CA_LADWP[Percent],11.0,16536.0,18.0
70,2062-05-01,Coverage_IN_CA_LADWP[Percent],23.0,18402.0,41.0
71,2062-06-01,Coverage_IN_CA_LADWP[Percent],14.0,18572.0,55.0
72,2062-12-01,Coverage_IN_CA_LADWP[Percent],-6.0,19801.0,49.0
73,2063-12-01,Coverage_IN_CA_LADWP[Percent],5.0,20234.0,54.0
74,2064-05-01,Coverage_IN_CA_LADWP[Percent],-19.0,20157.0,35.0
75,2064-06-01,Coverage_IN_CA_LADWP[Percent],-8.0,20109.0,27.0
76,2065-04-01,Coverage_IN_CA_LADWP[Percent],-26.0,19608.0,1.0
77,2065-05-01,Coverage_IN_CA_LADWP[Percent],-16.0,19549.0,-15.0
78,2065-06-01,Coverage_IN_CA_LADWP[Percent],-28.0,19520.0,-43.0
79,2065-10-01,Coverage_IN_CA_LADWP[Percent],-27.0,18812.0,-70.0
80,2065-11-01,Coverage_IN_CA_LADWP[Percent],-27.0,18622.0,-97.0
81,2065-12-01,Coverage_IN_CA_LADWP[Percent],7.0,18761.0,-90.0
82,2066-05-01,Coverage_IN_CA_LADWP[Percent],16.0,19327.0,-74.0
83,2066-12-01,Coverage_IN_CA_LADWP[Percent],-8.0,20853.0,-82.0
84,2069-04-01,Coverage_IN_CA_LADWP[Percent],2.0,22791.0,-80.0
85,2069-05-01,Coverage_IN_CA_LADWP[Percent],32.0,22974.0,-48.0
86,2069-06-01,Coverage_IN_CA_LADWP[Percent],35.0,23405.0,-13.0
87,2069-09-01,Coverage_IN_CA_LADWP[Percent],8.0,24098.0,-5.0
88,2069-10-01,Coverage_IN_CA_LADWP[Percent],41.0,24253.0,36.0
89,2069-11-01,Coverage_IN_CA_LADWP[Percent],30.0,24471.0,66.0
90,2070-03-01,Coverage_IN_CA_LADWP[Percent],21.0,25508.0,87.0
91,2070-04-01,Coverage_IN_CA_LADWP[Percent],44.0,25851.0,131.0
92,2070-05-01,Coverage_IN_CA_LADWP[Percent],47.0,26190.0,178.0
93,2070-06-01,Coverage_IN_CA_LADWP[Percent],54.0,26557.0,232.0
94,2070-09-01,Coverage_IN_CA_LADWP[Percent],4.0,27904.0,236.0
95,2070-10-01,Coverage_IN_CA_LADWP[Percent],3.0,28383.0,239.0
96,2070-12-01,Coverage_IN_CA_LADWP[Percent],-10.0,28977.0,229.0
97,2011-08-01,Coverage_IN_CA_PGE_BAY[Percent],3.0,172.0,3.0
98,2011-09-01,Coverage_IN_CA_PGE_BAY[Percent],14.0,138.0,17.0
99,2011-10-01,Coverage_IN_CA_PGE_BAY[Percent],26.0,219.0,43.0
100,2011-11-01,Coverage_IN_CA_PGE_BAY[Percent],15.0,276.0,58.0
101,2012-09-01,Coverage_IN_CA_PGE_BAY[Percent],-10.0,-255.0,48.0
102,2012-10-01,Coverage_IN_CA_PGE_BAY[Percent],-18.0,-491.0,30.0
103,2012-11-01,Coverage_IN_CA_PGE_BAY[Percent],-2.0,-498.0,28.0
104,2013-03-01,Coverage_IN_CA_PGE_BAY[Percent],-1.0,-496.0,27.0
105,2013-04-01,Coverage_IN_CA_PGE_BAY[Percent],-16.0,-637.0,11.0
106,2013-05-01,Coverage_IN_CA_PGE_BAY[Percent],-39.0,-778.0,-28.0
107,2013-07-01,Coverage_IN_CA_PGE_BAY[Percent],-24.0,-1037.0,-52.0
108,2013-08-01,Coverage_IN_CA_PGE_BAY[Percent],-42.0,-1084.0,-94.0
109,2013-09-01,Coverage_IN_CA_PGE_BAY[Percent],-44.0,-1170.0,-138.0
110,2013-10-01,Coverage_IN_CA_PGE_BAY[Percent],-29.0,-1115.0,-167.0
111,2013-11-01,Coverage_IN_CA_PGE_BAY[Percent],-22.0,-1108.0,-189.0
112,2013-12-01,Coverage_IN_CA_PGE_BAY[Percent],-12.0,-1151.0,-201.0
113,2014-07-01,Coverage_IN_CA_PGE_BAY[Percent],-18.0,-1016.0,-219.0
114,2014-08-01,Coverage_IN_CA_PGE_BAY[Percent],-7.0,-1037.0,-226.0
115,2014-09-01,Coverage_IN_CA_PGE_BAY[Percent],-7.0,-1056.0,-233.0
116,2014-10-01,Coverage_IN_CA_PGE_BAY[Percent],-7.0,-1065.0,-240.0
117,2016-07-01,Coverage_IN_CA_PGE_BAY[Percent],-16.0,-1023.0,-256.0
118,2016-08-01,Coverage_IN_CA_PGE_BAY[Percent],-6.0,-1031.0,-262.0
119,2016-09-01,Coverage_IN_CA_PGE_BAY[Percent],-17.0,-1076.0,-279.0
120,2016-10-01,Coverage_IN_CA_PGE_BAY[Percent],-20.0,-968.0,-299.0
121,2017-07-01,Coverage_IN_CA_PGE_BAY[Percent],23.0,-668.0,-276.0
122,2017-08-01,Coverage_IN_CA_PGE_BAY[Percent],20.0,-441.0,-256.0
123,2017-09-01,Coverage_IN_CA_PGE_BAY[Percent],33.0,-316.0,-223.0
124,2017-10-01,Coverage_IN_CA_PGE_BAY[Percent],32.0,-10.0,-191.0
125,2017-11-01,Coverage_IN_CA_PGE_BAY[Percent],29.0,261.0,-162.0
126,2018-08-01,Coverage_IN_CA_PGE_BAY[Percent],6.0,947.0,-156.0
127,2018-09-01,Coverage_IN_CA_PGE_BAY[Percent],4.0,981.0,-152.0
128,2018-10-01,Coverage_IN_CA_PGE_BAY[Percent],16.0,1056.0,-136.0
129,2018-11-01,Coverage_IN_CA_PGE_BAY[Percent],14.0,1099.0,-122.0
130,2020-07-01,Coverage_IN_CA_PGE_BAY[Percent],5.0,2372.0,-117.0
131,2020-08-01,Coverage_IN_CA_PGE_BAY[Percent],12.0,2432.0,-105.0
132,2020-09-01,Coverage_IN_CA_PGE_BAY[Percent],27.0,2629.0,-78.0
133,2020-10-01,Coverage_IN_CA_PGE_BAY[Percent],4.0,2725.0,-74.0
134,2020-11-01,Coverage_IN_CA_PGE_BAY[Percent],-4.0,2892.0,-78.0
135,2021-04-01,Coverage_IN_CA_PGE_BAY[Percent],-38.0,2774.0,-116.0
136,2021-05-01,Coverage_IN_CA_PGE_BAY[Percent],-28.0,2833.0,-144.0
137,2021-06-01,Coverage_IN_CA_PGE_BAY[Percent],5.0,3033.0,-139.0
138,2021-07-01,Coverage_IN_CA_PGE_BAY[Percent],-10.0,3025.0,-149.0
139,2021-08-01,Coverage_IN_CA_PGE_BAY[Percent],-28.0,3037.0,-177.0
140,2021-09-01,Coverage_IN_CA_PGE_BAY[Percent],-26.0,3008.0,-203.0
141,2021-10-01,Coverage_IN_CA_PGE_BAY[Percent],-16.0,2977.0,-219.0
142,2021-11-01,Coverage_IN_CA_PGE_BAY[Percent],-10.0,3076.0,-229.0
143,2023-08-01,Coverage_IN_CA_PGE_BAY[Percent],11.0,4284.0,-218.0
144,2023-09-01,Coverage_IN_CA_PGE_BAY[Percent],27.0,4304.0,-191.0
145,2023-10-01,Coverage_IN_CA_PGE_BAY[Percent],15.0,4313.0,-176.0
146,2023-11-01,Coverage_IN_CA_PGE_BAY[Percent],26.0,4539.0,-150.0
147,2025-08-01,Coverage_IN_CA_PGE_BAY[Percent],7.0,4777.0,-143.0
148,2025-09-01,Coverage_IN_CA_PGE_BAY[Percent],5.0,4811.0,-138.0
149,2025-10-01,Coverage_IN_CA_PGE_BAY[Percent],12.0,4859.0,-126.0
150,2025-11-01,Coverage_IN_CA_PGE_BAY[Percent],20.0,4906.0,-106.0
151,2029-08-01,Coverage_IN_CA_PGE_BAY[Percent],-3.0,6225.0,-109.0
152,2029-09-01,Coverage_IN_CA_PGE_BAY[Percent],-7.0,6200.0,-116.0
153,2030-08-01,Coverage_IN_CA_PGE_BAY[Percent],12.0,6678.0,-104.0
154,2030-09-01,Coverage_IN_CA_PGE_BAY[Percent],25.0,6770.0,-79.0
