,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
0,2016-10-01,Coverage_OUT_AZ_NM_N[Percent],39.0,-699.0,39.0
1,2017-03-01,Coverage_OUT_AZ_NM_N[Percent],39.0,-952.0,78.0
2,2023-03-01,Coverage_OUT_AZ_NM_N[Percent],39.0,3543.0,117.0
3,2037-02-01,Coverage_OUT_AZ_NM_N[Percent],39.0,3613.0,156.0
4,2049-02-01,Coverage_OUT_AZ_NM_N[Percent],39.0,8514.0,195.0
5,2057-02-01,Coverage_OUT_AZ_NM_N[Percent],-39.0,14247.0,156.0
6,2060-10-01,Coverage_OUT_AZ_NM_N[Percent],39.0,12514.0,195.0
7,2061-03-01,Coverage_OUT_AZ_NM_N[Percent],39.0,12745.0,234.0
8,2067-01-01,Coverage_OUT_AZ_NM_N[Percent],-39.0,17154.0,195.0
9,2067-03-01,Coverage_OUT_AZ_NM_N[Percent],38.0,17099.0,233.0
10,2013-11-01,Coverage_OUT_CA_IID[Percent],100.0,-939.0,100.0
11,2020-12-01,Coverage_OUT_CA_IID[Percent],-100.0,2751.0,0.0
12,2021-12-01,Coverage_OUT_CA_IID[Percent],-100.0,2869.0,-100.0
13,2025-12-01,Coverage_OUT_CA_IID[Percent],-100.0,4255.0,-200.0
14,2026-11-01,Coverage_OUT_CA_IID[Percent],-100.0,4743.0,-300.0
15,2026-12-01,Coverage_OUT_CA_IID[Percent],-100.0,4643.0,-400.0
16,2027-11-01,Coverage_OUT_CA_IID[Percent],-100.0,5087.0,-500.0
17,2027-12-01,Coverage_OUT_CA_IID[Percent],-100.0,4997.0,-600.0
18,2028-11-01,Coverage_OUT_CA_IID[Percent],-100.0,5574.0,-700.0
19,2028-12-01,Coverage_OUT_CA_IID[Percent],-100.0,5378.0,-800.0
20,2029-11-01,Coverage_OUT_CA_IID[Percent],-100.0,5403.0,-900.0
21,2029-12-01,Coverage_OUT_CA_IID[Percent],-100.0,5400.0,-1000.0
22,2030-11-01,Coverage_OUT_CA_IID[Percent],-100.0,6356.0,-1100.0
23,2030-12-01,Coverage_OUT_CA_IID[Percent],-100.0,6255.0,-1200.0
24,2031-11-01,Coverage_OUT_CA_IID[Percent],-100.0,6061.0,-1300.0
25,2031-12-01,Coverage_OUT_CA_IID[Percent],-100.0,5830.0,-1400.0
26,2032-11-01,Coverage_OUT_CA_IID[Percent],-100.0,5435.0,-1500.0
27,2032-12-01,Coverage_OUT_CA_IID[Percent],-100.0,5458.0,-1600.0
28,2033-11-01,Coverage_OUT_CA_IID[Percent],-100.0,5541.0,-1700.0
29,2033-12-01,Coverage_OUT_CA_IID[Percent],-100.0,5406.0,-1800.0
30,2034-11-01,Coverage_OUT_CA_IID[Percent],-100.0,4597.0,-1900.0
31,2034-12-01,Coverage_OUT_CA_IID[Percent],-100.0,4418.0,-2000.0
32,2035-11-01,Coverage_OUT_CA_IID[Percent],-100.0,4197.0,-2100.0
33,2035-12-01,Coverage_OUT_CA_IID[Percent],-100.0,4246.0,-2200.0
34,2036-12-01,Coverage_OUT_CA_IID[Percent],-100.0,3610.0,-2300.0
35,2037-12-01,Coverage_OUT_CA_IID[Percent],-100.0,4456.0,-2400.0
