,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2011-01-01,GW_storage_AZ_APS_E_GW[AF],815.0,65090.0,815.0
1,2011-02-01,GW_storage_AZ_APS_E_GW[AF],3216.0,484772.0,4031.0
2,2011-03-01,GW_storage_AZ_APS_E_GW[AF],4786.0,445228.0,8817.0
3,2011-04-01,GW_storage_AZ_APS_E_GW[AF],5417.0,-1042134.0,14234.0
4,2011-05-01,GW_storage_AZ_APS_E_GW[AF],5943.0,-5833208.0,20177.0
5,2011-06-01,GW_storage_AZ_APS_E_GW[AF],6468.0,-15331819.0,26645.0
6,2011-07-01,GW_storage_AZ_APS_E_GW[AF],6113.0,-28167287.0,32758.0
7,2011-08-01,GW_storage_AZ_APS_E_GW[AF],6716.0,-42226184.0,39474.0
8,2011-09-01,GW_storage_AZ_APS_E_GW[AF],16157.0,-56537843.0,55631.0
9,2011-10-01,GW_storage_AZ_APS_E_GW[AF],27535.0,-71462046.0,83166.0
10,2011-11-01,GW_storage_AZ_APS_E_GW[AF],34023.0,-87435551.0,117189.0
11,2011-12-01,GW_storage_AZ_APS_E_GW[AF],41429.0,-103950926.0,158618.0
12,2012-01-01,GW_storage_AZ_APS_E_GW[AF],50407.0,-120434276.0,209025.0
13,2012-02-01,GW_storage_AZ_APS_E_GW[AF],61000.0,-135230818.0,270025.0
14,2012-03-01,GW_storage_AZ_APS_E_GW[AF],76177.0,-148160698.0,346202.0
15,2012-04-01,GW_storage_AZ_APS_E_GW[AF],91992.0,-160817788.0,438194.0
16,2012-05-01,GW_storage_AZ_APS_E_GW[AF],103568.0,-172729992.0,541762.0
17,2012-06-01,GW_storage_AZ_APS_E_GW[AF],110521.0,-182670176.0,652283.0
18,2012-07-01,GW_storage_AZ_APS_E_GW[AF],111744.0,-191673253.0,764027.0
19,2012-08-01,GW_storage_AZ_APS_E_GW[AF],108851.0,-199334870.0,872878.0
20,2012-09-01,GW_storage_AZ_APS_E_GW[AF],104894.0,-205487925.0,977772.0
21,2012-10-01,GW_storage_AZ_APS_E_GW[AF],101280.0,-210882485.0,1079052.0
22,2012-11-01,GW_storage_AZ_APS_E_GW[AF],98290.0,-216333227.0,1177342.0
23,2012-12-01,GW_storage_AZ_APS_E_GW[AF],95589.0,-221784385.0,1272931.0
24,2013-01-01,GW_storage_AZ_APS_E_GW[AF],94425.0,-226690845.0,1367356.0
25,2013-02-01,GW_storage_AZ_APS_E_GW[AF],95811.0,-230295048.0,1463167.0
26,2013-03-01,GW_storage_AZ_APS_E_GW[AF],99547.0,-231442651.0,1562714.0
27,2013-04-01,GW_storage_AZ_APS_E_GW[AF],108590.0,-229118317.0,1671304.0
28,2013-05-01,GW_storage_AZ_APS_E_GW[AF],116950.0,-224663736.0,1788254.0
29,2013-06-01,GW_storage_AZ_APS_E_GW[AF],120221.0,-219621052.0,1908475.0
30,2013-07-01,GW_storage_AZ_APS_E_GW[AF],118168.0,-214316132.0,2026643.0
31,2013-08-01,GW_storage_AZ_APS_E_GW[AF],112406.0,-208861159.0,2139049.0
32,2013-09-01,GW_storage_AZ_APS_E_GW[AF],104905.0,-204642465.0,2243954.0
33,2013-10-01,GW_storage_AZ_APS_E_GW[AF],97512.0,-201653100.0,2341466.0
34,2013-11-01,GW_storage_AZ_APS_E_GW[AF],89566.0,-199936935.0,2431032.0
35,2013-12-01,GW_storage_AZ_APS_E_GW[AF],80396.0,-199113737.0,2511428.0
36,2014-01-01,GW_storage_AZ_APS_E_GW[AF],72758.0,-199297449.0,2584186.0
37,2014-02-01,GW_storage_AZ_APS_E_GW[AF],68642.0,-200730487.0,2652828.0
38,2014-03-01,GW_storage_AZ_APS_E_GW[AF],65477.0,-204033166.0,2718305.0
39,2014-04-01,GW_storage_AZ_APS_E_GW[AF],59753.0,-209419627.0,2778058.0
40,2014-05-01,GW_storage_AZ_APS_E_GW[AF],55197.0,-216414067.0,2833255.0
41,2014-06-01,GW_storage_AZ_APS_E_GW[AF],52361.0,-225097781.0,2885616.0
42,2014-07-01,GW_storage_AZ_APS_E_GW[AF],49616.0,-235038838.0,2935232.0
43,2014-08-01,GW_storage_AZ_APS_E_GW[AF],47307.0,-245707549.0,2982539.0
44,2014-09-01,GW_storage_AZ_APS_E_GW[AF],42817.0,-257537230.0,3025356.0
45,2014-10-01,GW_storage_AZ_APS_E_GW[AF],37843.0,-270144991.0,3063199.0
46,2014-11-01,GW_storage_AZ_APS_E_GW[AF],35516.0,-284081081.0,3098715.0
47,2014-12-01,GW_storage_AZ_APS_E_GW[AF],33109.0,-299577753.0,3131824.0
48,2015-01-01,GW_storage_AZ_APS_E_GW[AF],30833.0,-315224170.0,3162657.0
49,2015-02-01,GW_storage_AZ_APS_E_GW[AF],30566.0,-329949161.0,3193223.0
50,2015-03-01,GW_storage_AZ_APS_E_GW[AF],33180.0,-343706421.0,3226403.0
51,2015-04-01,GW_storage_AZ_APS_E_GW[AF],35362.0,-357237815.0,3261765.0
52,2015-05-01,GW_storage_AZ_APS_E_GW[AF],35224.0,-371196807.0,3296989.0
53,2015-06-01,GW_storage_AZ_APS_E_GW[AF],34667.0,-385960743.0,3331656.0
54,2015-07-01,GW_storage_AZ_APS_E_GW[AF],34472.0,-401172621.0,3366128.0
55,2015-08-01,GW_storage_AZ_APS_E_GW[AF],32595.0,-416375506.0,3398723.0
56,2015-09-01,GW_storage_AZ_APS_E_GW[AF],26565.0,-431931561.0,3425288.0
57,2015-10-01,GW_storage_AZ_APS_E_GW[AF],13754.0,-447798640.0,3439042.0
58,2015-11-01,GW_storage_AZ_APS_E_GW[AF],-2769.0,-464475806.0,3436273.0
59,2015-12-01,GW_storage_AZ_APS_E_GW[AF],-18254.0,-481904979.0,3418019.0
60,2016-01-01,GW_storage_AZ_APS_E_GW[AF],-31952.0,-499063657.0,3386067.0
61,2016-02-01,GW_storage_AZ_APS_E_GW[AF],-41402.0,-515681905.0,3344665.0
62,2016-03-01,GW_storage_AZ_APS_E_GW[AF],-44628.0,-531935688.0,3300037.0
63,2016-04-01,GW_storage_AZ_APS_E_GW[AF],-39113.0,-548050647.0,3260924.0
64,2016-05-01,GW_storage_AZ_APS_E_GW[AF],-31600.0,-563365044.0,3229324.0
65,2016-06-01,GW_storage_AZ_APS_E_GW[AF],-29771.0,-578401645.0,3199553.0
66,2016-07-01,GW_storage_AZ_APS_E_GW[AF],-31755.0,-593151762.0,3167798.0
67,2016-08-01,GW_storage_AZ_APS_E_GW[AF],-34895.0,-607630816.0,3132903.0
68,2016-09-01,GW_storage_AZ_APS_E_GW[AF],-38398.0,-621974936.0,3094505.0
69,2016-10-01,GW_storage_AZ_APS_E_GW[AF],-52216.0,-636386103.0,3042289.0
70,2016-11-01,GW_storage_AZ_APS_E_GW[AF],-77727.0,-651500031.0,2964562.0
71,2016-12-01,GW_storage_AZ_APS_E_GW[AF],-102949.0,-666959089.0,2861613.0
72,2017-01-01,GW_storage_AZ_APS_E_GW[AF],-127668.0,-683055118.0,2733945.0
73,2017-02-01,GW_storage_AZ_APS_E_GW[AF],-155478.0,-700934856.0,2578467.0
74,2017-03-01,GW_storage_AZ_APS_E_GW[AF],-192567.0,-720608368.0,2385900.0
75,2017-04-01,GW_storage_AZ_APS_E_GW[AF],-238087.0,-742009276.0,2147813.0
76,2017-05-01,GW_storage_AZ_APS_E_GW[AF],-278731.0,-764504312.0,1869082.0
77,2017-06-01,GW_storage_AZ_APS_E_GW[AF],-301950.0,-787393087.0,1567132.0
78,2017-07-01,GW_storage_AZ_APS_E_GW[AF],-312700.0,-810478489.0,1254432.0
79,2017-08-01,GW_storage_AZ_APS_E_GW[AF],-317203.0,-833227073.0,937229.0
80,2017-09-01,GW_storage_AZ_APS_E_GW[AF],-316958.0,-856206528.0,620271.0
81,2017-10-01,GW_storage_AZ_APS_E_GW[AF],-313446.0,-879601931.0,306825.0
82,2017-11-01,GW_storage_AZ_APS_E_GW[AF],-309737.0,-904485676.0,-2912.0
83,2017-12-01,GW_storage_AZ_APS_E_GW[AF],-306076.0,-931814666.0,-308988.0
84,2018-01-01,GW_storage_AZ_APS_E_GW[AF],-301569.0,-961082504.0,-610557.0
85,2018-02-01,GW_storage_AZ_APS_E_GW[AF],-295601.0,-991995210.0,-906158.0
86,2018-03-01,GW_storage_AZ_APS_E_GW[AF],-289561.0,-1025350902.0,-1195719.0
87,2018-04-01,GW_storage_AZ_APS_E_GW[AF],-284197.0,-1062121492.0,-1479916.0
88,2018-05-01,GW_storage_AZ_APS_E_GW[AF],-277658.0,-1100039265.0,-1757574.0
89,2018-06-01,GW_storage_AZ_APS_E_GW[AF],-271913.0,-1137247835.0,-2029487.0
90,2018-07-01,GW_storage_AZ_APS_E_GW[AF],-266372.0,-1174161777.0,-2295859.0
91,2018-08-01,GW_storage_AZ_APS_E_GW[AF],-258575.0,-1210936941.0,-2554434.0
92,2018-09-01,GW_storage_AZ_APS_E_GW[AF],-243543.0,-1246741536.0,-2797977.0
93,2018-10-01,GW_storage_AZ_APS_E_GW[AF],-227956.0,-1281775719.0,-3025933.0
94,2018-11-01,GW_storage_AZ_APS_E_GW[AF],-219010.0,-1316093507.0,-3244943.0
95,2018-12-01,GW_storage_AZ_APS_E_GW[AF],-209047.0,-1348676806.0,-3453990.0
96,2019-01-01,GW_storage_AZ_APS_E_GW[AF],-197556.0,-1378860306.0,-3651546.0
97,2019-02-01,GW_storage_AZ_APS_E_GW[AF],-184748.0,-1406893448.0,-3836294.0
98,2019-03-01,GW_storage_AZ_APS_E_GW[AF],-174427.0,-1433976987.0,-4010721.0
99,2019-04-01,GW_storage_AZ_APS_E_GW[AF],-174763.0,-1460962359.0,-4185484.0
100,2019-05-01,GW_storage_AZ_APS_E_GW[AF],-184321.0,-1488913464.0,-4369805.0
101,2019-06-01,GW_storage_AZ_APS_E_GW[AF],-192037.0,-1519848344.0,-4561842.0
102,2019-07-01,GW_storage_AZ_APS_E_GW[AF],-196484.0,-1554006394.0,-4758326.0
103,2019-08-01,GW_storage_AZ_APS_E_GW[AF],-197826.0,-1590375660.0,-4956152.0
104,2019-09-01,GW_storage_AZ_APS_E_GW[AF],-197906.0,-1627900198.0,-5154058.0
105,2019-10-01,GW_storage_AZ_APS_E_GW[AF],-197867.0,-1666231637.0,-5351925.0
106,2019-11-01,GW_storage_AZ_APS_E_GW[AF],-197899.0,-1705386417.0,-5549824.0
107,2019-12-01,GW_storage_AZ_APS_E_GW[AF],-199178.0,-1745301216.0,-5749002.0
