,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2011-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],13.0,5.0,13.0
1,2011-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,13.0,21.0
2,2011-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],-41.0,-28.0,-20.0
3,2011-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],-19.0,-47.0,-39.0
4,2011-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],-30.0,-21918.0,-69.0
5,2011-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],-3.0,-43634.0,-72.0
6,2011-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-25.0,-56701.0,-97.0
7,2011-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],21.0,-58509.0,-76.0
8,2011-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],90.0,-65823.0,14.0
9,2011-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],-7.0,-78960.0,7.0
10,2011-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,-81756.0,13.0
11,2011-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,-82025.0,22.0
12,2012-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,-82333.0,27.0
13,2012-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],-1.0,-82334.0,26.0
14,2012-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],25.0,-89777.0,51.0
15,2012-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],13.0,-96823.0,64.0
16,2012-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],17.0,-100002.0,81.0
17,2012-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-14.0,-99607.0,67.0
18,2012-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],-2.0,-98466.0,65.0
19,2012-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],-2.0,-88213.0,63.0
20,2012-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,-87585.0,68.0
21,2012-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],-3.0,-87498.0,65.0
22,2013-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],-2.0,-87360.0,63.0
23,2013-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],-11.0,-87371.0,52.0
24,2013-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],15.0,-87356.0,67.0
25,2013-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,-81399.0,73.0
26,2013-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],-7.0,-54235.0,66.0
27,2013-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,-20303.0,74.0
28,2013-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-23.0,1889.0,51.0
29,2013-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],-8.0,9032.0,43.0
30,2013-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],-68.0,19402.0,-25.0
31,2013-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],-41.0,30715.0,-66.0
32,2013-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],-47.0,35347.0,-113.0
33,2013-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],-16.0,36021.0,-129.0
34,2014-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],26.0,35836.0,-103.0
35,2014-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,35844.0,-95.0
36,2014-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],14.0,32206.0,-81.0
37,2014-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],21.0,34924.0,-60.0
38,2014-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],-6.0,38780.0,-66.0
39,2014-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],-6.0,40043.0,-72.0
40,2014-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],-14.0,44257.0,-86.0
41,2014-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],-61.0,47913.0,-147.0
42,2014-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],-6.0,48982.0,-153.0
43,2014-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],-6.0,47819.0,-159.0
44,2015-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],12.0,47873.0,-147.0
