,Date,Location,Reduction_in_supply_delivered,Running_total,Location_running_total
0,2011-01-01,Supply_Del_AZ_APS_E_Upr Salt[AF],3.0,372131.0,3.0
1,2011-02-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-4.0,-524797.0,-1.0
2,2011-03-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-9.0,-3874344.0,-10.0
3,2011-05-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-13369290.0,-12.0
4,2011-07-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-4.0,-13304753.0,-16.0
5,2011-08-01,Supply_Del_AZ_APS_E_Upr Salt[AF],5.0,-10476871.0,-11.0
6,2011-09-01,Supply_Del_AZ_APS_E_Upr Salt[AF],16.0,-8965097.0,5.0
7,2011-11-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-2.0,-9263903.0,3.0
8,2012-01-01,Supply_Del_AZ_APS_E_Upr Salt[AF],3.0,-7993280.0,6.0
9,2012-02-01,Supply_Del_AZ_APS_E_Upr Salt[AF],5.0,-6131287.0,11.0
10,2012-03-01,Supply_Del_AZ_APS_E_Upr Salt[AF],4.0,-6235902.0,15.0
11,2012-04-01,Supply_Del_AZ_APS_E_Upr Salt[AF],3.0,-6370006.0,18.0
12,2012-06-01,Supply_Del_AZ_APS_E_Upr Salt[AF],2.0,-2949107.0,20.0
13,2012-07-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-5.0,-4703863.0,15.0
14,2012-08-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-7.0,-5753451.0,8.0
15,2012-09-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-4.0,-1683975.0,4.0
16,2013-02-01,Supply_Del_AZ_APS_E_Upr Salt[AF],1.0,-1900216.0,5.0
17,2013-04-01,Supply_Del_AZ_APS_E_Upr Salt[AF],4.0,3757409.0,9.0
18,2013-06-01,Supply_Del_AZ_APS_E_Upr Salt[AF],1.0,-1427353.0,10.0
19,2013-07-01,Supply_Del_AZ_APS_E_Upr Salt[AF],-6.0,-2893886.0,4.0
