,Date,Location,Reduction_in_supply_delivered,Running_total,Location_running_total
0,2013-11-01,Supply_Del_IN_CA_IID[AF],7471.0,-273681.0,7471.0
1,2020-12-01,Supply_Del_IN_CA_IID[AF],-7755.0,896930.0,-284.0
2,2021-12-01,Supply_Del_IN_CA_IID[AF],-7833.0,912750.0,-8117.0
3,2025-12-01,Supply_Del_IN_CA_IID[AF],-8151.0,1569992.0,-16268.0
4,2026-11-01,Supply_Del_IN_CA_IID[AF],-8438.0,1702026.0,-24706.0
5,2026-12-01,Supply_Del_IN_CA_IID[AF],-8233.0,1693848.0,-32939.0
6,2027-11-01,Supply_Del_IN_CA_IID[AF],-8523.0,1800651.0,-41462.0
7,2027-12-01,Supply_Del_IN_CA_IID[AF],-8315.0,1807704.0,-49777.0
8,2028-11-01,Supply_Del_IN_CA_IID[AF],-8608.0,1841847.0,-58385.0
9,2028-12-01,Supply_Del_IN_CA_IID[AF],-8398.0,1833593.0,-66783.0
10,2029-11-01,Supply_Del_IN_CA_IID[AF],-8694.0,1631353.0,-75477.0
11,2029-12-01,Supply_Del_IN_CA_IID[AF],-8482.0,1622005.0,-83959.0
12,2030-11-01,Supply_Del_IN_CA_IID[AF],-8781.0,2141478.0,-92740.0
13,2030-12-01,Supply_Del_IN_CA_IID[AF],-8567.0,2139187.0,-101307.0
14,2031-11-01,Supply_Del_IN_CA_IID[AF],-8869.0,1898701.0,-110176.0
15,2031-12-01,Supply_Del_IN_CA_IID[AF],-8653.0,1874877.0,-118829.0
16,2032-11-01,Supply_Del_IN_CA_IID[AF],-8957.0,1712781.0,-127786.0
17,2032-12-01,Supply_Del_IN_CA_IID[AF],-8739.0,1731766.0,-136525.0
18,2033-11-01,Supply_Del_IN_CA_IID[AF],-9047.0,1717743.0,-145572.0
19,2033-12-01,Supply_Del_IN_CA_IID[AF],-8826.0,1698801.0,-154398.0
20,2034-11-01,Supply_Del_IN_CA_IID[AF],-9138.0,863846.0,-163536.0
21,2034-12-01,Supply_Del_IN_CA_IID[AF],-8915.0,822797.0,-172451.0
22,2035-11-01,Supply_Del_IN_CA_IID[AF],-9229.0,583912.0,-181680.0
23,2035-12-01,Supply_Del_IN_CA_IID[AF],-9004.0,593575.0,-190684.0
24,2036-12-01,Supply_Del_IN_CA_IID[AF],-9094.0,282669.0,-199778.0
25,2037-12-01,Supply_Del_IN_CA_IID[AF],-9185.0,633286.0,-208963.0
26,2039-11-01,Supply_Del_IN_CA_IID[AF],-9604.0,1570186.0,-218567.0
27,2039-12-01,Supply_Del_IN_CA_IID[AF],-9369.0,1568916.0,-227936.0
28,2040-11-01,Supply_Del_IN_CA_IID[AF],-9700.0,1733134.0,-237636.0
29,2040-12-01,Supply_Del_IN_CA_IID[AF],-9463.0,1746885.0,-247099.0
30,2041-11-01,Supply_Del_IN_CA_IID[AF],-9797.0,1932389.0,-256896.0
31,2041-12-01,Supply_Del_IN_CA_IID[AF],-9558.0,1954569.0,-266454.0
32,2042-11-01,Supply_Del_IN_CA_IID[AF],-9895.0,3242791.0,-276349.0
33,2042-12-01,Supply_Del_IN_CA_IID[AF],-9653.0,3269270.0,-286002.0
