,Date,Location,Reduction_in_supply_delivered,Running_total,Location_running_total
0,2011-01-01,Supply_Del_OUT_AZ_APS_E[AF],9.0,-785.0,9.0
1,2011-03-01,Supply_Del_OUT_AZ_APS_E[AF],-5.0,-73442.0,4.0
2,2011-04-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-118717.0,6.0
3,2011-05-01,Supply_Del_OUT_AZ_APS_E[AF],-3.0,-156187.0,3.0
4,2011-06-01,Supply_Del_OUT_AZ_APS_E[AF],2.0,-178800.0,5.0
5,2011-07-01,Supply_Del_OUT_AZ_APS_E[AF],-9.0,-202652.0,-4.0
6,2011-08-01,Supply_Del_OUT_AZ_APS_E[AF],12.0,-216634.0,8.0
7,2011-09-01,Supply_Del_OUT_AZ_APS_E[AF],26.0,-188061.0,34.0
8,2011-10-01,Supply_Del_OUT_AZ_APS_E[AF],9.0,-221840.0,43.0
9,2011-11-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,-245812.0,39.0
10,2012-01-01,Supply_Del_OUT_AZ_APS_E[AF],7.0,-211284.0,46.0
11,2012-02-01,Supply_Del_OUT_AZ_APS_E[AF],8.0,-202473.0,54.0
12,2012-03-01,Supply_Del_OUT_AZ_APS_E[AF],9.0,-216861.0,63.0
13,2012-04-01,Supply_Del_OUT_AZ_APS_E[AF],7.0,-222140.0,70.0
14,2012-05-01,Supply_Del_OUT_AZ_APS_E[AF],1.0,-213133.0,71.0
15,2012-06-01,Supply_Del_OUT_AZ_APS_E[AF],3.0,-197973.0,74.0
16,2012-07-01,Supply_Del_OUT_AZ_APS_E[AF],-11.0,-215689.0,63.0
17,2012-08-01,Supply_Del_OUT_AZ_APS_E[AF],-17.0,-161551.0,46.0
18,2012-09-01,Supply_Del_OUT_AZ_APS_E[AF],-10.0,-141491.0,36.0
19,2012-10-01,Supply_Del_OUT_AZ_APS_E[AF],-2.0,-161008.0,34.0
20,2013-02-01,Supply_Del_OUT_AZ_APS_E[AF],3.0,-157774.0,37.0
21,2013-03-01,Supply_Del_OUT_AZ_APS_E[AF],7.0,-119852.0,44.0
22,2013-04-01,Supply_Del_OUT_AZ_APS_E[AF],8.0,-50372.0,52.0
23,2013-06-01,Supply_Del_OUT_AZ_APS_E[AF],3.0,9398.0,55.0
24,2013-07-01,Supply_Del_OUT_AZ_APS_E[AF],-15.0,11258.0,40.0
25,2013-08-01,Supply_Del_OUT_AZ_APS_E[AF],-6.0,11066.0,34.0
26,2013-09-01,Supply_Del_OUT_AZ_APS_E[AF],-13.0,-46453.0,21.0
27,2013-10-01,Supply_Del_OUT_AZ_APS_E[AF],-4.0,-92635.0,17.0
28,2013-11-01,Supply_Del_OUT_AZ_APS_E[AF],-20.0,-136082.0,-3.0
29,2013-12-01,Supply_Del_OUT_AZ_APS_E[AF],-9.0,-132976.0,-12.0
30,2014-01-01,Supply_Del_OUT_AZ_APS_E[AF],13.0,-119629.0,1.0
31,2014-02-01,Supply_Del_OUT_AZ_APS_E[AF],13.0,-112606.0,14.0
32,2014-03-01,Supply_Del_OUT_AZ_APS_E[AF],-10.0,-122865.0,4.0
33,2014-04-01,Supply_Del_OUT_AZ_APS_E[AF],-7.0,-147222.0,-3.0
34,2014-05-01,Supply_Del_OUT_AZ_APS_E[AF],7.0,-136090.0,4.0
35,2014-07-01,Supply_Del_OUT_AZ_APS_E[AF],-8.0,-133151.0,-4.0
36,2014-08-01,Supply_Del_OUT_AZ_APS_E[AF],-8.0,-145280.0,-12.0
37,2014-09-01,Supply_Del_OUT_AZ_APS_E[AF],-18.0,-185224.0,-30.0
38,2014-10-01,Supply_Del_OUT_AZ_APS_E[AF],10.0,-192796.0,-20.0
39,2014-11-01,Supply_Del_OUT_AZ_APS_E[AF],6.0,-206686.0,-14.0
40,2014-12-01,Supply_Del_OUT_AZ_APS_E[AF],-7.0,-239316.0,-21.0
41,2015-01-01,Supply_Del_OUT_AZ_APS_E[AF],4.0,-239208.0,-17.0
42,2015-02-01,Supply_Del_OUT_AZ_APS_E[AF],13.0,-230197.0,-4.0
