,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2011-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,4492.0,-2.0
1,2012-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,5622.0,-4.0
2,2012-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,18601.0,-6.0
3,2012-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-9.0,30852.0,-15.0
4,2013-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5.0,33501.0,-20.0
5,2013-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,34221.0,-24.0
6,2013-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,34574.0,-27.0
7,2013-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,34870.0,-29.0
8,2013-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,35381.0,-31.0
9,2013-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-8.0,39752.0,-39.0
10,2013-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,45459.0,-43.0
11,2013-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,51949.0,-46.0
12,2013-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,59501.0,-48.0
13,2013-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,67009.0,-50.0
14,2013-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-10.0,74340.0,-60.0
15,2014-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-8.0,79821.0,-68.0
16,2014-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6.0,82841.0,-74.0
17,2014-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5.0,84303.0,-79.0
18,2014-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,84876.0,-82.0
19,2014-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-10.0,86146.0,-92.0
20,2014-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5.0,90781.0,-97.0
21,2014-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,95793.0,-100.0
22,2014-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,97405.0,-102.0
23,2014-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,98902.0,-105.0
24,2014-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,102109.0,-108.0
25,2015-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,103539.0,-111.0
26,2015-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,104100.0,-114.0
27,2016-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-10254.0,177484.0,-10368.0
28,2016-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-7082.0,180185.0,-17450.0
29,2016-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5965.0,181320.0,-23415.0
30,2017-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5028.0,185234.0,-28443.0
31,2017-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4142.0,183975.0,-32585.0
32,2017-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3151.0,185822.0,-35736.0
33,2017-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2178.0,186055.0,-37914.0
34,2017-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1378.0,188822.0,-39292.0
35,2017-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-807.0,204000.0,-40099.0
36,2017-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-465.0,199791.0,-40564.0
37,2017-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-274.0,196984.0,-40838.0
38,2017-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-177.0,202433.0,-41015.0
39,2017-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-132.0,207212.0,-41147.0
40,2017-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-107.0,205741.0,-41254.0
41,2017-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-9702.0,195760.0,-50956.0
42,2018-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-7458.0,191189.0,-58414.0
43,2018-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6071.0,182928.0,-64485.0
44,2018-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4651.0,180680.0,-69136.0
45,2018-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3288.0,176478.0,-72424.0
46,2018-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2089.0,175227.0,-74513.0
47,2018-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1267.0,179184.0,-75780.0
48,2018-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-713.0,189247.0,-76493.0
49,2018-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-425.0,193118.0,-76918.0
50,2018-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-870.0,189589.0,-77788.0
51,2018-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-572.0,192659.0,-78360.0
52,2018-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-471.0,188564.0,-78831.0
53,2018-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-399.0,188835.0,-79230.0
54,2019-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-334.0,189212.0,-79564.0
55,2019-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-272.0,192741.0,-79836.0
56,2019-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-207.0,195889.0,-80043.0
57,2019-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-147.0,198267.0,-80190.0
58,2019-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-93.0,199730.0,-80283.0
59,2019-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-55.0,210773.0,-80338.0
60,2019-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-33.0,223545.0,-80371.0
61,2019-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-19.0,240481.0,-80390.0
62,2019-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-12.0,258613.0,-80402.0
63,2019-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-9462.0,272334.0,-89864.0
64,2019-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6753.0,288093.0,-96617.0
65,2019-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5869.0,300292.0,-102486.0
66,2020-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5264.0,311757.0,-107750.0
67,2020-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4626.0,316656.0,-112376.0
68,2020-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3561.0,318502.0,-115937.0
69,2020-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2448.0,318938.0,-118385.0
70,2020-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1559.0,319228.0,-119944.0
71,2020-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-925.0,330338.0,-120869.0
72,2020-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-525.0,333882.0,-121394.0
73,2020-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-300.0,342604.0,-121694.0
74,2020-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-194.0,340159.0,-121888.0
75,2020-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-141.0,466646.0,-122029.0
76,2020-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-104.0,432475.0,-122133.0
77,2020-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-89.0,399897.0,-122222.0
78,2021-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-74.0,400865.0,-122296.0
79,2021-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-60.0,400634.0,-122356.0
80,2021-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-44.0,399509.0,-122400.0
81,2021-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-30.0,400375.0,-122430.0
82,2021-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-19.0,406097.0,-122449.0
83,2021-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-11.0,367504.0,-122460.0
84,2021-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6.0,335487.0,-122466.0
85,2021-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,318516.0,-122470.0
86,2021-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,299846.0,-122472.0
87,2021-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3584.0,281562.0,-126056.0
88,2021-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2434.0,256003.0,-128490.0
89,2021-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2057.0,255668.0,-130547.0
90,2022-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1735.0,247440.0,-132282.0
91,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1427.0,247800.0,-133709.0
92,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1087.0,285199.0,-134796.0
93,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-768.0,310974.0,-135564.0
94,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-489.0,327083.0,-136053.0
95,2022-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-294.0,338229.0,-136347.0
96,2022-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-166.0,366587.0,-136513.0
97,2022-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-96.0,387509.0,-136609.0
98,2022-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-62.0,422195.0,-136671.0
99,2022-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-45.0,466072.0,-136716.0
100,2022-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-37.0,506161.0,-136753.0
101,2022-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-31.0,536203.0,-136784.0
102,2023-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-26.0,560216.0,-136810.0
103,2023-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-21.0,577785.0,-136831.0
104,2023-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-16.0,585267.0,-136847.0
105,2023-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-12.0,539777.0,-136859.0
106,2023-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-7.0,532168.0,-136866.0
107,2023-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,545715.0,-136870.0
108,2023-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,562949.0,-136872.0
109,2023-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,574064.0,-136874.0
110,2023-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1750.0,568609.0,-138624.0
111,2023-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1316.0,576411.0,-139940.0
112,2024-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1099.0,577789.0,-141039.0
113,2024-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-883.0,581936.0,-141922.0
114,2024-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-660.0,584150.0,-142582.0
115,2024-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-462.0,583851.0,-143044.0
116,2024-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-301.0,582893.0,-143345.0
117,2024-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-181.0,580948.0,-143526.0
118,2024-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-103.0,600830.0,-143629.0
119,2024-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-61.0,620864.0,-143690.0
120,2024-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-39.0,645420.0,-143729.0
121,2024-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-29.0,670823.0,-143758.0
122,2024-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-25.0,694026.0,-143783.0
123,2024-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8507.0,733201.0,-135276.0
124,2025-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],6478.0,750840.0,-128798.0
125,2025-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5242.0,772453.0,-123556.0
126,2025-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3910.0,808595.0,-119646.0
127,2025-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2743.0,827783.0,-116903.0
128,2025-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],1686.0,730483.0,-115217.0
129,2025-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],1002.0,595430.0,-114215.0
130,2025-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],563.0,644349.0,-113652.0
131,2025-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],321.0,710657.0,-113331.0
132,2025-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],207.0,739248.0,-113124.0
