,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2021-01-01,GW_storage_AZ_APS_E_GW[AF],12.0,4296850.0,12.0
1,2021-02-01,GW_storage_AZ_APS_E_GW[AF],24.0,4421806.0,36.0
2,2021-03-01,GW_storage_AZ_APS_E_GW[AF],35.0,4547801.0,71.0
3,2021-04-01,GW_storage_AZ_APS_E_GW[AF],48.0,4677852.0,119.0
4,2021-05-01,GW_storage_AZ_APS_E_GW[AF],59.0,4811746.0,178.0
5,2021-06-01,GW_storage_AZ_APS_E_GW[AF],71.0,4948462.0,249.0
6,2021-07-01,GW_storage_AZ_APS_E_GW[AF],83.0,5082136.0,332.0
7,2021-08-01,GW_storage_AZ_APS_E_GW[AF],94.0,5213733.0,426.0
8,2021-09-01,GW_storage_AZ_APS_E_GW[AF],104.0,5341720.0,530.0
9,2021-10-01,GW_storage_AZ_APS_E_GW[AF],115.0,5464980.0,645.0
10,2021-11-01,GW_storage_AZ_APS_E_GW[AF],124.0,5587654.0,769.0
11,2021-12-01,GW_storage_AZ_APS_E_GW[AF],134.0,5699057.0,903.0
12,2022-01-01,GW_storage_AZ_APS_E_GW[AF],155.0,5818119.0,1058.0
13,2022-02-01,GW_storage_AZ_APS_E_GW[AF],176.0,5955967.0,1234.0
14,2022-03-01,GW_storage_AZ_APS_E_GW[AF],197.0,6094144.0,1431.0
15,2022-04-01,GW_storage_AZ_APS_E_GW[AF],218.0,6239091.0,1649.0
16,2022-05-01,GW_storage_AZ_APS_E_GW[AF],239.0,6389926.0,1888.0
17,2022-06-01,GW_storage_AZ_APS_E_GW[AF],261.0,6545174.0,2149.0
18,2022-07-01,GW_storage_AZ_APS_E_GW[AF],282.0,6705118.0,2431.0
19,2022-08-01,GW_storage_AZ_APS_E_GW[AF],302.0,6874203.0,2733.0
20,2022-09-01,GW_storage_AZ_APS_E_GW[AF],322.0,7041688.0,3055.0
21,2022-10-01,GW_storage_AZ_APS_E_GW[AF],340.0,7209134.0,3395.0
22,2022-11-01,GW_storage_AZ_APS_E_GW[AF],357.0,7377725.0,3752.0
23,2022-12-01,GW_storage_AZ_APS_E_GW[AF],374.0,7561080.0,4126.0
24,2023-01-01,GW_storage_AZ_APS_E_GW[AF],402.0,7757652.0,4528.0
25,2023-02-01,GW_storage_AZ_APS_E_GW[AF],432.0,7967230.0,4960.0
26,2023-03-01,GW_storage_AZ_APS_E_GW[AF],460.0,8183538.0,5420.0
27,2023-04-01,GW_storage_AZ_APS_E_GW[AF],489.0,8404052.0,5909.0
28,2023-05-01,GW_storage_AZ_APS_E_GW[AF],518.0,8627929.0,6427.0
29,2023-06-01,GW_storage_AZ_APS_E_GW[AF],548.0,8857555.0,6975.0
30,2023-07-01,GW_storage_AZ_APS_E_GW[AF],576.0,9099504.0,7551.0
31,2023-08-01,GW_storage_AZ_APS_E_GW[AF],604.0,9354154.0,8155.0
32,2023-09-01,GW_storage_AZ_APS_E_GW[AF],631.0,9620630.0,8786.0
33,2023-10-01,GW_storage_AZ_APS_E_GW[AF],656.0,9900891.0,9442.0
34,2023-11-01,GW_storage_AZ_APS_E_GW[AF],680.0,10187733.0,10122.0
35,2023-12-01,GW_storage_AZ_APS_E_GW[AF],703.0,10470950.0,10825.0
36,2024-01-01,GW_storage_AZ_APS_E_GW[AF],738.0,10767816.0,11563.0
37,2024-02-01,GW_storage_AZ_APS_E_GW[AF],773.0,11073739.0,12336.0
38,2024-03-01,GW_storage_AZ_APS_E_GW[AF],808.0,11384182.0,13144.0
39,2024-04-01,GW_storage_AZ_APS_E_GW[AF],843.0,11706341.0,13987.0
40,2024-05-01,GW_storage_AZ_APS_E_GW[AF],878.0,12032793.0,14865.0
41,2024-06-01,GW_storage_AZ_APS_E_GW[AF],914.0,12364158.0,15779.0
42,2024-07-01,GW_storage_AZ_APS_E_GW[AF],950.0,12702630.0,16729.0
43,2024-08-01,GW_storage_AZ_APS_E_GW[AF],984.0,13053226.0,17713.0
44,2024-09-01,GW_storage_AZ_APS_E_GW[AF],1017.0,13416419.0,18730.0
45,2024-10-01,GW_storage_AZ_APS_E_GW[AF],1048.0,13797394.0,19778.0
46,2024-11-01,GW_storage_AZ_APS_E_GW[AF],1078.0,14198908.0,20856.0
47,2024-12-01,GW_storage_AZ_APS_E_GW[AF],1104.0,14613041.0,21960.0
48,2025-01-01,GW_storage_AZ_APS_E_GW[AF],1144.0,15041944.0,23104.0
49,2025-02-01,GW_storage_AZ_APS_E_GW[AF],1186.0,15478426.0,24290.0
50,2025-03-01,GW_storage_AZ_APS_E_GW[AF],1225.0,15926480.0,25515.0
51,2025-04-01,GW_storage_AZ_APS_E_GW[AF],1266.0,16389578.0,26781.0
52,2025-05-01,GW_storage_AZ_APS_E_GW[AF],1307.0,16871620.0,28088.0
53,2025-06-01,GW_storage_AZ_APS_E_GW[AF],1349.0,17357803.0,29437.0
54,2025-07-01,GW_storage_AZ_APS_E_GW[AF],1390.0,17853147.0,30827.0
55,2025-08-01,GW_storage_AZ_APS_E_GW[AF],1429.0,18368597.0,32256.0
56,2025-09-01,GW_storage_AZ_APS_E_GW[AF],1467.0,18903101.0,33723.0
57,2025-10-01,GW_storage_AZ_APS_E_GW[AF],1503.0,19449139.0,35226.0
58,2025-11-01,GW_storage_AZ_APS_E_GW[AF],1537.0,20000512.0,36763.0
59,2025-12-01,GW_storage_AZ_APS_E_GW[AF],1568.0,20561044.0,38331.0
60,2026-01-01,GW_storage_AZ_APS_E_GW[AF],1610.0,21125501.0,39941.0
61,2026-02-01,GW_storage_AZ_APS_E_GW[AF],1658.0,21679606.0,41599.0
62,2026-03-01,GW_storage_AZ_APS_E_GW[AF],1701.0,22227618.0,43300.0
63,2026-04-01,GW_storage_AZ_APS_E_GW[AF],1746.0,22780841.0,45046.0
64,2026-05-01,GW_storage_AZ_APS_E_GW[AF],1791.0,23339444.0,46837.0
65,2026-06-01,GW_storage_AZ_APS_E_GW[AF],1839.0,23908045.0,48676.0
66,2026-07-01,GW_storage_AZ_APS_E_GW[AF],1884.0,24496272.0,50560.0
67,2026-08-01,GW_storage_AZ_APS_E_GW[AF],1928.0,25121987.0,52488.0
68,2026-09-01,GW_storage_AZ_APS_E_GW[AF],1971.0,25772920.0,54459.0
69,2026-10-01,GW_storage_AZ_APS_E_GW[AF],2010.0,26431596.0,56469.0
70,2026-11-01,GW_storage_AZ_APS_E_GW[AF],2047.0,27117639.0,58516.0
71,2026-12-01,GW_storage_AZ_APS_E_GW[AF],2082.0,27831260.0,60598.0
72,2027-01-01,GW_storage_AZ_APS_E_GW[AF],2128.0,28564673.0,62726.0
73,2027-02-01,GW_storage_AZ_APS_E_GW[AF],2178.0,29312522.0,64904.0
74,2027-03-01,GW_storage_AZ_APS_E_GW[AF],2225.0,30064633.0,67129.0
75,2027-04-01,GW_storage_AZ_APS_E_GW[AF],2275.0,30814234.0,69404.0
76,2027-05-01,GW_storage_AZ_APS_E_GW[AF],2324.0,31563878.0,71728.0
77,2027-06-01,GW_storage_AZ_APS_E_GW[AF],2376.0,32320686.0,74104.0
78,2027-07-01,GW_storage_AZ_APS_E_GW[AF],2425.0,33095062.0,76529.0
79,2027-08-01,GW_storage_AZ_APS_E_GW[AF],2474.0,33887267.0,79003.0
80,2027-09-01,GW_storage_AZ_APS_E_GW[AF],2520.0,34702412.0,81523.0
81,2027-10-01,GW_storage_AZ_APS_E_GW[AF],2562.0,35525878.0,84085.0
82,2027-11-01,GW_storage_AZ_APS_E_GW[AF],2603.0,36368044.0,86688.0
83,2027-12-01,GW_storage_AZ_APS_E_GW[AF],2639.0,37218161.0,89327.0
84,2028-01-01,GW_storage_AZ_APS_E_GW[AF],2688.0,38093262.0,92015.0
85,2028-02-01,GW_storage_AZ_APS_E_GW[AF],2740.0,38979024.0,94755.0
86,2028-03-01,GW_storage_AZ_APS_E_GW[AF],2791.0,39846465.0,97546.0
87,2028-04-01,GW_storage_AZ_APS_E_GW[AF],2843.0,40700642.0,100389.0
88,2028-05-01,GW_storage_AZ_APS_E_GW[AF],2896.0,41561883.0,103285.0
89,2028-06-01,GW_storage_AZ_APS_E_GW[AF],2951.0,42438517.0,106236.0
90,2028-07-01,GW_storage_AZ_APS_E_GW[AF],3004.0,43334966.0,109240.0
91,2028-08-01,GW_storage_AZ_APS_E_GW[AF],3056.0,44261027.0,112296.0
92,2028-09-01,GW_storage_AZ_APS_E_GW[AF],3106.0,45218074.0,115402.0
93,2028-10-01,GW_storage_AZ_APS_E_GW[AF],3150.0,46195364.0,118552.0
94,2028-11-01,GW_storage_AZ_APS_E_GW[AF],3194.0,47187351.0,121746.0
95,2028-12-01,GW_storage_AZ_APS_E_GW[AF],3232.0,48202513.0,124978.0
96,2029-01-01,GW_storage_AZ_APS_E_GW[AF],3283.0,49234096.0,128261.0
97,2029-02-01,GW_storage_AZ_APS_E_GW[AF],3341.0,50317261.0,131602.0
98,2029-03-01,GW_storage_AZ_APS_E_GW[AF],3393.0,51397189.0,134995.0
99,2029-04-01,GW_storage_AZ_APS_E_GW[AF],3449.0,52470729.0,138444.0
100,2029-05-01,GW_storage_AZ_APS_E_GW[AF],3504.0,53548656.0,141948.0
101,2029-06-01,GW_storage_AZ_APS_E_GW[AF],3564.0,54636347.0,145512.0
102,2029-07-01,GW_storage_AZ_APS_E_GW[AF],3620.0,55738565.0,149132.0
103,2029-08-01,GW_storage_AZ_APS_E_GW[AF],3674.0,56872682.0,152806.0
104,2029-09-01,GW_storage_AZ_APS_E_GW[AF],3728.0,58027957.0,156534.0
105,2029-10-01,GW_storage_AZ_APS_E_GW[AF],3775.0,59201732.0,160309.0
106,2029-11-01,GW_storage_AZ_APS_E_GW[AF],3820.0,60395592.0,164129.0
107,2029-12-01,GW_storage_AZ_APS_E_GW[AF],3860.0,61601621.0,167989.0
108,2030-01-01,GW_storage_AZ_APS_E_GW[AF],3913.0,62828216.0,171902.0
109,2030-02-01,GW_storage_AZ_APS_E_GW[AF],3974.0,64067233.0,175876.0
110,2030-03-01,GW_storage_AZ_APS_E_GW[AF],4029.0,65314332.0,179905.0
111,2030-04-01,GW_storage_AZ_APS_E_GW[AF],4087.0,66567843.0,183992.0
112,2030-05-01,GW_storage_AZ_APS_E_GW[AF],4143.0,67827449.0,188135.0
113,2030-06-01,GW_storage_AZ_APS_E_GW[AF],4206.0,69097361.0,192341.0
114,2030-07-01,GW_storage_AZ_APS_E_GW[AF],4264.0,70386271.0,196605.0
115,2030-08-01,GW_storage_AZ_APS_E_GW[AF],4322.0,71694403.0,200927.0
116,2030-09-01,GW_storage_AZ_APS_E_GW[AF],4378.0,73015947.0,205305.0
117,2030-10-01,GW_storage_AZ_APS_E_GW[AF],4426.0,74346155.0,209731.0
118,2030-11-01,GW_storage_AZ_APS_E_GW[AF],4474.0,75682703.0,214205.0
119,2030-12-01,GW_storage_AZ_APS_E_GW[AF],4516.0,77013271.0,218721.0
120,2031-01-01,GW_storage_AZ_APS_E_GW[AF],4570.0,78357588.0,223291.0
121,2031-02-01,GW_storage_AZ_APS_E_GW[AF],4633.0,79715707.0,227924.0
122,2031-03-01,GW_storage_AZ_APS_E_GW[AF],4690.0,81124909.0,232614.0
123,2031-04-01,GW_storage_AZ_APS_E_GW[AF],4750.0,82540390.0,237364.0
124,2031-05-01,GW_storage_AZ_APS_E_GW[AF],4811.0,83972435.0,242175.0
125,2031-06-01,GW_storage_AZ_APS_E_GW[AF],4877.0,85427380.0,247052.0
126,2031-07-01,GW_storage_AZ_APS_E_GW[AF],4938.0,86902867.0,251990.0
127,2031-08-01,GW_storage_AZ_APS_E_GW[AF],4998.0,88409394.0,256988.0
128,2031-09-01,GW_storage_AZ_APS_E_GW[AF],5057.0,89956805.0,262045.0
129,2031-10-01,GW_storage_AZ_APS_E_GW[AF],5107.0,91538244.0,267152.0
130,2031-11-01,GW_storage_AZ_APS_E_GW[AF],5156.0,93127621.0,272308.0
