,Date,Location,Reduction_in_hydropower_demand,Running_total,Location_running_total
0,2066-06-01,Hydro_Alcova[GwH],2.0,1335.0,2.0
1,2041-03-01,Hydro_Balch 1[GwH],-2.0,2434.0,-2.0
2,2057-02-01,Hydro_Balch 1[GwH],-1.0,1990.0,-3.0
3,2063-02-01,Hydro_Balch 1[GwH],5.0,1496.0,2.0
4,2063-09-01,Hydro_Balch 1[GwH],-1.0,1534.0,1.0
5,2063-10-01,Hydro_Balch 1[GwH],-1.0,1525.0,0.0
6,2041-03-01,Hydro_Balch 2[GwH],-5.0,2434.0,-5.0
7,2041-07-01,Hydro_Balch 2[GwH],-1.0,2226.0,-6.0
8,2041-08-01,Hydro_Balch 2[GwH],-1.0,2231.0,-7.0
9,2053-01-01,Hydro_Balch 2[GwH],2.0,2483.0,-5.0
10,2053-07-01,Hydro_Balch 2[GwH],1.0,2517.0,-4.0
11,2053-08-01,Hydro_Balch 2[GwH],1.0,2554.0,-3.0
12,2054-07-01,Hydro_Balch 2[GwH],1.0,2472.0,-2.0
13,2057-02-01,Hydro_Balch 2[GwH],-4.0,1990.0,-6.0
14,2057-08-01,Hydro_Balch 2[GwH],1.0,1953.0,-5.0
15,2063-02-01,Hydro_Balch 2[GwH],14.0,1496.0,9.0
16,2063-06-01,Hydro_Balch 2[GwH],-2.0,1483.0,7.0
17,2063-07-01,Hydro_Balch 2[GwH],-3.0,1516.0,4.0
18,2063-08-01,Hydro_Balch 2[GwH],-2.0,1534.0,2.0
19,2063-09-01,Hydro_Balch 2[GwH],-3.0,1534.0,-1.0
20,2063-10-01,Hydro_Balch 2[GwH],-3.0,1525.0,-4.0
21,2063-11-01,Hydro_Balch 2[GwH],-2.0,1518.0,-6.0
22,2063-12-01,Hydro_Balch 2[GwH],-2.0,1323.0,-8.0
23,2064-01-01,Hydro_Balch 2[GwH],-2.0,1338.0,-10.0
24,2065-07-01,Hydro_Balch 2[GwH],3.0,1179.0,-7.0
25,2065-08-01,Hydro_Balch 2[GwH],3.0,1182.0,-4.0
26,2065-09-01,Hydro_Balch 2[GwH],2.0,1176.0,-2.0
27,2065-10-01,Hydro_Balch 2[GwH],2.0,1170.0,0.0
28,2065-11-01,Hydro_Balch 2[GwH],2.0,1189.0,2.0
29,2069-07-01,Hydro_Balch 2[GwH],2.0,1506.0,4.0
30,2026-04-01,Hydro_Big Creek 1[GwH],-3.0,452.0,-3.0
31,2049-01-01,Hydro_Big Creek 1[GwH],-3.0,2719.0,-6.0
32,2053-01-01,Hydro_Big Creek 1[GwH],-2.0,2483.0,-8.0
33,2063-03-01,Hydro_Big Creek 1[GwH],-4.0,1431.0,-12.0
34,2063-04-01,Hydro_Big Creek 1[GwH],-3.0,1460.0,-15.0
35,2065-03-01,Hydro_Big Creek 1[GwH],17.0,1284.0,2.0
36,2065-04-01,Hydro_Big Creek 1[GwH],-12.0,1232.0,-10.0
37,2065-12-01,Hydro_Big Creek 1[GwH],1.0,1221.0,-9.0
38,2026-08-01,Hydro_Big Creek 2[GwH],-1.0,380.0,-1.0
39,2034-08-01,Hydro_Big Creek 2[GwH],-1.0,1285.0,-2.0
40,2063-03-01,Hydro_Big Creek 2[GwH],-3.0,1431.0,-5.0
41,2063-07-01,Hydro_Big Creek 2[GwH],-1.0,1516.0,-6.0
42,2063-09-01,Hydro_Big Creek 2[GwH],-1.0,1534.0,-7.0
43,2063-10-01,Hydro_Big Creek 2[GwH],-1.0,1525.0,-8.0
44,2064-07-01,Hydro_Big Creek 2[GwH],2.0,1273.0,-6.0
45,2064-08-01,Hydro_Big Creek 2[GwH],2.0,1287.0,-4.0
46,2064-09-01,Hydro_Big Creek 2[GwH],2.0,1293.0,-2.0
47,2064-10-01,Hydro_Big Creek 2[GwH],1.0,1268.0,-1.0
48,2065-03-01,Hydro_Big Creek 2[GwH],9.0,1284.0,8.0
49,2065-04-01,Hydro_Big Creek 2[GwH],-11.0,1232.0,-3.0
50,2065-05-01,Hydro_Big Creek 2[GwH],-10.0,1163.0,-13.0
51,2065-06-01,Hydro_Big Creek 2[GwH],-2.0,1170.0,-15.0
52,2065-12-01,Hydro_Big Creek 2[GwH],4.0,1221.0,-11.0
53,2066-04-01,Hydro_Big Creek 2[GwH],-2.0,1305.0,-13.0
54,2066-06-01,Hydro_Big Creek 2[GwH],-2.0,1335.0,-15.0
55,2066-07-01,Hydro_Big Creek 2[GwH],-3.0,1321.0,-18.0
56,2066-08-01,Hydro_Big Creek 2[GwH],-3.0,1325.0,-21.0
57,2066-09-01,Hydro_Big Creek 2[GwH],-3.0,1304.0,-24.0
58,2066-10-01,Hydro_Big Creek 2[GwH],-3.0,1278.0,-27.0
59,2066-11-01,Hydro_Big Creek 2[GwH],-3.0,1246.0,-30.0
60,2066-12-01,Hydro_Big Creek 2[GwH],-1.0,1268.0,-31.0
61,2068-05-01,Hydro_Big Creek 2[GwH],-3.0,1486.0,-34.0
62,2068-06-01,Hydro_Big Creek 2[GwH],-1.0,1487.0,-35.0
63,2068-07-01,Hydro_Big Creek 2[GwH],-1.0,1482.0,-36.0
64,2068-08-01,Hydro_Big Creek 2[GwH],-1.0,1480.0,-37.0
65,2069-07-01,Hydro_Big Creek 2[GwH],-2.0,1506.0,-39.0
66,2069-08-01,Hydro_Big Creek 2[GwH],-3.0,1504.0,-42.0
67,2026-04-01,Hydro_Big Creek 2a[GwH],-3.0,452.0,-3.0
68,2026-05-01,Hydro_Big Creek 2a[GwH],-3.0,405.0,-6.0
69,2026-07-01,Hydro_Big Creek 2a[GwH],-1.0,351.0,-7.0
70,2026-08-01,Hydro_Big Creek 2a[GwH],-1.0,380.0,-8.0
71,2026-09-01,Hydro_Big Creek 2a[GwH],-1.0,391.0,-9.0
72,2026-10-01,Hydro_Big Creek 2a[GwH],-1.0,413.0,-10.0
73,2034-08-01,Hydro_Big Creek 2a[GwH],-2.0,1285.0,-12.0
74,2060-06-01,Hydro_Big Creek 2a[GwH],1.0,1842.0,-11.0
75,2060-12-01,Hydro_Big Creek 2a[GwH],-1.0,1657.0,-12.0
76,2063-03-01,Hydro_Big Creek 2a[GwH],-4.0,1431.0,-16.0
77,2063-04-01,Hydro_Big Creek 2a[GwH],-1.0,1460.0,-17.0
78,2063-05-01,Hydro_Big Creek 2a[GwH],-4.0,1479.0,-21.0
79,2063-06-01,Hydro_Big Creek 2a[GwH],-1.0,1483.0,-22.0
80,2063-07-01,Hydro_Big Creek 2a[GwH],-2.0,1516.0,-24.0
81,2063-09-01,Hydro_Big Creek 2a[GwH],-2.0,1534.0,-26.0
82,2063-10-01,Hydro_Big Creek 2a[GwH],-1.0,1525.0,-27.0
83,2063-11-01,Hydro_Big Creek 2a[GwH],-1.0,1518.0,-28.0
84,2064-07-01,Hydro_Big Creek 2a[GwH],2.0,1273.0,-26.0
85,2064-08-01,Hydro_Big Creek 2a[GwH],2.0,1287.0,-24.0
86,2064-09-01,Hydro_Big Creek 2a[GwH],2.0,1293.0,-22.0
