,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2047-12-01,Unmet_Dem_IN_CA_LADWP[AF],2978.0,4788213.0,2978.0
1,2049-05-01,Unmet_Dem_IN_CA_LADWP[AF],1047.0,5093588.0,4025.0
2,2050-05-01,Unmet_Dem_IN_CA_LADWP[AF],3899.0,5609547.0,7924.0
3,2054-05-01,Unmet_Dem_IN_CA_LADWP[AF],3829.0,7436025.0,11753.0
4,2055-05-01,Unmet_Dem_IN_CA_LADWP[AF],8014.0,8094227.0,19767.0
5,2055-06-01,Unmet_Dem_IN_CA_LADWP[AF],9497.0,8176397.0,29264.0
6,2056-05-01,Unmet_Dem_IN_CA_LADWP[AF],8292.0,8693328.0,37556.0
7,2056-06-01,Unmet_Dem_IN_CA_LADWP[AF],2624.0,8758837.0,40180.0
8,2059-05-01,Unmet_Dem_IN_CA_LADWP[AF],2354.0,10235119.0,42534.0
9,2060-12-01,Unmet_Dem_IN_CA_LADWP[AF],5916.0,11338207.0,48450.0
10,2061-05-01,Unmet_Dem_IN_CA_LADWP[AF],8642.0,11496100.0,57092.0
11,2061-06-01,Unmet_Dem_IN_CA_LADWP[AF],8209.0,11583231.0,65301.0
12,2062-05-01,Unmet_Dem_IN_CA_LADWP[AF],8712.0,12235472.0,74013.0
13,2062-06-01,Unmet_Dem_IN_CA_LADWP[AF],9802.0,12323911.0,83815.0
14,2063-12-01,Unmet_Dem_IN_CA_LADWP[AF],3286.0,13282474.0,87101.0
15,2064-05-01,Unmet_Dem_IN_CA_LADWP[AF],3172.0,13353941.0,90273.0
16,2065-12-01,Unmet_Dem_IN_CA_LADWP[AF],4630.0,14261956.0,94903.0
17,2066-05-01,Unmet_Dem_IN_CA_LADWP[AF],10660.0,14414388.0,105563.0
18,2069-04-01,Unmet_Dem_IN_CA_LADWP[AF],1698.0,16068512.0,107261.0
19,2069-05-01,Unmet_Dem_IN_CA_LADWP[AF],9797.0,16155664.0,117058.0
20,2069-06-01,Unmet_Dem_IN_CA_LADWP[AF],10660.0,16251469.0,127718.0
21,2069-09-01,Unmet_Dem_IN_CA_LADWP[AF],6230.0,16525640.0,133948.0
22,2069-10-01,Unmet_Dem_IN_CA_LADWP[AF],11579.0,16611694.0,145527.0
