,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2047-12-01,Unmet_Dem_OUT_CA_LADWP[AF],310.0,802852.0,310.0
1,2049-05-01,Unmet_Dem_OUT_CA_LADWP[AF],195.0,840574.0,505.0
2,2050-05-01,Unmet_Dem_OUT_CA_LADWP[AF],790.0,926313.0,1295.0
3,2054-05-01,Unmet_Dem_OUT_CA_LADWP[AF],667.0,1177626.0,1962.0
4,2055-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1324.0,1269878.0,3286.0
5,2055-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1995.0,1282227.0,5281.0
6,2056-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1097.0,1374380.0,6378.0
7,2056-06-01,Unmet_Dem_OUT_CA_LADWP[AF],514.0,1384866.0,6892.0
8,2059-05-01,Unmet_Dem_OUT_CA_LADWP[AF],344.0,1600691.0,7236.0
9,2060-12-01,Unmet_Dem_OUT_CA_LADWP[AF],491.0,1747787.0,7727.0
10,2061-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1276.0,1760764.0,9003.0
11,2061-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1687.0,1765251.0,10690.0
12,2062-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1296.0,1848580.0,11986.0
13,2062-06-01,Unmet_Dem_OUT_CA_LADWP[AF],2035.0,1853034.0,14021.0
14,2064-05-01,Unmet_Dem_OUT_CA_LADWP[AF],319.0,1984374.0,14340.0
15,2066-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1647.0,2135563.0,15987.0
16,2069-04-01,Unmet_Dem_OUT_CA_LADWP[AF],244.0,2318142.0,16231.0
17,2069-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1086.0,2323138.0,17317.0
18,2069-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1858.0,2331953.0,19175.0
19,2069-09-01,Unmet_Dem_OUT_CA_LADWP[AF],945.0,2373777.0,20120.0
20,2069-10-01,Unmet_Dem_OUT_CA_LADWP[AF],1348.0,2384808.0,21468.0
21,2069-11-01,Unmet_Dem_OUT_CA_LADWP[AF],401.0,2392599.0,21869.0
22,2070-03-01,Unmet_Dem_OUT_CA_LADWP[AF],1033.0,2425456.0,22902.0
23,2070-04-01,Unmet_Dem_OUT_CA_LADWP[AF],1210.0,2426875.0,24112.0
24,2070-05-01,Unmet_Dem_OUT_CA_LADWP[AF],1504.0,2431796.0,25616.0
25,2070-06-01,Unmet_Dem_OUT_CA_LADWP[AF],1668.0,2440543.0,27284.0
26,2070-09-01,Unmet_Dem_OUT_CA_LADWP[AF],388.0,2481130.0,27672.0
27,2070-10-01,Unmet_Dem_OUT_CA_LADWP[AF],290.0,2494502.0,27962.0
28,2011-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],32.0,200.0,32.0
29,2011-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],33.0,383.0,65.0
30,2011-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],28.0,536.0,93.0
31,2011-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],25.0,603.0,118.0
32,2014-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],149.0,1350.0,267.0
33,2014-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],164.0,2256.0,431.0
34,2014-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],146.0,2579.0,577.0
35,2017-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],218.0,14487.0,795.0
36,2017-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],843.0,18030.0,1638.0
37,2017-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],846.0,11355.0,2484.0
38,2017-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],245.0,10103.0,2729.0
39,2017-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],162.0,10207.0,2891.0
40,2018-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],261.0,11934.0,3152.0
41,2018-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],300.0,13019.0,3452.0
42,2018-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],251.0,14341.0,3703.0
43,2020-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],278.0,16109.0,3981.0
44,2020-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],495.0,11011.0,4476.0
45,2020-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],341.0,17597.0,4817.0
46,2021-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],6100.0,30172.0,10917.0
47,2021-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1681.0,43746.0,12598.0
48,2021-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-4749.0,44604.0,7849.0
49,2021-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-509.0,47037.0,7340.0
50,2021-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],36.0,51742.0,7376.0
51,2023-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1286.0,68983.0,8662.0
52,2023-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1676.0,70673.0,10338.0
53,2023-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1272.0,73391.0,11610.0
54,2025-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],836.0,84704.0,12446.0
55,2025-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],983.0,90153.0,13429.0
