,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2021-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],14.0,-18973.0,14.0
1,2021-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],10.0,-19892.0,24.0
2,2022-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],9.0,-5306.0,33.0
3,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],7.0,1981.0,40.0
4,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],6.0,1916.0,46.0
5,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4.0,2366.0,50.0
6,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,-1689.0,53.0
7,2022-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-9460.0,-20882.0,-9407.0
8,2022-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6507.0,-28220.0,-15914.0
9,2022-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5468.0,-31900.0,-21382.0
10,2023-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4551.0,-37798.0,-25933.0
11,2023-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3723.0,-44576.0,-29656.0
12,2023-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2840.0,-47641.0,-32496.0
13,2023-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2042.0,-48712.0,-34538.0
14,2023-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1289.0,-54253.0,-35827.0
15,2023-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-765.0,-57074.0,-36592.0
16,2023-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-416.0,-57315.0,-37008.0
17,2023-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-245.0,-50374.0,-37253.0
18,2023-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-158.0,-49332.0,-37411.0
19,2023-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-115.0,-50376.0,-37526.0
20,2023-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-93.0,-58247.0,-37619.0
21,2023-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-78.0,-60884.0,-37697.0
22,2024-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-66.0,-63071.0,-37763.0
23,2024-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-52.0,-65049.0,-37815.0
24,2024-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-40.0,-66537.0,-37855.0
25,2024-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-28.0,-62719.0,-37883.0
26,2024-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-18.0,-63588.0,-37901.0
27,2024-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-11.0,-63808.0,-37912.0
28,2024-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6.0,-63354.0,-37918.0
29,2024-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,-38439.0,-37922.0
30,2024-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,-35991.0,-37924.0
31,2025-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],8.0,71678.0,-37916.0
32,2025-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5.0,71863.0,-37911.0
33,2025-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],5.0,74542.0,-37906.0
34,2026-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],4.0,76110.0,-37902.0
35,2026-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,77504.0,-37899.0
36,2026-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],3.0,78528.0,-37896.0
37,2026-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,79034.0,-37894.0
38,2026-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-14.0,719558.0,-37908.0
39,2026-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-10.0,737683.0,-37918.0
40,2026-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-9.0,746078.0,-37927.0
