,Date,Location,Reduction_in_electricity_demand,Running_total,Location_running_total
7294,2021-11-01,Elec_CAP[GwH],-1.0,-72.0,-1.0
7295,2021-12-01,Elec_CAP[GwH],-4.0,-141.0,-5.0
7296,2022-09-01,Elec_CAP[GwH],1.0,-128.0,-4.0
7297,2022-11-01,Elec_CAP[GwH],-5.0,-137.0,-9.0
7298,2022-12-01,Elec_CAP[GwH],3.0,-134.0,-6.0
7299,2023-01-01,Elec_CAP[GwH],-2.0,-136.0,-8.0
7300,2023-02-01,Elec_CAP[GwH],2.0,-134.0,-6.0
7301,2023-03-01,Elec_CAP[GwH],1.0,-133.0,-5.0
7302,2023-05-01,Elec_CAP[GwH],-2.0,-135.0,-7.0
7303,2023-06-01,Elec_CAP[GwH],5.0,-130.0,-2.0
7304,2023-11-01,Elec_CAP[GwH],1.0,-109.0,-1.0
7305,2023-12-01,Elec_CAP[GwH],2.0,-134.0,1.0
7306,2024-01-01,Elec_CAP[GwH],2.0,-113.0,3.0
7307,2024-03-01,Elec_CAP[GwH],-15.0,-126.0,-12.0
7308,2024-05-01,Elec_CAP[GwH],-7.0,-157.0,-19.0
7309,2024-06-01,Elec_CAP[GwH],5.0,-152.0,-14.0
7310,2024-10-01,Elec_CAP[GwH],-1.0,-116.0,-15.0
7311,2024-11-01,Elec_CAP[GwH],-2.0,-117.0,-17.0
7312,2025-01-01,Elec_CAP[GwH],-3.0,-120.0,-20.0
7313,2025-02-01,Elec_CAP[GwH],2.0,-114.0,-18.0
7314,2025-04-01,Elec_CAP[GwH],2.0,-109.0,-16.0
7315,2025-06-01,Elec_CAP[GwH],-4.0,-106.0,-20.0
7316,2025-07-01,Elec_CAP[GwH],-4.0,-98.0,-24.0
7317,2026-01-01,Elec_CAP[GwH],-1.0,63.0,-25.0
7318,2026-06-01,Elec_CAP[GwH],-3.0,-577.0,-28.0
7319,2026-10-01,Elec_CAP[GwH],-5.0,-349.0,-33.0
7320,2026-11-01,Elec_CAP[GwH],2.0,-246.0,-31.0
7321,2026-12-01,Elec_CAP[GwH],2.0,-186.0,-29.0
7322,2027-01-01,Elec_CAP[GwH],-3.0,-152.0,-32.0
7323,2027-03-01,Elec_CAP[GwH],-2.0,-104.0,-34.0
7324,2027-04-01,Elec_CAP[GwH],3.0,-82.0,-31.0
7325,2027-05-01,Elec_CAP[GwH],2.0,-44.0,-29.0
7326,2027-06-01,Elec_CAP[GwH],-1.0,-44.0,-30.0
7327,2027-07-01,Elec_CAP[GwH],-2.0,-46.0,-32.0
7328,2027-09-01,Elec_CAP[GwH],-3.0,103.0,-35.0
7329,2027-10-01,Elec_CAP[GwH],-7.0,164.0,-42.0
7330,2027-11-01,Elec_CAP[GwH],-6.0,211.0,-48.0
7331,2027-12-01,Elec_CAP[GwH],-4.0,214.0,-52.0
7332,2028-01-01,Elec_CAP[GwH],-47.0,192.0,-99.0
7333,2028-02-01,Elec_CAP[GwH],-523.0,-297.0,-622.0
7334,2028-04-01,Elec_CAP[GwH],703.0,478.0,81.0
7335,2028-05-01,Elec_CAP[GwH],311.0,809.0,392.0
7336,2028-06-01,Elec_CAP[GwH],-39.0,781.0,353.0
7337,2028-07-01,Elec_CAP[GwH],-17.0,791.0,336.0
7338,2028-08-01,Elec_CAP[GwH],-3.0,830.0,333.0
7339,2028-09-01,Elec_CAP[GwH],3.0,939.0,336.0
7340,2028-10-01,Elec_CAP[GwH],-11.0,994.0,325.0
7341,2029-01-01,Elec_CAP[GwH],-5.0,1089.0,320.0
7342,2029-02-01,Elec_CAP[GwH],2.0,1153.0,322.0
7343,2029-05-01,Elec_CAP[GwH],-3.0,1190.0,319.0
7344,2029-06-01,Elec_CAP[GwH],2.0,1216.0,321.0
7345,2029-07-01,Elec_CAP[GwH],-8.0,1243.0,313.0
7346,2029-08-01,Elec_CAP[GwH],3.0,1312.0,316.0
7347,2029-09-01,Elec_CAP[GwH],-3.0,1361.0,313.0
7348,2029-10-01,Elec_CAP[GwH],-70.0,1367.0,243.0
7349,2029-11-01,Elec_CAP[GwH],-40.0,1346.0,203.0
7350,2029-12-01,Elec_CAP[GwH],-41.0,1329.0,162.0
7351,2030-01-01,Elec_CAP[GwH],-141.0,1218.0,21.0
7352,2030-03-01,Elec_CAP[GwH],-1.0,1242.0,20.0
7353,2030-04-01,Elec_CAP[GwH],-1.0,1244.0,19.0
7354,2030-05-01,Elec_CAP[GwH],-2.0,1252.0,17.0
7355,2030-06-01,Elec_CAP[GwH],-11.0,1245.0,6.0
7356,2030-07-01,Elec_CAP[GwH],10.0,1305.0,16.0
7357,2031-01-01,Elec_CAP[GwH],-3.0,1476.0,13.0
7358,2031-02-01,Elec_CAP[GwH],2.0,1485.0,15.0
7359,2031-03-01,Elec_CAP[GwH],1.0,1493.0,16.0
7360,2031-05-01,Elec_CAP[GwH],-1.0,1496.0,15.0
7361,2031-06-01,Elec_CAP[GwH],-7.0,1453.0,8.0
7362,2031-07-01,Elec_CAP[GwH],-10.0,1502.0,-2.0
7363,2031-08-01,Elec_CAP[GwH],-6.0,1547.0,-8.0
7364,2031-09-01,Elec_CAP[GwH],1.0,1611.0,-7.0
7365,2031-10-01,Elec_CAP[GwH],-69.0,1609.0,-76.0
7366,2032-03-01,Elec_CAP[GwH],54.0,1724.0,-22.0
7367,2032-04-01,Elec_CAP[GwH],-168.0,1570.0,-190.0
7368,2032-05-01,Elec_CAP[GwH],30.0,1623.0,-160.0
7369,2032-06-01,Elec_CAP[GwH],10.0,1657.0,-150.0
7370,2032-07-01,Elec_CAP[GwH],9.0,1693.0,-141.0
7371,2032-08-01,Elec_CAP[GwH],7.0,1752.0,-134.0
7372,2032-09-01,Elec_CAP[GwH],8.0,1847.0,-126.0
7373,2032-10-01,Elec_CAP[GwH],4.0,1915.0,-122.0
7374,2032-11-01,Elec_CAP[GwH],1.0,1934.0,-121.0
7375,2032-12-01,Elec_CAP[GwH],-3.0,1972.0,-124.0
7376,2033-01-01,Elec_CAP[GwH],2.0,2000.0,-122.0
7377,2033-02-01,Elec_CAP[GwH],-2.0,2045.0,-124.0
7378,2033-03-01,Elec_CAP[GwH],2.0,2061.0,-122.0
7379,2033-06-01,Elec_CAP[GwH],-2.0,2161.0,-124.0
7380,2033-07-01,Elec_CAP[GwH],4.0,2210.0,-120.0
7381,2033-08-01,Elec_CAP[GwH],2.0,2297.0,-118.0
7382,2033-10-01,Elec_CAP[GwH],6.0,2476.0,-112.0
7383,2033-12-01,Elec_CAP[GwH],2.0,2520.0,-110.0
7384,2034-01-01,Elec_CAP[GwH],4.0,2555.0,-106.0
7385,2034-05-01,Elec_CAP[GwH],2.0,2555.0,-104.0
7386,2034-06-01,Elec_CAP[GwH],1.0,2485.0,-103.0
7387,2034-08-01,Elec_CAP[GwH],14.0,2638.0,-89.0
7388,2034-09-01,Elec_CAP[GwH],2.0,2775.0,-87.0
7389,2034-10-01,Elec_CAP[GwH],24.0,2881.0,-63.0
7390,2034-11-01,Elec_CAP[GwH],2.0,2975.0,-61.0
7391,2034-12-01,Elec_CAP[GwH],1.0,3004.0,-60.0
7392,2035-01-01,Elec_CAP[GwH],2.0,3025.0,-58.0
7393,2035-02-01,Elec_CAP[GwH],1.0,3034.0,-57.0
7394,2035-03-01,Elec_CAP[GwH],-7.0,3030.0,-64.0
7395,2035-05-01,Elec_CAP[GwH],1.0,3041.0,-63.0
7396,2035-07-01,Elec_CAP[GwH],1.0,3218.0,-62.0
7397,2035-09-01,Elec_CAP[GwH],-1.0,3380.0,-63.0
7398,2035-10-01,Elec_CAP[GwH],2.0,3439.0,-61.0
7399,2035-11-01,Elec_CAP[GwH],2.0,3478.0,-59.0
7400,2035-12-01,Elec_CAP[GwH],13.0,3518.0,-46.0
7401,2036-01-01,Elec_CAP[GwH],2.0,3526.0,-44.0
7402,2036-02-01,Elec_CAP[GwH],-7.0,3524.0,-51.0
7403,2036-03-01,Elec_CAP[GwH],4.0,3525.0,-47.0
7404,2036-04-01,Elec_CAP[GwH],-11.0,3519.0,-58.0
7405,2036-08-01,Elec_CAP[GwH],20.0,3591.0,-38.0
7406,2036-10-01,Elec_CAP[GwH],6.0,3705.0,-32.0
7407,2036-12-01,Elec_CAP[GwH],-32.0,3788.0,-64.0
7408,2037-01-01,Elec_CAP[GwH],29.0,3827.0,-35.0
7409,2037-03-01,Elec_CAP[GwH],-2.0,3837.0,-37.0
7410,2037-07-01,Elec_CAP[GwH],-443.0,3401.0,-480.0
7411,2037-08-01,Elec_CAP[GwH],1.0,3480.0,-479.0
7412,2037-09-01,Elec_CAP[GwH],5.0,3599.0,-474.0
7413,2037-11-01,Elec_CAP[GwH],1.0,3687.0,-473.0
7414,2037-12-01,Elec_CAP[GwH],-11.0,3776.0,-484.0
7415,2038-01-01,Elec_CAP[GwH],-4.0,3828.0,-488.0
7416,2038-08-01,Elec_CAP[GwH],-3.0,4064.0,-491.0
7417,2038-09-01,Elec_CAP[GwH],1.0,4149.0,-490.0
7418,2038-11-01,Elec_CAP[GwH],-11.0,4307.0,-501.0
7419,2038-12-01,Elec_CAP[GwH],570.0,5057.0,69.0
7420,2039-01-01,Elec_CAP[GwH],603.0,5664.0,672.0
7421,2039-02-01,Elec_CAP[GwH],13.0,5723.0,685.0
7422,2039-03-01,Elec_CAP[GwH],6.0,5733.0,691.0
7423,2039-05-01,Elec_CAP[GwH],-3.0,5741.0,688.0
7424,2039-06-01,Elec_CAP[GwH],-5.0,5799.0,683.0
7425,2039-07-01,Elec_CAP[GwH],-2.0,5849.0,681.0
7426,2039-08-01,Elec_CAP[GwH],-4.0,5925.0,677.0
7427,2039-09-01,Elec_CAP[GwH],-18.0,6030.0,659.0
7428,2039-10-01,Elec_CAP[GwH],-15.0,6100.0,644.0
7429,2039-11-01,Elec_CAP[GwH],-58.0,6033.0,586.0
7430,2039-12-01,Elec_CAP[GwH],-11.0,6031.0,575.0
