,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2030-09-01,GW_storage_AZ_APS_E_GW[AF],-2.0,2184719004.0,-2.0
1,2030-10-01,GW_storage_AZ_APS_E_GW[AF],-2.0,2196341074.0,-4.0
2,2030-11-01,GW_storage_AZ_APS_E_GW[AF],-2.0,2207765083.0,-6.0
3,2031-04-01,GW_storage_AZ_APS_E_GW[AF],-2.0,2269997617.0,-8.0
4,2036-09-01,GW_storage_AZ_APS_E_GW[AF],-3.0,4242270938.0,-11.0
5,2036-10-01,GW_storage_AZ_APS_E_GW[AF],3.0,4274529295.0,-8.0
6,2036-11-01,GW_storage_AZ_APS_E_GW[AF],3.0,4306230126.0,-5.0
7,2036-12-01,GW_storage_AZ_APS_E_GW[AF],3.0,4337265146.0,-2.0
8,2037-01-01,GW_storage_AZ_APS_E_GW[AF],3.0,4371507435.0,1.0
9,2037-02-01,GW_storage_AZ_APS_E_GW[AF],3.0,4407488315.0,4.0
10,2037-03-01,GW_storage_AZ_APS_E_GW[AF],2.0,4445427475.0,6.0
11,2037-04-01,GW_storage_AZ_APS_E_GW[AF],2.0,4505542792.0,8.0
12,2037-05-01,GW_storage_AZ_APS_E_GW[AF],3.0,4574352695.0,11.0
13,2037-06-01,GW_storage_AZ_APS_E_GW[AF],3.0,4644717290.0,14.0
14,2037-07-01,GW_storage_AZ_APS_E_GW[AF],2.0,4713602394.0,16.0
15,2037-08-01,GW_storage_AZ_APS_E_GW[AF],3.0,4781016625.0,19.0
16,2037-09-01,GW_storage_AZ_APS_E_GW[AF],3.0,4847005581.0,22.0
17,2037-10-01,GW_storage_AZ_APS_E_GW[AF],3.0,4911533693.0,25.0
18,2037-11-01,GW_storage_AZ_APS_E_GW[AF],3.0,4974784184.0,28.0
19,2037-12-01,GW_storage_AZ_APS_E_GW[AF],3.0,5036686367.0,31.0
20,2038-01-01,GW_storage_AZ_APS_E_GW[AF],2.0,5097196342.0,33.0
21,2038-02-01,GW_storage_AZ_APS_E_GW[AF],3.0,5156499077.0,36.0
22,2038-03-01,GW_storage_AZ_APS_E_GW[AF],2.0,5214489123.0,38.0
23,2038-04-01,GW_storage_AZ_APS_E_GW[AF],2.0,5271244884.0,40.0
24,2038-05-01,GW_storage_AZ_APS_E_GW[AF],2.0,5328974389.0,42.0
25,2038-06-01,GW_storage_AZ_APS_E_GW[AF],2.0,5385538418.0,44.0
26,2038-07-01,GW_storage_AZ_APS_E_GW[AF],2.0,5442095396.0,46.0
27,2038-08-01,GW_storage_AZ_APS_E_GW[AF],2.0,5497467708.0,48.0
28,2038-09-01,GW_storage_AZ_APS_E_GW[AF],2.0,5551797780.0,50.0
29,2038-10-01,GW_storage_AZ_APS_E_GW[AF],2.0,5605005654.0,52.0
30,2038-11-01,GW_storage_AZ_APS_E_GW[AF],2.0,5657202259.0,54.0
31,2038-12-01,GW_storage_AZ_APS_E_GW[AF],2.0,5708282168.0,56.0
32,2039-02-01,GW_storage_AZ_APS_E_GW[AF],2.0,5812779671.0,58.0
33,2039-03-01,GW_storage_AZ_APS_E_GW[AF],2.0,5863402704.0,60.0
34,2039-04-01,GW_storage_AZ_APS_E_GW[AF],2.0,5912961222.0,62.0
35,2039-05-01,GW_storage_AZ_APS_E_GW[AF],2.0,5961624594.0,64.0
36,2039-06-01,GW_storage_AZ_APS_E_GW[AF],2.0,6009365096.0,66.0
37,2039-07-01,GW_storage_AZ_APS_E_GW[AF],2.0,6056100278.0,68.0
38,2039-09-01,GW_storage_AZ_APS_E_GW[AF],2.0,6146793810.0,70.0
39,2039-11-01,GW_storage_AZ_APS_E_GW[AF],2.0,6233774295.0,72.0
40,2039-12-01,GW_storage_AZ_APS_E_GW[AF],2.0,6275909748.0,74.0
41,2040-02-01,GW_storage_AZ_APS_E_GW[AF],2.0,6357543142.0,76.0
42,2040-09-01,GW_storage_AZ_APS_E_GW[AF],2.0,6658375563.0,78.0
43,2041-05-01,GW_storage_AZ_APS_E_GW[AF],2.0,6993755019.0,80.0
44,2048-03-01,GW_storage_AZ_APS_E_GW[AF],-7.0,13424732972.0,73.0
45,2048-04-01,GW_storage_AZ_APS_E_GW[AF],-7.0,13574490839.0,66.0
46,2048-05-01,GW_storage_AZ_APS_E_GW[AF],-7.0,13721267456.0,59.0
47,2048-06-01,GW_storage_AZ_APS_E_GW[AF],-6.0,13872778655.0,53.0
48,2048-07-01,GW_storage_AZ_APS_E_GW[AF],-6.0,14027202733.0,47.0
49,2048-08-01,GW_storage_AZ_APS_E_GW[AF],-6.0,14182227871.0,41.0
50,2048-09-01,GW_storage_AZ_APS_E_GW[AF],-7.0,14334489547.0,34.0
51,2048-10-01,GW_storage_AZ_APS_E_GW[AF],-6.0,14483808724.0,28.0
52,2048-11-01,GW_storage_AZ_APS_E_GW[AF],-6.0,14630459652.0,22.0
53,2048-12-01,GW_storage_AZ_APS_E_GW[AF],-6.0,14774250888.0,16.0
54,2049-01-01,GW_storage_AZ_APS_E_GW[AF],-6.0,14915337028.0,10.0
55,2049-02-01,GW_storage_AZ_APS_E_GW[AF],-5.0,15053948095.0,5.0
56,2049-03-01,GW_storage_AZ_APS_E_GW[AF],-5.0,15189849142.0,0.0
57,2049-04-01,GW_storage_AZ_APS_E_GW[AF],-6.0,15341396620.0,-6.0
58,2049-05-01,GW_storage_AZ_APS_E_GW[AF],-5.0,15506771975.0,-11.0
59,2049-06-01,GW_storage_AZ_APS_E_GW[AF],-5.0,15679215245.0,-16.0
60,2049-07-01,GW_storage_AZ_APS_E_GW[AF],-8.0,15852489018.0,-24.0
61,2049-08-01,GW_storage_AZ_APS_E_GW[AF],-4.0,16022539551.0,-28.0
62,2049-10-01,GW_storage_AZ_APS_E_GW[AF],-2.0,16353142774.0,-30.0
63,2049-11-01,GW_storage_AZ_APS_E_GW[AF],-4.0,16513775045.0,-34.0
64,2049-12-01,GW_storage_AZ_APS_E_GW[AF],-10.0,16671302582.0,-44.0
65,2050-01-01,GW_storage_AZ_APS_E_GW[AF],16.0,16825804668.0,-28.0
66,2050-02-01,GW_storage_AZ_APS_E_GW[AF],31.0,16977637026.0,3.0
67,2050-03-01,GW_storage_AZ_APS_E_GW[AF],29.0,17131721396.0,32.0
68,2050-04-01,GW_storage_AZ_APS_E_GW[AF],20.0,17286470517.0,52.0
69,2050-05-01,GW_storage_AZ_APS_E_GW[AF],36.0,17449668812.0,88.0
70,2050-06-01,GW_storage_AZ_APS_E_GW[AF],44.0,17615523954.0,132.0
71,2050-07-01,GW_storage_AZ_APS_E_GW[AF],29.0,17783007821.0,161.0
72,2050-08-01,GW_storage_AZ_APS_E_GW[AF],-14.0,17951062258.0,147.0
73,2050-09-01,GW_storage_AZ_APS_E_GW[AF],6.0,18116101122.0,153.0
74,2050-10-01,GW_storage_AZ_APS_E_GW[AF],72.0,18278058554.0,225.0
75,2050-11-01,GW_storage_AZ_APS_E_GW[AF],100.0,18437155227.0,325.0
76,2050-12-01,GW_storage_AZ_APS_E_GW[AF],78.0,18593256285.0,403.0
77,2051-01-01,GW_storage_AZ_APS_E_GW[AF],65.0,18746394292.0,468.0
78,2051-02-01,GW_storage_AZ_APS_E_GW[AF],51.0,18896915245.0,519.0
79,2051-03-01,GW_storage_AZ_APS_E_GW[AF],41.0,19044623051.0,560.0
80,2051-04-01,GW_storage_AZ_APS_E_GW[AF],29.0,19190166660.0,589.0
81,2051-05-01,GW_storage_AZ_APS_E_GW[AF],19.0,19338581582.0,608.0
82,2051-06-01,GW_storage_AZ_APS_E_GW[AF],19.0,19484638511.0,627.0
83,2051-07-01,GW_storage_AZ_APS_E_GW[AF],19.0,19628030726.0,646.0
84,2051-08-01,GW_storage_AZ_APS_E_GW[AF],18.0,19768866133.0,664.0
85,2051-09-01,GW_storage_AZ_APS_E_GW[AF],18.0,19907321741.0,682.0
86,2051-10-01,GW_storage_AZ_APS_E_GW[AF],18.0,20043270155.0,700.0
87,2051-11-01,GW_storage_AZ_APS_E_GW[AF],17.0,20176851358.0,717.0
88,2051-12-01,GW_storage_AZ_APS_E_GW[AF],17.0,20307991011.0,734.0
89,2052-01-01,GW_storage_AZ_APS_E_GW[AF],26.0,20436809554.0,760.0
90,2052-02-01,GW_storage_AZ_APS_E_GW[AF],25.0,20563517540.0,785.0
91,2052-03-01,GW_storage_AZ_APS_E_GW[AF],25.0,20688025218.0,810.0
92,2052-04-01,GW_storage_AZ_APS_E_GW[AF],24.0,20810334255.0,834.0
93,2052-05-01,GW_storage_AZ_APS_E_GW[AF],24.0,20930968385.0,858.0
94,2052-06-01,GW_storage_AZ_APS_E_GW[AF],24.0,21049778350.0,882.0
95,2052-07-01,GW_storage_AZ_APS_E_GW[AF],22.0,21168947993.0,904.0
96,2052-08-01,GW_storage_AZ_APS_E_GW[AF],22.0,21286022814.0,926.0
97,2052-09-01,GW_storage_AZ_APS_E_GW[AF],21.0,21401107268.0,947.0
98,2052-10-01,GW_storage_AZ_APS_E_GW[AF],21.0,21514100285.0,968.0
99,2052-11-01,GW_storage_AZ_APS_E_GW[AF],21.0,21625295463.0,989.0
100,2052-12-01,GW_storage_AZ_APS_E_GW[AF],20.0,21734507255.0,1009.0
101,2053-01-01,GW_storage_AZ_APS_E_GW[AF],20.0,21841868136.0,1029.0
