,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2049-05-01,Unmet_Dem_IN_CA_LADWP[AF],12.0,102582.0,12.0
1,2050-05-01,Unmet_Dem_IN_CA_LADWP[AF],69.0,95705.0,81.0
2,2054-05-01,Unmet_Dem_IN_CA_LADWP[AF],-33.0,111692.0,48.0
3,2055-05-01,Unmet_Dem_IN_CA_LADWP[AF],-7.0,109360.0,41.0
4,2055-06-01,Unmet_Dem_IN_CA_LADWP[AF],47.0,109548.0,88.0
5,2056-05-01,Unmet_Dem_IN_CA_LADWP[AF],-20.0,90191.0,68.0
6,2056-06-01,Unmet_Dem_IN_CA_LADWP[AF],20.0,90234.0,88.0
7,2059-05-01,Unmet_Dem_IN_CA_LADWP[AF],1088.0,117797.0,1176.0
8,2061-06-01,Unmet_Dem_IN_CA_LADWP[AF],650.0,148043.0,1826.0
9,2062-06-01,Unmet_Dem_IN_CA_LADWP[AF],505.0,160163.0,2331.0
10,2064-05-01,Unmet_Dem_IN_CA_LADWP[AF],453.0,183632.0,2784.0
11,2066-05-01,Unmet_Dem_IN_CA_LADWP[AF],220.0,189251.0,3004.0
12,2069-04-01,Unmet_Dem_IN_CA_LADWP[AF],192.0,194539.0,3196.0
13,2069-05-01,Unmet_Dem_IN_CA_LADWP[AF],15.0,201273.0,3211.0
14,2069-06-01,Unmet_Dem_IN_CA_LADWP[AF],758.0,205384.0,3969.0
15,2069-09-01,Unmet_Dem_IN_CA_LADWP[AF],2072.0,195975.0,6041.0
16,2069-10-01,Unmet_Dem_IN_CA_LADWP[AF],2585.0,199123.0,8626.0
17,2069-11-01,Unmet_Dem_IN_CA_LADWP[AF],1990.0,202874.0,10616.0
18,2070-03-01,Unmet_Dem_IN_CA_LADWP[AF],1512.0,219368.0,12128.0
19,2070-04-01,Unmet_Dem_IN_CA_LADWP[AF],52.0,221948.0,12180.0
20,2070-05-01,Unmet_Dem_IN_CA_LADWP[AF],15.0,225703.0,12195.0
21,2070-07-01,Unmet_Dem_IN_CA_LADWP[AF],-29472.0,214653.0,-17277.0
22,2070-08-01,Unmet_Dem_IN_CA_LADWP[AF],-11822.0,189150.0,-29099.0
23,2070-09-01,Unmet_Dem_IN_CA_LADWP[AF],-12026.0,177813.0,-41125.0
24,2070-10-01,Unmet_Dem_IN_CA_LADWP[AF],-34121.0,143541.0,-75246.0
25,2070-11-01,Unmet_Dem_IN_CA_LADWP[AF],-33986.0,97108.0,-109232.0
26,2021-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],7.0,36.0,7.0
27,2021-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-166.0,3166.0,-159.0
28,2021-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],353.0,4454.0,194.0
29,2021-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1111.0,8504.0,1305.0
30,2023-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-438.0,8129.0,867.0
31,2023-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-517.0,7617.0,350.0
32,2023-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-577.0,8023.0,-227.0
33,2023-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-7.0,8012.0,-234.0
34,2025-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-30.0,8081.0,-264.0
35,2025-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-66.0,7961.0,-330.0
36,2025-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],22.0,8047.0,-308.0
37,2030-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],947.0,36639.0,639.0
38,2030-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],728.0,39308.0,1367.0
39,2030-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],765.0,42101.0,2132.0
40,2030-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],694.0,44632.0,2826.0
41,2032-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2470.0,57894.0,5296.0
42,2032-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],570.0,59979.0,5866.0
43,2032-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],892.0,62038.0,6758.0
44,2032-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],856.0,64003.0,7614.0
45,2032-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],938.0,65858.0,8552.0
46,2032-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],169.0,66027.0,8721.0
47,2032-12-01,Unmet_Dem_IN_CA_PGE_BAY[AF],165.0,66192.0,8886.0
48,2033-01-01,Unmet_Dem_IN_CA_PGE_BAY[AF],38.0,66230.0,8924.0
49,2033-04-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-6299.0,59931.0,2625.0
50,2033-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],17118.0,74218.0,19743.0
51,2033-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5205.0,75094.0,24948.0
52,2033-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2261.0,77355.0,27209.0
53,2033-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1467.0,78823.0,28676.0
54,2033-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1569.0,79697.0,30245.0
55,2034-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2384.0,85269.0,32629.0
