,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2049-05-01,Unmet_Dem_OUT_CA_LADWP[AF],2.0,44290.0,2.0
1,2050-05-01,Unmet_Dem_OUT_CA_LADWP[AF],14.0,42692.0,16.0
2,2054-05-01,Unmet_Dem_OUT_CA_LADWP[AF],-4.0,59815.0,12.0
3,2055-06-01,Unmet_Dem_OUT_CA_LADWP[AF],11.0,58912.0,23.0
4,2056-05-01,Unmet_Dem_OUT_CA_LADWP[AF],-2.0,58817.0,21.0
5,2056-06-01,Unmet_Dem_OUT_CA_LADWP[AF],4.0,58777.0,25.0
6,2059-05-01,Unmet_Dem_OUT_CA_LADWP[AF],159.0,84015.0,184.0
7,2061-06-01,Unmet_Dem_OUT_CA_LADWP[AF],135.0,88170.0,319.0
8,2062-06-01,Unmet_Dem_OUT_CA_LADWP[AF],106.0,91167.0,425.0
9,2064-05-01,Unmet_Dem_OUT_CA_LADWP[AF],45.0,111657.0,470.0
10,2066-05-01,Unmet_Dem_OUT_CA_LADWP[AF],34.0,112614.0,504.0
11,2069-04-01,Unmet_Dem_OUT_CA_LADWP[AF],27.0,106187.0,531.0
12,2069-05-01,Unmet_Dem_OUT_CA_LADWP[AF],9.0,107601.0,540.0
13,2069-06-01,Unmet_Dem_OUT_CA_LADWP[AF],163.0,108892.0,703.0
14,2069-09-01,Unmet_Dem_OUT_CA_LADWP[AF],313.0,99866.0,1016.0
15,2069-10-01,Unmet_Dem_OUT_CA_LADWP[AF],434.0,97158.0,1450.0
16,2069-11-01,Unmet_Dem_OUT_CA_LADWP[AF],146.0,95547.0,1596.0
17,2070-03-01,Unmet_Dem_OUT_CA_LADWP[AF],165.0,96351.0,1761.0
18,2070-04-01,Unmet_Dem_OUT_CA_LADWP[AF],57.0,96935.0,1818.0
19,2070-05-01,Unmet_Dem_OUT_CA_LADWP[AF],25.0,98116.0,1843.0
20,2070-06-01,Unmet_Dem_OUT_CA_LADWP[AF],13.0,98986.0,1856.0
21,2070-07-01,Unmet_Dem_OUT_CA_LADWP[AF],-7533.0,98905.0,-5677.0
22,2070-08-01,Unmet_Dem_OUT_CA_LADWP[AF],-2860.0,93105.0,-8537.0
23,2070-09-01,Unmet_Dem_OUT_CA_LADWP[AF],-2306.0,89013.0,-10843.0
24,2070-10-01,Unmet_Dem_OUT_CA_LADWP[AF],-5391.0,81917.0,-16234.0
25,2070-11-01,Unmet_Dem_OUT_CA_LADWP[AF],-4566.0,72736.0,-20800.0
26,2021-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-24.0,10565.0,-24.0
27,2021-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],46.0,12012.0,22.0
28,2023-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-67.0,12994.0,-45.0
29,2023-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-89.0,12905.0,-134.0
30,2023-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-78.0,12984.0,-212.0
31,2025-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-5.0,18579.0,-217.0
32,2030-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],141.0,25131.0,-76.0
33,2030-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],120.0,25852.0,44.0
34,2030-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],111.0,26410.0,155.0
35,2030-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],98.0,26883.0,253.0
36,2032-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],362.0,30570.0,615.0
37,2032-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],176.0,31353.0,791.0
38,2032-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],254.0,32079.0,1045.0
39,2032-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],319.0,32787.0,1364.0
40,2032-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],381.0,38429.0,1745.0
41,2032-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],163.0,38592.0,1908.0
42,2032-12-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],28.0,38620.0,1936.0
43,2033-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2350.0,39935.0,4286.0
44,2033-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1338.0,39823.0,5624.0
45,2033-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1055.0,40878.0,6679.0
46,2033-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],882.0,41760.0,7561.0
47,2033-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],797.0,42447.0,8358.0
48,2034-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],191.0,43125.0,8549.0
49,2035-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],45.0,42773.0,8594.0
50,2035-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],82.0,42855.0,8676.0
51,2035-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],82.0,42937.0,8758.0
52,2035-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],47.0,43065.0,8805.0
53,2035-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4.0,43205.0,8809.0
54,2036-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],46.0,43835.0,8855.0
55,2036-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],45.0,44045.0,8900.0
56,2037-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],28.0,44429.0,8928.0
57,2037-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],35.0,44464.0,8963.0
58,2037-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],18.0,44482.0,8981.0
59,2038-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-1643.0,43314.0,7338.0
60,2038-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-787.0,41276.0,6551.0
61,2038-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-426.0,34650.0,6125.0
62,2038-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-215.0,31765.0,5910.0
63,2039-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],27.0,31915.0,5937.0
64,2039-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-16.0,30926.0,5921.0
65,2040-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],111.0,31187.0,6032.0
66,2040-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],104.0,31371.0,6136.0
67,2040-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],76.0,31439.0,6212.0
68,2041-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],27.0,31619.0,6239.0
69,2041-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],20.0,31747.0,6259.0
70,2042-05-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],4116.0,36351.0,10375.0
71,2042-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1543.0,38906.0,11918.0
72,2042-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],1236.0,40313.0,13154.0
73,2042-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],970.0,41950.0,14124.0
74,2042-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],816.0,43153.0,14940.0
75,2042-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],700.0,44235.0,15640.0
76,2042-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],263.0,44655.0,15903.0
77,2044-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],138.0,46704.0,16041.0
78,2045-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],11.0,47920.0,16052.0
79,2045-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-29.0,49086.0,16023.0
80,2045-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-5.0,49446.0,16018.0
81,2046-06-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],8.0,48868.0,16026.0
82,2046-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-181.0,47546.0,15845.0
83,2046-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-15.0,47434.0,15830.0
84,2046-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],14.0,47071.0,15844.0
85,2048-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-167.0,45192.0,15677.0
86,2049-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-110.0,43606.0,15567.0
87,2049-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-26.0,43463.0,15541.0
88,2050-07-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],2.0,42404.0,15543.0
89,2050-08-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],-13.0,42394.0,15530.0
90,2050-09-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],115.0,42519.0,15645.0
91,2050-10-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],43.0,42563.0,15688.0
92,2050-11-01,Unmet_Dem_OUT_CA_PGE_BAY[AF],17.0,42605.0,15705.0
