,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2021-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3760.0,-20950.0,-3760.0
1,2021-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2568.0,-20122.0,-6328.0
2,2021-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2169.0,-14354.0,-8497.0
3,2022-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1830.0,-21048.0,-10327.0
4,2022-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1505.0,-22807.0,-11832.0
5,2022-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1147.0,-23988.0,-12979.0
6,2022-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-810.0,-23830.0,-13789.0
7,2022-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-516.0,-28073.0,-14305.0
8,2022-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-310.0,-32181.0,-14615.0
9,2022-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-175.0,-32322.0,-14790.0
10,2022-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-101.0,-25794.0,-14891.0
11,2022-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-65.0,-20971.0,-14956.0
12,2022-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-9038.0,-16697.0,-23994.0
13,2022-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6223.0,-12392.0,-30217.0
14,2022-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5229.0,-4909.0,-35446.0
15,2023-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4352.0,-1053.0,-39798.0
16,2023-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3560.0,-1452.0,-43358.0
17,2023-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2716.0,-4450.0,-46074.0
18,2023-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1953.0,-5885.0,-48027.0
19,2023-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1232.0,-9110.0,-49259.0
20,2023-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-731.0,-9313.0,-49990.0
21,2023-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-398.0,-5193.0,-50388.0
22,2023-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-235.0,-4496.0,-50623.0
23,2023-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-151.0,-295.0,-50774.0
24,2023-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-110.0,2964.0,-50884.0
25,2023-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3289.0,-3587.0,-54173.0
26,2023-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2482.0,-3007.0,-56655.0
27,2024-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2073.0,-4276.0,-58728.0
28,2024-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1666.0,-6485.0,-60394.0
29,2024-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1244.0,-7842.0,-61638.0
30,2024-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-872.0,-9609.0,-62510.0
31,2024-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-567.0,-10356.0,-63077.0
32,2024-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-341.0,-11494.0,-63418.0
