,Date,Location,Reduction_in_electricity_demand,Running_total,Location_running_total
10553,2021-09-01,Elec_CAP[GwH],-1.0,-45.0,-1.0
10554,2021-11-01,Elec_CAP[GwH],4.0,-102.0,3.0
10555,2021-12-01,Elec_CAP[GwH],-3.0,-102.0,0.0
10556,2022-05-01,Elec_CAP[GwH],-2.0,-106.0,-2.0
10557,2022-09-01,Elec_CAP[GwH],-2.0,-91.0,-4.0
10558,2022-10-01,Elec_CAP[GwH],-2.0,-91.0,-6.0
10559,2022-11-01,Elec_CAP[GwH],-3.0,-3.0,-9.0
10560,2023-03-01,Elec_CAP[GwH],3.0,-10.0,-6.0
10561,2023-06-01,Elec_CAP[GwH],5.0,-6.0,-1.0
10562,2023-10-01,Elec_CAP[GwH],-1.0,7.0,-2.0
10563,2023-11-01,Elec_CAP[GwH],-2.0,-3.0,-4.0
10564,2023-12-01,Elec_CAP[GwH],12.0,4.0,8.0
10565,2024-02-01,Elec_CAP[GwH],-1.0,12.0,7.0
10566,2024-03-01,Elec_CAP[GwH],-8.0,5.0,-1.0
10567,2024-06-01,Elec_CAP[GwH],1.0,0.0,0.0
10568,2024-07-01,Elec_CAP[GwH],1.0,-3.0,1.0
10569,2024-09-01,Elec_CAP[GwH],-4.0,8.0,-3.0
10570,2024-10-01,Elec_CAP[GwH],-8.0,9.0,-11.0
10571,2024-12-01,Elec_CAP[GwH],-2.0,19.0,-13.0
10572,2025-01-01,Elec_CAP[GwH],-11.0,7.0,-24.0
10573,2025-02-01,Elec_CAP[GwH],1.0,8.0,-23.0
10574,2025-03-01,Elec_CAP[GwH],1.0,8.0,-22.0
10575,2025-05-01,Elec_CAP[GwH],-2.0,22.0,-24.0
10576,2025-06-01,Elec_CAP[GwH],1.0,19.0,-23.0
10577,2025-07-01,Elec_CAP[GwH],1.0,10.0,-22.0
10578,2025-09-01,Elec_CAP[GwH],459.0,485.0,437.0
10579,2025-10-01,Elec_CAP[GwH],2.0,438.0,439.0
10580,2025-11-01,Elec_CAP[GwH],-5.0,410.0,434.0
10581,2025-12-01,Elec_CAP[GwH],2.0,369.0,436.0
10582,2026-01-01,Elec_CAP[GwH],3.0,368.0,439.0
10583,2026-04-01,Elec_CAP[GwH],-3.0,339.0,436.0
10584,2026-05-01,Elec_CAP[GwH],-6.0,329.0,430.0
10585,2026-06-01,Elec_CAP[GwH],-7.0,329.0,423.0
10586,2026-07-01,Elec_CAP[GwH],-7.0,313.0,416.0
10587,2026-08-01,Elec_CAP[GwH],-3.0,320.0,413.0
10588,2026-09-01,Elec_CAP[GwH],-4.0,348.0,409.0
10589,2026-10-01,Elec_CAP[GwH],-6.0,366.0,403.0
10590,2026-12-01,Elec_CAP[GwH],-2.0,391.0,401.0
10591,2027-03-01,Elec_CAP[GwH],-1.0,468.0,400.0
10592,2027-05-01,Elec_CAP[GwH],-19.0,449.0,381.0
10593,2027-06-01,Elec_CAP[GwH],-454.0,9.0,-73.0
10594,2027-07-01,Elec_CAP[GwH],-412.0,-407.0,-485.0
10595,2027-08-01,Elec_CAP[GwH],-21.0,-419.0,-506.0
10596,2027-09-01,Elec_CAP[GwH],-14.0,-400.0,-520.0
10597,2027-10-01,Elec_CAP[GwH],-4.0,-383.0,-524.0
10598,2027-11-01,Elec_CAP[GwH],-6.0,-387.0,-530.0
10599,2028-01-01,Elec_CAP[GwH],44.0,-345.0,-486.0
10600,2028-02-01,Elec_CAP[GwH],55.0,-290.0,-431.0
10601,2028-03-01,Elec_CAP[GwH],584.0,294.0,153.0
10602,2028-04-01,Elec_CAP[GwH],704.0,997.0,857.0
10603,2028-05-01,Elec_CAP[GwH],303.0,1299.0,1160.0
10604,2028-06-01,Elec_CAP[GwH],-42.0,1259.0,1118.0
10605,2028-07-01,Elec_CAP[GwH],-14.0,1233.0,1104.0
10606,2028-08-01,Elec_CAP[GwH],-9.0,1242.0,1095.0
10607,2028-09-01,Elec_CAP[GwH],-2.0,1291.0,1093.0
