,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2021-05-01,GW_storage_AZ_APS_E_GW[AF],2.0,-32456.0,2.0
1,2021-06-01,GW_storage_AZ_APS_E_GW[AF],2.0,-40359.0,4.0
2,2021-07-01,GW_storage_AZ_APS_E_GW[AF],3.0,-46669.0,7.0
3,2021-08-01,GW_storage_AZ_APS_E_GW[AF],5.0,-52322.0,12.0
4,2021-09-01,GW_storage_AZ_APS_E_GW[AF],4.0,-55561.0,16.0
5,2021-10-01,GW_storage_AZ_APS_E_GW[AF],5.0,-69314.0,21.0
6,2021-11-01,GW_storage_AZ_APS_E_GW[AF],4.0,-88143.0,25.0
7,2021-12-01,GW_storage_AZ_APS_E_GW[AF],5.0,-123282.0,30.0
8,2022-01-01,GW_storage_AZ_APS_E_GW[AF],5.0,-152152.0,35.0
9,2022-02-01,GW_storage_AZ_APS_E_GW[AF],5.0,-166572.0,40.0
10,2022-03-01,GW_storage_AZ_APS_E_GW[AF],5.0,-181216.0,45.0
11,2022-04-01,GW_storage_AZ_APS_E_GW[AF],5.0,-195713.0,50.0
12,2022-05-01,GW_storage_AZ_APS_E_GW[AF],6.0,-207656.0,56.0
13,2022-06-01,GW_storage_AZ_APS_E_GW[AF],8.0,-216247.0,64.0
14,2022-07-01,GW_storage_AZ_APS_E_GW[AF],9.0,-221665.0,73.0
15,2022-08-01,GW_storage_AZ_APS_E_GW[AF],9.0,-238665.0,82.0
16,2022-09-01,GW_storage_AZ_APS_E_GW[AF],10.0,-249912.0,92.0
17,2022-10-01,GW_storage_AZ_APS_E_GW[AF],10.0,-268326.0,102.0
18,2022-11-01,GW_storage_AZ_APS_E_GW[AF],9.0,-299226.0,111.0
19,2022-12-01,GW_storage_AZ_APS_E_GW[AF],9.0,-321118.0,120.0
20,2023-01-01,GW_storage_AZ_APS_E_GW[AF],9.0,-342482.0,129.0
21,2023-02-01,GW_storage_AZ_APS_E_GW[AF],9.0,-361232.0,138.0
22,2023-03-01,GW_storage_AZ_APS_E_GW[AF],9.0,-380236.0,147.0
23,2023-04-01,GW_storage_AZ_APS_E_GW[AF],9.0,-397920.0,156.0
24,2023-05-01,GW_storage_AZ_APS_E_GW[AF],11.0,-413465.0,167.0
25,2023-06-01,GW_storage_AZ_APS_E_GW[AF],13.0,-425824.0,180.0
26,2023-07-01,GW_storage_AZ_APS_E_GW[AF],16.0,-432466.0,196.0
27,2023-08-01,GW_storage_AZ_APS_E_GW[AF],17.0,-434490.0,213.0
28,2023-09-01,GW_storage_AZ_APS_E_GW[AF],18.0,-432442.0,231.0
29,2023-10-01,GW_storage_AZ_APS_E_GW[AF],18.0,-425117.0,249.0
30,2023-11-01,GW_storage_AZ_APS_E_GW[AF],18.0,-411759.0,267.0
31,2023-12-01,GW_storage_AZ_APS_E_GW[AF],19.0,-401136.0,286.0
32,2024-01-01,GW_storage_AZ_APS_E_GW[AF],19.0,-386960.0,305.0
33,2024-02-01,GW_storage_AZ_APS_E_GW[AF],19.0,-372413.0,324.0
34,2024-03-01,GW_storage_AZ_APS_E_GW[AF],18.0,-359569.0,342.0
35,2024-04-01,GW_storage_AZ_APS_E_GW[AF],20.0,-347386.0,362.0
36,2024-05-01,GW_storage_AZ_APS_E_GW[AF],21.0,-340106.0,383.0
37,2024-06-01,GW_storage_AZ_APS_E_GW[AF],24.0,-330017.0,407.0
38,2024-07-01,GW_storage_AZ_APS_E_GW[AF],26.0,-315629.0,433.0
39,2024-08-01,GW_storage_AZ_APS_E_GW[AF],27.0,-295326.0,460.0
40,2024-09-01,GW_storage_AZ_APS_E_GW[AF],28.0,-269521.0,488.0
41,2024-10-01,GW_storage_AZ_APS_E_GW[AF],29.0,-241287.0,517.0
42,2024-11-01,GW_storage_AZ_APS_E_GW[AF],29.0,-219254.0,546.0
43,2024-12-01,GW_storage_AZ_APS_E_GW[AF],29.0,-187252.0,575.0
44,2025-01-01,GW_storage_AZ_APS_E_GW[AF],30.0,-164694.0,605.0
45,2025-02-01,GW_storage_AZ_APS_E_GW[AF],29.0,-157023.0,634.0
46,2025-03-01,GW_storage_AZ_APS_E_GW[AF],30.0,-150695.0,664.0
47,2025-04-01,GW_storage_AZ_APS_E_GW[AF],31.0,-143262.0,695.0
48,2025-05-01,GW_storage_AZ_APS_E_GW[AF],34.0,-124097.0,729.0
49,2025-06-01,GW_storage_AZ_APS_E_GW[AF],37.0,-100553.0,766.0
50,2025-07-01,GW_storage_AZ_APS_E_GW[AF],40.0,-68781.0,806.0
51,2025-08-01,GW_storage_AZ_APS_E_GW[AF],42.0,-27906.0,848.0
52,2025-09-01,GW_storage_AZ_APS_E_GW[AF],45.0,21080.0,893.0
53,2025-10-01,GW_storage_AZ_APS_E_GW[AF],47.0,63759.0,940.0
54,2025-11-01,GW_storage_AZ_APS_E_GW[AF],47.0,104416.0,987.0
55,2025-12-01,GW_storage_AZ_APS_E_GW[AF],46.0,136860.0,1033.0
56,2026-01-01,GW_storage_AZ_APS_E_GW[AF],45.0,177060.0,1078.0
57,2026-02-01,GW_storage_AZ_APS_E_GW[AF],45.0,184749.0,1123.0
58,2026-03-01,GW_storage_AZ_APS_E_GW[AF],44.0,182329.0,1167.0
59,2026-04-01,GW_storage_AZ_APS_E_GW[AF],45.0,179744.0,1212.0
60,2026-05-01,GW_storage_AZ_APS_E_GW[AF],47.0,179614.0,1259.0
61,2026-06-01,GW_storage_AZ_APS_E_GW[AF],51.0,185018.0,1310.0
62,2026-07-01,GW_storage_AZ_APS_E_GW[AF],54.0,205276.0,1364.0
63,2026-08-01,GW_storage_AZ_APS_E_GW[AF],57.0,249509.0,1421.0
64,2026-09-01,GW_storage_AZ_APS_E_GW[AF],60.0,318397.0,1481.0
65,2026-10-01,GW_storage_AZ_APS_E_GW[AF],62.0,384365.0,1543.0
66,2026-11-01,GW_storage_AZ_APS_E_GW[AF],62.0,446069.0,1605.0
