,Date,Location,Reduction_in_hydropower_demand,Running_total,Location_running_total
0,2041-03-01,Hydro_Balch 1[GwH],-1.0,580.0,-1.0
1,2063-02-01,Hydro_Balch 1[GwH],1.0,-658.0,0.0
2,2063-09-01,Hydro_Balch 1[GwH],-1.0,-692.0,-1.0
3,2063-10-01,Hydro_Balch 1[GwH],-1.0,-693.0,-2.0
4,2041-03-01,Hydro_Balch 2[GwH],-4.0,580.0,-4.0
5,2063-02-01,Hydro_Balch 2[GwH],3.0,-658.0,-1.0
6,2063-06-01,Hydro_Balch 2[GwH],-2.0,-704.0,-3.0
7,2063-07-01,Hydro_Balch 2[GwH],-2.0,-696.0,-5.0
8,2063-08-01,Hydro_Balch 2[GwH],-3.0,-690.0,-8.0
9,2063-09-01,Hydro_Balch 2[GwH],-3.0,-692.0,-11.0
10,2063-10-01,Hydro_Balch 2[GwH],-3.0,-693.0,-14.0
11,2063-11-01,Hydro_Balch 2[GwH],-3.0,-694.0,-17.0
12,2063-12-01,Hydro_Balch 2[GwH],-2.0,-699.0,-19.0
13,2064-01-01,Hydro_Balch 2[GwH],-2.0,-706.0,-21.0
14,2065-07-01,Hydro_Balch 2[GwH],2.0,-679.0,-19.0
15,2065-08-01,Hydro_Balch 2[GwH],2.0,-657.0,-17.0
16,2065-09-01,Hydro_Balch 2[GwH],2.0,-643.0,-15.0
17,2065-10-01,Hydro_Balch 2[GwH],1.0,-635.0,-14.0
18,2065-04-01,Hydro_Big Creek 1[GwH],-5.0,-733.0,-5.0
19,2034-08-01,Hydro_Big Creek 2[GwH],-1.0,-101.0,-1.0
20,2065-04-01,Hydro_Big Creek 2[GwH],-4.0,-733.0,-5.0
21,2065-05-01,Hydro_Big Creek 2[GwH],-4.0,-729.0,-9.0
22,2065-07-01,Hydro_Big Creek 2[GwH],2.0,-679.0,-7.0
23,2065-08-01,Hydro_Big Creek 2[GwH],2.0,-657.0,-5.0
24,2065-09-01,Hydro_Big Creek 2[GwH],2.0,-643.0,-3.0
25,2034-08-01,Hydro_Big Creek 2a[GwH],-2.0,-101.0,-2.0
26,2060-06-01,Hydro_Big Creek 2a[GwH],1.0,-343.0,-1.0
27,2060-12-01,Hydro_Big Creek 2a[GwH],-1.0,-400.0,-2.0
28,2065-04-01,Hydro_Big Creek 2a[GwH],-5.0,-733.0,-7.0
29,2065-05-01,Hydro_Big Creek 2a[GwH],-5.0,-729.0,-12.0
30,2065-07-01,Hydro_Big Creek 2a[GwH],2.0,-679.0,-10.0
31,2065-08-01,Hydro_Big Creek 2a[GwH],3.0,-657.0,-7.0
32,2065-09-01,Hydro_Big Creek 2a[GwH],2.0,-643.0,-5.0
33,2066-06-01,Hydro_Big Creek 2a[GwH],-1.0,-637.0,-6.0
34,2066-07-01,Hydro_Big Creek 2a[GwH],-1.0,-672.0,-7.0
35,2066-08-01,Hydro_Big Creek 2a[GwH],-1.0,-669.0,-8.0
36,2066-09-01,Hydro_Big Creek 2a[GwH],-1.0,-677.0,-9.0
37,2067-08-01,Hydro_Big Creek 3[GwH],1.0,-637.0,1.0
38,2068-07-01,Hydro_Big Creek 3[GwH],1.0,-598.0,2.0
39,2022-04-01,Hydro_Big Creek 4[GwH],1.0,-2.0,1.0
40,2022-05-01,Hydro_Big Creek 4[GwH],-1.0,-2.0,0.0
41,2022-06-01,Hydro_Big Creek 4[GwH],-1.0,-3.0,-1.0
42,2022-08-01,Hydro_Big Creek 4[GwH],2.0,-4.0,1.0
43,2022-09-01,Hydro_Big Creek 4[GwH],2.0,-2.0,3.0
44,2022-10-01,Hydro_Big Creek 4[GwH],2.0,20.0,5.0
45,2022-11-01,Hydro_Big Creek 4[GwH],2.0,21.0,7.0
46,2022-12-01,Hydro_Big Creek 4[GwH],2.0,16.0,9.0
47,2023-01-01,Hydro_Big Creek 4[GwH],3.0,16.0,12.0
48,2023-02-01,Hydro_Big Creek 4[GwH],4.0,20.0,16.0
49,2023-11-01,Hydro_Big Creek 4[GwH],1.0,23.0,17.0
50,2024-01-01,Hydro_Big Creek 4[GwH],1.0,26.0,18.0
51,2024-02-01,Hydro_Big Creek 4[GwH],1.0,27.0,19.0
52,2024-03-01,Hydro_Big Creek 4[GwH],2.0,9.0,21.0
53,2024-04-01,Hydro_Big Creek 4[GwH],2.0,31.0,23.0
54,2024-05-01,Hydro_Big Creek 4[GwH],1.0,13.0,24.0
55,2024-06-01,Hydro_Big Creek 4[GwH],-2.0,11.0,22.0
56,2024-10-01,Hydro_Big Creek 4[GwH],-2.0,24.0,20.0
57,2024-11-01,Hydro_Big Creek 4[GwH],-1.0,23.0,19.0
58,2025-02-01,Hydro_Big Creek 4[GwH],-2.0,21.0,17.0
59,2025-03-01,Hydro_Big Creek 4[GwH],-5.0,16.0,12.0
60,2025-04-01,Hydro_Big Creek 4[GwH],-4.0,35.0,8.0
61,2025-10-01,Hydro_Big Creek 4[GwH],-1.0,33.0,7.0
62,2025-12-01,Hydro_Big Creek 4[GwH],-1.0,26.0,6.0
63,2026-01-01,Hydro_Big Creek 4[GwH],-2.0,25.0,4.0
64,2026-02-01,Hydro_Big Creek 4[GwH],-2.0,-5.0,2.0
65,2026-03-01,Hydro_Big Creek 4[GwH],-19.0,-48.0,-17.0
66,2026-04-01,Hydro_Big Creek 4[GwH],-34.0,-88.0,-51.0
67,2026-05-01,Hydro_Big Creek 4[GwH],-44.0,-175.0,-95.0
