,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2047-12-01,Unmet_Dem_IN_CA_LADWP[AF],2497.0,1611871.0,2497.0
1,2049-05-01,Unmet_Dem_IN_CA_LADWP[AF],1047.0,1730509.0,3544.0
2,2050-05-01,Unmet_Dem_IN_CA_LADWP[AF],3899.0,1952281.0,7443.0
3,2054-05-01,Unmet_Dem_IN_CA_LADWP[AF],3829.0,2712888.0,11272.0
4,2055-05-01,Unmet_Dem_IN_CA_LADWP[AF],4532.0,2958645.0,15804.0
5,2055-06-01,Unmet_Dem_IN_CA_LADWP[AF],5700.0,2982376.0,21504.0
6,2056-05-01,Unmet_Dem_IN_CA_LADWP[AF],3647.0,3159572.0,25151.0
7,2056-06-01,Unmet_Dem_IN_CA_LADWP[AF],2624.0,3177125.0,27775.0
8,2059-05-01,Unmet_Dem_IN_CA_LADWP[AF],2354.0,3780214.0,30129.0
9,2060-12-01,Unmet_Dem_IN_CA_LADWP[AF],2379.0,4214285.0,32508.0
10,2061-05-01,Unmet_Dem_IN_CA_LADWP[AF],4343.0,4248596.0,36851.0
11,2061-06-01,Unmet_Dem_IN_CA_LADWP[AF],6115.0,4272882.0,42966.0
12,2062-05-01,Unmet_Dem_IN_CA_LADWP[AF],4407.0,4465238.0,47373.0
13,2062-06-01,Unmet_Dem_IN_CA_LADWP[AF],6119.0,4490086.0,53492.0
14,2064-05-01,Unmet_Dem_IN_CA_LADWP[AF],3108.0,4861097.0,56600.0
15,2065-12-01,Unmet_Dem_IN_CA_LADWP[AF],7.0,5245337.0,56607.0
16,2066-05-01,Unmet_Dem_IN_CA_LADWP[AF],4454.0,5294511.0,61061.0
17,2069-04-01,Unmet_Dem_IN_CA_LADWP[AF],1698.0,5896317.0,62759.0
18,2069-05-01,Unmet_Dem_IN_CA_LADWP[AF],3417.0,5913313.0,66176.0
19,2069-06-01,Unmet_Dem_IN_CA_LADWP[AF],4827.0,5934414.0,71003.0
20,2069-09-01,Unmet_Dem_IN_CA_LADWP[AF],4793.0,6031229.0,75796.0
21,2069-10-01,Unmet_Dem_IN_CA_LADWP[AF],2658.0,6048720.0,78454.0
22,2069-11-01,Unmet_Dem_IN_CA_LADWP[AF],627.0,6059481.0,79081.0
23,2070-03-01,Unmet_Dem_IN_CA_LADWP[AF],2987.0,6110912.0,82068.0
24,2070-04-01,Unmet_Dem_IN_CA_LADWP[AF],2968.0,6123275.0,85036.0
25,2070-05-01,Unmet_Dem_IN_CA_LADWP[AF],3688.0,6142567.0,88724.0
26,2070-06-01,Unmet_Dem_IN_CA_LADWP[AF],3704.0,6161452.0,92428.0
27,2070-09-01,Unmet_Dem_IN_CA_LADWP[AF],2207.0,6242810.0,94635.0
28,2070-10-01,Unmet_Dem_IN_CA_LADWP[AF],1417.0,6264549.0,96052.0
29,2021-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],230.0,1775.0,230.0
30,2021-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],348.0,3043.0,578.0
31,2021-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1014.0,6737.0,1592.0
32,2021-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-9094.0,9116.0,-7502.0
33,2021-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],-141.0,10350.0,-7643.0
34,2021-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],207.0,11120.0,-7436.0
35,2023-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],347.0,16469.0,-7089.0
36,2023-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],273.0,16795.0,-6816.0
37,2023-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],274.0,19210.0,-6542.0
38,2023-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],464.0,20889.0,-6078.0
39,2025-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1826.0,35251.0,-4252.0
40,2025-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1558.0,41135.0,-2694.0
41,2025-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2140.0,48950.0,-554.0
42,2025-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1177.0,53277.0,623.0
43,2030-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4429.0,124869.0,5052.0
44,2030-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],3386.0,137490.0,8438.0
45,2030-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2465.0,146636.0,10903.0
46,2030-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],2429.0,155661.0,13332.0
47,2032-06-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4055.0,213342.0,17387.0
48,2032-07-01,Unmet_Dem_IN_CA_PGE_BAY[AF],4121.0,228620.0,21508.0
49,2032-08-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5889.0,246966.0,27397.0
50,2032-09-01,Unmet_Dem_IN_CA_PGE_BAY[AF],5682.0,260779.0,33079.0
51,2032-10-01,Unmet_Dem_IN_CA_PGE_BAY[AF],6820.0,269635.0,39899.0
52,2032-11-01,Unmet_Dem_IN_CA_PGE_BAY[AF],1816.0,271663.0,41715.0
