,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2021-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],1.0,1.0,1.0
1,2021-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],1.0,2.0,2.0
2,2021-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],1.0,3.0,3.0
3,2021-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,143.0,5.0
4,2021-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,754.0,7.0
5,2021-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,1972.0,10.0
6,2021-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,10298.0,13.0
7,2021-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,7873.0,16.0
8,2021-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,9560.0,19.0
9,2021-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,10750.0,21.0
10,2021-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,8874.0,23.0
11,2021-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],1.0,8885.0,24.0
12,2022-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,8905.0,26.0
13,2022-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,8921.0,28.0
14,2022-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],1.0,8926.0,29.0
15,2022-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,8929.0,32.0
16,2022-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,9615.0,37.0
17,2022-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,10959.0,43.0
18,2022-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,10990.0,49.0
19,2022-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,11039.0,54.0
20,2022-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,11092.0,58.0
21,2022-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,11136.0,62.0
22,2022-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,11171.0,65.0
23,2022-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,11187.0,67.0
24,2023-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,11201.0,70.0
25,2023-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,11213.0,73.0
26,2023-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,11215.0,75.0
27,2023-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,11219.0,79.0
28,2023-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,12621.0,86.0
29,2023-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,14356.0,95.0
30,2023-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],9.0,14395.0,104.0
31,2023-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,14593.0,112.0
32,2023-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,14887.0,119.0
33,2023-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,15491.0,124.0
34,2023-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,17858.0,129.0
35,2023-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],4.0,17879.0,133.0
36,2024-01-01,Unmet_Dem_OUT_AZ_NM_N[AF],2.0,17893.0,135.0
37,2024-02-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,17896.0,138.0
38,2024-03-01,Unmet_Dem_OUT_AZ_NM_N[AF],3.0,17899.0,141.0
39,2024-04-01,Unmet_Dem_OUT_AZ_NM_N[AF],8.0,17907.0,149.0
40,2024-05-01,Unmet_Dem_OUT_AZ_NM_N[AF],10.0,17917.0,159.0
41,2024-06-01,Unmet_Dem_OUT_AZ_NM_N[AF],11.0,19476.0,170.0
42,2024-07-01,Unmet_Dem_OUT_AZ_NM_N[AF],12.0,19500.0,182.0
43,2024-08-01,Unmet_Dem_OUT_AZ_NM_N[AF],12.0,19557.0,194.0
44,2024-09-01,Unmet_Dem_OUT_AZ_NM_N[AF],10.0,19627.0,204.0
45,2024-10-01,Unmet_Dem_OUT_AZ_NM_N[AF],7.0,19697.0,211.0
46,2024-11-01,Unmet_Dem_OUT_AZ_NM_N[AF],6.0,19756.0,217.0
47,2024-12-01,Unmet_Dem_OUT_AZ_NM_N[AF],5.0,19776.0,222.0
