,Date,Location,Reduction_in_unmet_demand,Running_total,Location_running_total
0,2011-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,33.0,-2.0
1,2011-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],2.0,-36.0,0.0
2,2011-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,-6.0,-2.0
3,2012-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,812.0,-4.0
4,2012-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,813.0,-6.0
5,2013-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-8.0,2114.0,-14.0
6,2013-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4.0,1829.0,-18.0
7,2013-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,1402.0,-21.0
8,2013-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,1356.0,-23.0
9,2013-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,1318.0,-25.0
10,2013-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-18.0,1217.0,-43.0
11,2014-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-22.0,1994.0,-65.0
12,2014-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-17.0,2859.0,-82.0
13,2014-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-13.0,3219.0,-95.0
14,2014-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-8.0,3244.0,-103.0
15,2014-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6.0,3141.0,-109.0
16,2014-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3.0,3118.0,-112.0
17,2014-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,3308.0,-114.0
18,2014-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,3481.0,-116.0
19,2014-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,16631.0,-118.0
20,2015-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2.0,18058.0,-120.0
21,2017-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1159.0,277.0,-1279.0
22,2017-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-891.0,-519.0,-2170.0
23,2018-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-745.0,3568.0,-2915.0
24,2018-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-607.0,8155.0,-3522.0
25,2018-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-465.0,8001.0,-3987.0
26,2018-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-329.0,8006.0,-4316.0
27,2018-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-209.0,8746.0,-4525.0
28,2018-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-127.0,8406.0,-4652.0
29,2018-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-71.0,5620.0,-4723.0
30,2018-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-42.0,5741.0,-4765.0
31,2018-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-609.0,-47.0,-5374.0
32,2018-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-378.0,25613.0,-5752.0
33,2018-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-311.0,34667.0,-6063.0
34,2018-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-263.0,36078.0,-6326.0
35,2019-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-221.0,36647.0,-6547.0
36,2019-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-180.0,37548.0,-6727.0
37,2019-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-137.0,35049.0,-6864.0
38,2019-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-97.0,33933.0,-6961.0
39,2019-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-62.0,33510.0,-7023.0
40,2019-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-36.0,33617.0,-7059.0
41,2019-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-22.0,33971.0,-7081.0
42,2019-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-13.0,33983.0,-7094.0
43,2019-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-8.0,33903.0,-7102.0
44,2019-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-9929.0,23079.0,-17031.0
45,2019-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-7086.0,18162.0,-24117.0
46,2019-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-6158.0,11057.0,-30275.0
47,2020-01-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-5524.0,8133.0,-35799.0
48,2020-02-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-4854.0,7140.0,-40653.0
49,2020-03-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-3736.0,3817.0,-44389.0
50,2020-04-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-2569.0,2104.0,-46958.0
51,2020-05-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-1635.0,2213.0,-48593.0
52,2020-06-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-970.0,2937.0,-49563.0
53,2020-07-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-550.0,3285.0,-50113.0
54,2020-08-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-315.0,12075.0,-50428.0
55,2020-09-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-204.0,21488.0,-50632.0
56,2020-10-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-148.0,160288.0,-50780.0
57,2020-11-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-110.0,166433.0,-50890.0
58,2020-12-01,Unmet_Dem_AZ_APS_SW_Lwr Colorado[AF],-94.0,172567.0,-50984.0
