,Date,Location,Increase_in_gw_storage,Running_total,Location_running_total
0,2013-12-01,GW_storage_AZ_APS_E_GW[AF],2.0,-12446.0,2.0
1,2014-02-01,GW_storage_AZ_APS_E_GW[AF],2.0,-25474.0,4.0
2,2014-11-01,GW_storage_AZ_APS_E_GW[AF],2.0,-51162.0,6.0
3,2015-02-01,GW_storage_AZ_APS_E_GW[AF],2.0,-36465.0,8.0
4,2021-01-01,GW_storage_AZ_APS_E_GW[AF],105.0,-602922.0,113.0
5,2021-02-01,GW_storage_AZ_APS_E_GW[AF],210.0,-596011.0,323.0
6,2021-03-01,GW_storage_AZ_APS_E_GW[AF],313.0,-594688.0,636.0
7,2021-04-01,GW_storage_AZ_APS_E_GW[AF],418.0,-599076.0,1054.0
8,2021-05-01,GW_storage_AZ_APS_E_GW[AF],522.0,-598686.0,1576.0
9,2021-06-01,GW_storage_AZ_APS_E_GW[AF],628.0,-589903.0,2204.0
10,2021-07-01,GW_storage_AZ_APS_E_GW[AF],731.0,-571935.0,2935.0
11,2021-08-01,GW_storage_AZ_APS_E_GW[AF],833.0,-550519.0,3768.0
12,2021-09-01,GW_storage_AZ_APS_E_GW[AF],929.0,-518237.0,4697.0
13,2021-10-01,GW_storage_AZ_APS_E_GW[AF],1022.0,-479504.0,5719.0
14,2021-11-01,GW_storage_AZ_APS_E_GW[AF],1109.0,-438720.0,6828.0
15,2021-12-01,GW_storage_AZ_APS_E_GW[AF],1192.0,-393795.0,8020.0
16,2022-01-01,GW_storage_AZ_APS_E_GW[AF],1381.0,-333260.0,9401.0
17,2022-02-01,GW_storage_AZ_APS_E_GW[AF],1572.0,-252379.0,10973.0
18,2022-03-01,GW_storage_AZ_APS_E_GW[AF],1760.0,-144424.0,12733.0
19,2022-04-01,GW_storage_AZ_APS_E_GW[AF],1949.0,-10529.0,14682.0
20,2022-05-01,GW_storage_AZ_APS_E_GW[AF],2139.0,142270.0,16821.0
21,2022-06-01,GW_storage_AZ_APS_E_GW[AF],2331.0,310643.0,19152.0
22,2022-07-01,GW_storage_AZ_APS_E_GW[AF],2519.0,497885.0,21671.0
23,2022-08-01,GW_storage_AZ_APS_E_GW[AF],2702.0,706133.0,24373.0
24,2022-09-01,GW_storage_AZ_APS_E_GW[AF],2879.0,929335.0,27252.0
25,2022-10-01,GW_storage_AZ_APS_E_GW[AF],3045.0,1160200.0,30297.0
26,2022-11-01,GW_storage_AZ_APS_E_GW[AF],3204.0,1387997.0,33501.0
27,2022-12-01,GW_storage_AZ_APS_E_GW[AF],3354.0,1626100.0,36855.0
28,2023-01-01,GW_storage_AZ_APS_E_GW[AF],3609.0,1890767.0,40464.0
29,2023-02-01,GW_storage_AZ_APS_E_GW[AF],3872.0,2174117.0,44336.0
30,2023-03-01,GW_storage_AZ_APS_E_GW[AF],4128.0,2473639.0,48464.0
31,2023-04-01,GW_storage_AZ_APS_E_GW[AF],4387.0,2791876.0,52851.0
32,2023-05-01,GW_storage_AZ_APS_E_GW[AF],4646.0,3131584.0,57497.0
33,2023-06-01,GW_storage_AZ_APS_E_GW[AF],4912.0,3491860.0,62409.0
34,2023-07-01,GW_storage_AZ_APS_E_GW[AF],5170.0,3882426.0,67579.0
35,2023-08-01,GW_storage_AZ_APS_E_GW[AF],5422.0,4305025.0,73001.0
36,2023-09-01,GW_storage_AZ_APS_E_GW[AF],5665.0,4755093.0,78666.0
37,2023-10-01,GW_storage_AZ_APS_E_GW[AF],5891.0,5228824.0,84557.0
38,2023-11-01,GW_storage_AZ_APS_E_GW[AF],6109.0,5721037.0,90666.0
39,2023-12-01,GW_storage_AZ_APS_E_GW[AF],6311.0,6205915.0,96977.0
40,2024-01-01,GW_storage_AZ_APS_E_GW[AF],6621.0,6722976.0,103598.0
41,2024-02-01,GW_storage_AZ_APS_E_GW[AF],6939.0,7269059.0,110537.0
42,2024-03-01,GW_storage_AZ_APS_E_GW[AF],7250.0,7839603.0,117787.0
43,2024-04-01,GW_storage_AZ_APS_E_GW[AF],7568.0,8448327.0,125355.0
44,2024-05-01,GW_storage_AZ_APS_E_GW[AF],7884.0,9079124.0,133239.0
45,2024-06-01,GW_storage_AZ_APS_E_GW[AF],8211.0,9732030.0,141450.0
46,2024-07-01,GW_storage_AZ_APS_E_GW[AF],8527.0,10420227.0,149977.0
47,2024-08-01,GW_storage_AZ_APS_E_GW[AF],8836.0,11152438.0,158813.0
48,2024-09-01,GW_storage_AZ_APS_E_GW[AF],9134.0,11922417.0,167947.0
49,2024-10-01,GW_storage_AZ_APS_E_GW[AF],9410.0,12737488.0,177357.0
50,2024-11-01,GW_storage_AZ_APS_E_GW[AF],9676.0,13574850.0,187033.0
51,2024-12-01,GW_storage_AZ_APS_E_GW[AF],9920.0,14422586.0,196953.0
52,2025-01-01,GW_storage_AZ_APS_E_GW[AF],10272.0,15299129.0,207225.0
53,2025-02-01,GW_storage_AZ_APS_E_GW[AF],10647.0,16205966.0,217872.0
